Provience,City,CompanyShortName,IndustryField,Upper class of industry
上海,上海,上海佰晟通信息科技有限公司,金融 · 移动互联网,"IT技术,金融财经"
上海,上海,上海歌晨信息技术有限公司,电子商务 · 旅游,"IT技术,生活服务"
上海,上海,上海库铭信息科技有限公司,移动互联网,IT技术
上海,上海,上海七牛信息技术有限公司,移动互联网 · 数据服务,IT技术
上海,上海,诺远资产管理有限公司,金融,金融财经
上海,上海,上海飞鱼秀实业有限公司,电子商务,IT技术
上海,上海,上海链家房地产经纪有限公司,移动互联网 · O2O,IT技术
上海,上海,上海友品网络科技有限公司,移动互联网 · 社交网络,IT技术
上海,上海,KILIMALL,移动互联网 · 电子商务,IT技术
上海,上海,上海天问营销咨询有限公司,移动互联网,IT技术
上海,上海,上海羽扇广告有限公司,移动互联网 · 电子商务,IT技术
上海,上海,遨博（北京）智能科技有限公司,移动互联网,IT技术
上海,上海,上海宏原信息科技有限公司,电子商务 · 广告营销,"IT技术,金融财经"
上海,上海,广州坚和网络科技有限公司,移动互联网,IT技术
上海,上海,上海思蓄力教育科技有限公司,教育 · 移动互联网,"IT技术,生活服务"
上海,上海,上海芝柯打印技术有限公司,硬件,电子制造
上海,上海,上海凿悟网络科技有限公司,移动互联网 · 电子商务,IT技术
上海,上海,上海二三四五网络科技有限公司,数据服务 · 移动互联网,IT技术
上海,上海,东吴证券股份有限公司,金融 · 移动互联网,"IT技术,金融财经"
上海,上海,上海朴莲网络科技有限公司,电子商务,IT技术
上海,上海,瓦雷拉数据技术（上海）有限公司,数据服务,IT技术
上海,上海,北京柯莱特科技有限公司,企业服务 · 金融,"IT技术,金融财经"
上海,上海,上海合晟资产管理股份有限公司,金融,金融财经
上海,上海,三胞集团有限公司,O2O · 招聘,"IT技术,生活服务"
上海,上海,上海想学就学网络科技有限公司,移动互联网,IT技术
上海,上海,北京慧博科技有限公司上海分公司,移动互联网 · 电子商务,IT技术
上海,上海,上海互加文化传播有限公司,移动互联网 · 教育,"IT技术,生活服务"
上海,上海,上海好居信息科技有限公司,移动互联网 · O2O,IT技术
上海,上海,北京恒昌利通投资管理有限公司,金融,金融财经
上海,上海,上海好体信息科技有限公司,移动互联网 · 电子商务,IT技术
上海,上海,多点生活（中国）网络科技有限公司,电子商务 · O2O,IT技术
上海,上海,上海上马石网络科技有限公司,移动互联网 · 企业服务,IT技术
上海,上海,上海麒领实业有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
上海,上海,博康智能网络科技股份有限公司,文化娱乐,生活服务
上海,上海,上海星艾网络科技有限公司,移动互联网 · 社交网络,IT技术
上海,上海,上海南方银谷科技有限公司,移动互联网 · 数据服务,IT技术
上海,上海,格林贝尔多媒体科技（上海）有限公司,教育,生活服务
上海,上海,悦行信息科技（上海）有限公司,移动互联网 · 旅游,"IT技术,生活服务"
上海,上海,北京慧博云通科技股份有限公司,移动互联网 · 信息安全,IT技术
上海,上海,北京京东尚科信息技术有限公司上海分公司,移动互联网 · 电子商务,IT技术
上海,上海,巴罗克（上海）企业发展有限公司,电子商务,IT技术
上海,上海,广州奔步电脑有限公司,移动互联网 · 电子商务,IT技术
上海,上海,上海荟行网络科技有限公司,移动互联网 · 旅游,"IT技术,生活服务"
上海,上海,上海泛微网络科技股份有限公司,移动互联网 · 企业服务,IT技术
上海,上海,上海易教信息科技有限公司,移动互联网 · 数据服务,IT技术
上海,上海,上海亮昕网络科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
上海,上海,深圳市多元世纪信息技术有限公司,金融,金融财经
上海,上海,北京基调网络股份有限公司,移动互联网 · 数据服务,IT技术
上海,上海,厦门市云客网络科技有限公司,移动互联网 · 电子商务,IT技术
上海,上海,上海珍岛信息技术有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
上海,上海,心动网络股份有限公司,移动互联网 · 游戏,IT技术
上海,上海,上海汇紫商务咨询有限公司,移动互联网,IT技术
上海,上海,深圳市企鹅网络科技有限公司,移动互联网,IT技术
上海,上海,储吉（上海）信息技术有限公司,移动互联网 · 其他,IT技术
上海,上海,上海微用网络技术股份有限公司,移动互联网 · 数据服务,IT技术
上海,上海,上海欧电云信息科技有限公司,电子商务 · 企业服务,IT技术
上海,上海,上海幻触信息科技有限公司,游戏 · 硬件,"IT技术,电子制造"
上海,上海,上海指旺信息科技有限公司,金融,金融财经
上海,上海,上海赛和文化传播有限公司,电子商务 · 广告营销,"IT技术,金融财经"
上海,上海,上海咖嘉电子商务有限公司,电子商务,IT技术
上海,上海,上海泊友慧网络科技有限公司,移动互联网,IT技术
上海,上海,No NDA Inc.,移动互联网 · 硬件,"IT技术,电子制造"
上海,上海,上海夸客金融信息服务有限公司,O2O · 金融,"IT技术,金融财经"
上海,上海,上海静遥网络科技有限公司,移动互联网 · 电子商务,IT技术
上海,上海,上海拿米金融信息服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
上海,上海,上海商派网络科技有限公司,移动互联网 · 电子商务,IT技术
上海,上海,讴鹏信息科技（上海）有限公司,企业服务,IT技术
上海,上海,上海乡邻网络科技有限公司,电子商务 · 金融,"IT技术,金融财经"
上海,上海,上海彩亿投资咨询有限公司,移动互联网 · 金融,"IT技术,金融财经"
上海,上海,正益移动互联科技股份有限公司上海分公司,移动互联网 · 电子商务,IT技术
上海,上海,华玺合信投资管理（北京）有限公司,电子商务 · 金融,"IT技术,金融财经"
上海,上海,上海聚广文化传播有限公司,移动互联网 · 企业服务,IT技术
上海,上海,上海肌秘网络科技发展有限公司,移动互联网 · 数据服务,IT技术
上海,上海,爱吉（上海）房地产经纪有限公司,移动互联网,IT技术
上海,上海,众有信息科技（上海）有限公司,移动互联网 · O2O,IT技术
上海,上海,北京路玺优讯科技有限公司,移动互联网 · 旅游,"IT技术,生活服务"
上海,上海,北京铂睿德佳信息服务有限公司,其他,其他
上海,上海,上海彩亿互联网金融信息服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
上海,上海,上海清实网络科技有限公司,O2O · 旅游,"IT技术,生活服务"
上海,上海,前海煦逸信息技术（深圳）有限公司,电子商务 · 生活服务,"IT技术,生活服务"
上海,上海,携程计算机技术（上海）有限公司,移动互联网 · 旅游,"IT技术,生活服务"
上海,上海,成都古羌科技有限公司北京软件分公司,移动互联网,IT技术
上海,上海,北京蜂巢天下信息技术有限公司,移动互联网 · 电子商务,IT技术
上海,上海,搜房,移动互联网 · O2O,IT技术
上海,上海,优酷土豆集团(上海)公司,移动互联网,IT技术
上海,上海,上海山屿海投资集团有限公司,旅游 · 金融,"金融财经,生活服务"
上海,上海,深圳爱加密科技有限公司,移动互联网,IT技术
上海,上海,迪彩(上海) 投资管理咨询有限公司,企业服务,IT技术
上海,上海,上海德搜信息技术有限公司,企业服务 · 广告营销,"IT技术,金融财经"
上海,上海,上海八点半网络科技有限公司,移动互联网 · 数据服务,IT技术
上海,上海,上海安达通信息安全技术股份有限公司,移动互联网,IT技术
上海,上海,上海华瑞银行股份有限公司,金融,金融财经
上海,上海,上海炫体信息科技有限公司,移动互联网 · 社交网络,IT技术
上海,上海,时互康联健康管理（北京）有限公司,移动互联网,IT技术
上海,上海,悠觅投资（上海）有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
上海,上海,上海闻宇网络科技有限公司,游戏,IT技术
上海,上海,齐鲁证券网络金融部,移动互联网 · 金融,"IT技术,金融财经"
上海,上海,美科科技（北京）有限公司,硬件,电子制造
上海,上海,上海客齐集信息技术有限公司,移动互联网,IT技术
上海,上海,上海房屋销售（集团）有限公司,企业服务,IT技术
