Provience,City,CompanyShortName,IndustryField,Upper class of industry
云南,昆明市,北京云学时代科技有限公司,移动互联网,IT技术
云南,昆明市,云南洱边商务有限公司,社交网络 · 旅游,"IT技术,生活服务"
云南,昆明市,云南方策科技有限公司,移动互联网 · 企业服务,IT技术
云南,昆明市,深圳君南信息系统有限公司,移动互联网,IT技术
云南,昆明市,重庆猪八戒网络有限公司,电子商务 · 生活服务,"IT技术,生活服务"
云南,昆明市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
云南,昆明市,云南掌赢天科技有限公司,移动互联网,IT技术
云南,昆明市,云南友脉科技有限公司,O2O · 移动互联网,IT技术
云南,昆明市,昆明五华费克斯培训学校,教育,生活服务
云南,昆明市,昆明久居装饰工程有限公司,生活服务 · 硬件,"电子制造,生活服务"
云南,昆明市,俊云科技有限公司,移动互联网,IT技术
云南,昆明市,斑马网信科技（北京）有限公司,金融 · 数据服务,"IT技术,金融财经"
云南,昆明市,上海柚美信息科技有限公司,金融,金融财经
云南,昆明市,平安健康互联网股份有限公司,移动互联网 · 电子商务,IT技术
云南,昆明市,深圳天源迪科信息技术股份有限公司,移动互联网  · 电子商务,IT技术
云南,昆明市,云南寰弈软件有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
云南,昆明市,广州市玄武无线科技有限公司,移动互联网 · 招聘,"IT技术,生活服务"
云南,昆明市,博康智能网络科技股份有限公司,移动互联网 · 信息安全,IT技术
云南,昆明市,重庆富杉科技有限公司,电子商务 · 医疗健康,"IT技术,生活服务"
云南,昆明市,深圳市飞宇天下国际旅行社有限公司,电子商务 · 旅游,"IT技术,生活服务"
云南,昆明市,亚信科技（成都）有限公司,移动互联网 · 数据服务,IT技术
云南,昆明市,云南本元支付管理有限公司,移动互联网 · 金融,"IT技术,金融财经"
云南,昆明市,广东酷配电子商务有限公司,电子商务,IT技术
云南,昆明市,四川奥诚科技有限责任公司,信息安全,IT技术
云南,昆明市,广州酷旅旅行社有限公司,电子商务 · 生活服务,"IT技术,生活服务"
云南,昆明市,上海狂龙数字科技有限公司,硬件 · 其他,电子制造
云南,昆明市,北京逸生活技术服务有限公司,移动互联网 · O2O,IT技术
云南,昆明市,云南趣海科技有限公司,移动互联网 · 企业服务,IT技术
云南,昆明市,云南青才信息技术有限公司,移动互联网 · 数据服务,IT技术
云南,昆明市,成都东软系统集成有限公司,移动互联网,IT技术
云南,昆明市,四川创意信息技术股份有限公司,数据服务,IT技术
云南,昆明市,诺优信息技术（上海）有限公司,移动互联网 · 硬件,"IT技术,电子制造"
云南,昆明市,北京花花草草科技有限公司,硬件,电子制造
云南,昆明市,昆明万德科技有限公司,其他,其他
云南,昆明市,中国新电信集团 P2P事业部,金融,金融财经
云南,昆明市,天脉聚源（北京）传媒科技有限公司,数据服务,IT技术
云南,昆明市,昆明俊云科技有限公司,移动互联网,IT技术
云南,昆明市,杭州爱财网络科技有限公司,金融,金融财经
云南,昆明市,云南江啼科技有限公司,移动互联网 · 电子商务,IT技术
云南,昆明市,卓望信息技术（北京）有限公司,移动互联网,IT技术
云南,昆明市,广州中软信息技术有限公司,数据服务 · 硬件,"IT技术,电子制造"
云南,昆明市,北京东软慧聚信息技术股份有限公司,移动互联网 · 企业服务,IT技术
云南,昆明市,广州市光大软件技术有限公司,教育,生活服务
云南,昆明市,科大讯飞股份有限公司,移动互联网 · 数据服务,IT技术
云南,昆明市,北京融和友信科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
云南,昆明市,上海一嗨汽车租赁有限公司,电子商务,IT技术
云南,昆明市,万达信息股份有限公司,移动互联网 · 数据服务,IT技术
云南,昆明市,硅谷（中国）发展有限公司,移动互联网,IT技术
云南,昆明市,成都潘达科技有限公司,移动互联网,IT技术
云南,昆明市,北京英克科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
云南,昆明市,北京米学科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
云南,昆明市,中辉世纪传媒发展有限公司,游戏 · 文化娱乐,"IT技术,生活服务"
云南,昆明市,上海趣医网络科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
云南,昆明市,南京信通科技有限责任公司,移动互联网 · 教育,"IT技术,生活服务"
云南,昆明市,南京联创信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
云南,昆明市,广州光大教育软件科技股份有限公司,移动互联网 · 教育,"IT技术,生活服务"
云南,昆明市,上海英方软件股份有限公司,信息安全 · 数据服务,IT技术
云南,昆明市,北京宜花科技有限公司,O2O · 移动互联网,IT技术
云南,昆明市,北京安码科技有限公司,信息安全,IT技术
云南,昆明市,山景科创网络技术(北京)有限公司,移动互联网 · 分类信息,IT技术
云南,昆明市,成都兼职地带信息技术有限公司,招聘,生活服务
云南,昆明市,广州桔叶信息科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
云南,昆明市,广州云康信息科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
云南,昆明市,福建四创软件有限公司,生活服务 · 分类信息,"IT技术,生活服务"
云南,昆明市,弥勒市阿细蜜源蜂业有限公司,移动互联网 · 电子商务,IT技术
云南,昆明市,云南房星科技有限公司,移动互联网 · O2O,IT技术
云南,昆明市,武汉天喻教育科技有限公司,移动互联网,IT技术
云南,昆明市,博南石管理咨询（上海）有限公司,企业服务 · 数据服务,IT技术
云南,昆明市,昆明铲子科技有限公司,移动互联网 · O2O,IT技术
云南,昆明市,成都康赛信息技术有限公司,教育 · 数据服务,"IT技术,生活服务"
云南,昆明市,昆明云朗文化传播有限公司,O2O · 旅游,"IT技术,生活服务"
云南,昆明市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
云南,昆明市,广州市连奖网络科技有限公司,移动互联网 · 电子商务,IT技术
云南,昆明市,大唐终端技术有限公司,其他,其他
云南,昆明市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
云南,昆明市,云南咻咪网络科技有限公司,移动互联网 · O2O,IT技术
云南,昆明市,中山市新生代文化传播有限公司,教育,生活服务
云南,昆明市,深圳市赢众通金融信息服务股份有限公司,金融,金融财经
云南,昆明市,普元信息技术股份有限公司,企业服务 · 数据服务,IT技术
云南,昆明市,昆明云杉科技有限公司,移动互联网 · 游戏,IT技术
云南,昆明市,昆明万益电子商务有限公司,电子商务,IT技术
云南,昆明市,浪潮软件股份有限公司,数据服务,IT技术
云南,昆明市,新开普电子股份有限公司,移动互联网,IT技术
云南,昆明市,中安网脉（北京）技术股份有限公司,硬件,电子制造
云南,昆明市,广东动易软件股份有限公司,移动互联网,IT技术
云南,昆明市,苏州医云健康管理有限公司,医疗健康,生活服务
云南,昆明市,汇中普惠财富投资管理有限公司,移动互联网 · 金融,"IT技术,金融财经"
云南,昆明市,北京启明星辰信息安全技术有限公司,硬件,电子制造
云南,昆明市,深圳市云高信息技术有限公司,移动互联网,IT技术
云南,昆明市,云南蓝队网络科技有限公司,企业服务 · 数据服务,IT技术
云南,昆明市,云南芮米科技有限公司,移动互联网 · 数据服务,IT技术
云南,昆明市,北京东方泰坦科技股份有限公司,企业服务,IT技术
云南,昆明市,北京爱车科技有限公司,移动互联网 · 电子商务,IT技术
云南,昆明市,四川杰瑞世家科技有限公司,移动互联网 · O2O,IT技术
云南,昆明市,北京融联世纪信息技术有限公司,移动互联网 · 金融,"IT技术,金融财经"
云南,昆明市,深圳市澳信投资顾问有限公司,O2O,IT技术
云南,昆明市,天津五八到家生活服务有限公司,移动互联网 · O2O,IT技术
云南,昆明市,北京卡拉卡尔科技股份有限公司,数据服务 · 文化娱乐,"IT技术,生活服务"
云南,昆明市,云南蓝海基业信息技术有限公司,移动互联网 · 电子商务,IT技术
云南,昆明市,上海集酷建筑模块化科技有限公司,生活服务,生活服务
云南,昆明市,上海地奇网络科技有限公司,移动互联网 · 电子商务,IT技术
云南,昆明市,昆明积大药品销售有限公司,O2O · 医疗健康,"IT技术,生活服务"
云南,昆明市,云南讯驰广告有限公司,移动互联网,IT技术
云南,昆明市,广州市国迈科技有限公司,信息安全 · 数据服务,IT技术
云南,昆明市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
云南,昆明市,北京志察数据科技有限公司,移动互联网 · 数据服务,IT技术
云南,昆明市,云南浙滇塑胶科技有限公司,电子商务,IT技术
云南,昆明市,微动代驾,电子商务 · 生活服务,"IT技术,生活服务"
云南,昆明市,北京怡美假日信息科技有限公司,移动互联网 · 电子商务,IT技术
云南,昆明市,合肥一米信息科技有限公司,移动互联网 · O2O,IT技术
云南,昆明市,思坦德咨询(北京)有限公司,移动互联网 · O2O,IT技术
云南,昆明市,昆明楚云科技有限公司,移动互联网 · 企业服务,IT技术
云南,昆明市,云南远信科技有限公司,移动互联网 · 企业服务,IT技术
云南,昆明市,云南云林信息产业有限公司,移动互联网 · 电子商务,IT技术
云南,昆明市,昆明精广广告有限公司,移动互联网,IT技术
云南,昆明市,神州优车（天津）有限公司,移动互联网 · 电子商务,IT技术
云南,昆明市,江苏鱼跃医疗设备股份有限公司,医疗健康,生活服务
云南,昆明市,北京金山办公软件有限公司,移动互联网,IT技术
云南,昆明市,海易出行（北京）技术服务有限公司,O2O · 金融,"IT技术,金融财经"
云南,昆明市,福亿财富（天津）矿产资源经营有限公司深圳分公司,金融 · 移动互联网,"IT技术,金融财经"
云南,昆明市,上海天玑科技股份有限公司,数据服务,IT技术
云南,昆明市,云南祥鹏航空有限责任公司,其他 · 企业服务,IT技术
云南,昆明市,云南彩立方数据科技有限公司,移动互联网,IT技术
云南,昆明市,昆明怡美假日旅行社有限责任公司,移动互联网 · 旅游,"IT技术,生活服务"
云南,昆明市,上海郑明现代物流有限公司,企业服务,IT技术
云南,昆明市,北京快乐时代科技发展有限公司,电子商务 · 金融,"IT技术,金融财经"
云南,昆明市,北京壹号车科技有限公司云南分公司,金融 · 电子商务,"IT技术,金融财经"
云南,昆明市,北京市蜜蜂汇金科技有限公司,金融,金融财经
云南,昆明市,深圳市百利财富信息咨询有限公司,电子商务 · 金融,"IT技术,金融财经"
云南,昆明市,北京修业时代科技有限公司,信息安全 · 硬件,"IT技术,电子制造"
