Provience,City,CompanyShortName,IndustryField,Upper class of industry
内蒙古,呼和浩特市,广州玛瑞商务服务有限公司,医疗健康 · 生活服务,生活服务
内蒙古,呼和浩特市,陕西西部资信有限公司,移动互联网 · 企业服务,IT技术
内蒙古,呼和浩特市,北京天公瑞丰科技有限公司,分类信息,IT技术
内蒙古,呼和浩特市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
内蒙古,呼和浩特市,北京小鸟科技发展有限责任公司,硬件,电子制造
内蒙古,呼和浩特市,华蒙通物流控股有限公司,其他,其他
内蒙古,呼和浩特市,南京富士通计算机设备有限公司,硬件,电子制造
内蒙古,呼和浩特市,内蒙古华腾科技发展有限公司,移动互联网,IT技术
内蒙古,呼和浩特市,江苏新纪元信息发展有限公司,移动互联网,IT技术
内蒙古,呼和浩特市,北京天创星图信息技术有限公司,移动互联网,IT技术
内蒙古,呼和浩特市,中国电信股份有限公司云计算分公司,数据服务,IT技术
内蒙古,呼和浩特市,深圳市华旭科技开发有限公司,企业服务,IT技术
内蒙古,呼和浩特市,北京和创未来网络科技有限公司,电子商务 · 金融,"IT技术,金融财经"
内蒙古,呼和浩特市,北京鼎力创世科技有限公司,电子商务,IT技术
内蒙古,呼和浩特市,北京米学科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
内蒙古,呼和浩特市,北京科瑞哲数据系统有限公司,数据服务,IT技术
内蒙古,呼和浩特市,北京天拓斯特科技有限公司,信息安全 · 数据服务,IT技术
内蒙古,呼和浩特市,武汉天喻教育科技有限公司,移动互联网,IT技术
内蒙古,呼和浩特市,国信卓越信息咨询有限公司,金融,金融财经
内蒙古,呼和浩特市,内蒙古友云通信信息服务有限公司,移动互联网 · 企业服务,IT技术
内蒙古,呼和浩特市,杭州恩牛网络技术有限公司,金融 · 数据服务,"IT技术,金融财经"
内蒙古,呼和浩特市,呼和浩特市芒果网络服务有限公司,移动互联网 · 电子商务,IT技术
内蒙古,呼和浩特市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
内蒙古,呼和浩特市,北京谛纵国际管理咨询有限公司,移动互联网 · 企业服务,IT技术
内蒙古,呼和浩特市,上海趣医网络科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
内蒙古,呼和浩特市,北京盛世博创信息技术有限公司,其他,其他
内蒙古,呼和浩特市,北京福乐云检测科技有限公司,医疗健康,生活服务
内蒙古,呼和浩特市,西安格蒂电力有限公司,企业服务,IT技术
内蒙古,呼和浩特市,北京思特奇信息技术股份有限公司,数据服务,IT技术
