Provience,City,CompanyShortName,IndustryField,Upper class of industry
北京,北京,北京虫二公舍网络科技有限公司,移动互联网,IT技术
北京,北京,北京尚佳崇业教育科技有限公司,电子商务 · 教育,"IT技术,生活服务"
北京,北京,北京一网天行科技有限公司,企业服务,IT技术
北京,北京,幸福时空（北京）科技有限公司,移动互联网 · 游戏,IT技术
北京,北京,北京中教美育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
北京,北京,北京光宇在线科技有限责任公司,游戏,IT技术
北京,北京,良诺科贸有限公司,金融,金融财经
北京,北京,北京瑞观嘉信国际投资管理有限公司,移动互联网 · 数据服务,IT技术
北京,北京,北京农信互联科技有限公司,移动互联网,IT技术
北京,北京,北京农管家科技有限公司,移动互联网 · 电子商务,IT技术
北京,北京,北京快快网络技术有限公司,金融,金融财经
北京,北京,北京捷越联合信息咨询有限公司,金融,金融财经
北京,北京,广州亿航智能技术有限公司,移动互联网 · 硬件,"IT技术,电子制造"
北京,北京,北京联拓天际电子商务有限公司,电子商务,IT技术
北京,北京,寺库中国,移动互联网 · 电子商务,IT技术
北京,北京,北京亿航创世科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
北京,北京,北京饭通天下科技发展有限公司,电子商务 · 企业服务,IT技术
北京,北京,58赶集集团,移动互联网,IT技术
北京,北京,北京铭万智达科技有限公司,移动互联网 · 电子商务,IT技术
北京,北京,互动在线(北京)科技有限公司,电子商务 · 企业服务,IT技术
北京,北京,北京游必得科技有限公司,移动互联网,IT技术
北京,北京,北京蚂蚁宝宝移动科技有限公司,移动互联网,IT技术
北京,北京,北京联创智盟科技发展有限公司,移动互联网,IT技术
北京,北京,北京创优天下网络科技有限公司,教育 · 游戏,"IT技术,生活服务"
北京,北京,北京东方车云信息技术有限公司,移动互联网 · O2O,IT技术
北京,北京,北京迪殊科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
北京,北京,阿里巴巴（中国）网络技术有限公司,移动互联网,IT技术
北京,北京,上海七牛信息技术有限公司,移动互联网 · 数据服务,IT技术
北京,北京,广州坚和网络科技有限公司,移动互联网,IT技术
北京,北京,盤獅科技有限公司,移动互联网 · 游戏,IT技术
北京,北京,久亿财富（北京）投资有限公司,金融,金融财经
北京,北京,北京醋溜网络科技有限公司,移动互联网 · 电子商务,IT技术
北京,北京,中大网视（北京）科技有限公司,移动互联网,IT技术
北京,北京,遨博（北京）智能科技有限公司,移动互联网,IT技术
北京,北京,北京久久互动文化传媒有限公司,移动互联网,IT技术
北京,北京,北创投天下投资管理有限公司,移动互联网 · 金融,"IT技术,金融财经"
北京,北京,北京新东方前途出国咨询有限公司,教育 · 分类信息,"IT技术,生活服务"
北京,北京,现在（北京）支付股份有限公司,移动互联网,IT技术
北京,北京,北京华坤昊瑞科技有限责任公司,移动互联网 · 电子商务,IT技术
北京,北京,上海思蓄力教育科技有限公司,教育 · 移动互联网,"IT技术,生活服务"
北京,北京,北京智慧图科技有限责任公司,移动互联网 · 数据服务,IT技术
北京,北京,融泰浩元（北京）网络科技有限公司,金融,金融财经
北京,北京,北京伊系信息技术有限公司,移动互联网 · 电子商务,IT技术
北京,北京,网之易信息技术（北京）有限公司,数据服务 · 文化娱乐,"IT技术,生活服务"
北京,北京,天津融宝支付网络有限公司,金融,金融财经
北京,北京,欢网科技发展有限公司,硬件,电子制造
北京,北京,无线移乐（北京）科技有限责任公司,游戏,IT技术
北京,北京,一配网络科技（北京）有限公司,电子商务 · 企业服务,IT技术
北京,北京,北京木瓜移动科技有限公司,移动互联网,IT技术
北京,北京,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
北京,北京,北京迈诺凯投资咨询有限公司,移动互联网,IT技术
北京,北京,多点生活（中国）网络科技有限公司,电子商务 · O2O,IT技术
北京,北京,北京高策房地产经纪有限公司,O2O · 广告营销,"IT技术,金融财经"
北京,北京,北京华夏中圣科技有限公司,移动互联网 · 信息安全,IT技术
北京,北京,网之易信息技术（北京）有限公司,移动互联网,IT技术
北京,北京,宜创（北京）科技有限公司,移动互联网 · 企业服务,IT技术
北京,北京,南京云智信息科技有限公司,移动互联网 · O2O,IT技术
北京,北京,北京金叶天盛科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
北京,北京,汇中益信网络信息科技（北京）有限公司,金融,金融财经
北京,北京,北京传智播客教育科技有限公司,教育,生活服务
北京,北京,游美情景（北京）教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
北京,北京,北京联想利泰软件有限公司,移动互联网 · 招聘,"IT技术,生活服务"
北京,北京,新浪微博,移动互联网 · 社交网络,IT技术
北京,北京,北京易游华成科技有限公司,移动互联网,IT技术
北京,北京,乐活无限（北京）科技有限公司,移动互联网 · O2O,IT技术
北京,北京,北京九山九日软件科技有限公司,电子商务,IT技术
北京,北京,马上消费金融股份有限公司,金融,金融财经
北京,北京,暴风影音,文化娱乐,生活服务
北京,北京,北京果敢时代科技有限公司,移动互联网 · 电子商务,IT技术
北京,北京,北京易思宜学教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
北京,北京,广州爱稀饭网络科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
北京,北京,中科智水（北京）科技有限公司,企业服务 · 硬件,"IT技术,电子制造"
北京,北京,北京怡合春天科技有限公司,移动互联网 · O2O,IT技术
