Provience,City,CompanyShortName,IndustryField,Upper class of industry
吉林,吉林市,北京正和岛信息科技有限公司,移动互联网 · 社交网络,IT技术
吉林,吉林市,杭州溢点信息技术有限公司,移动互联网 · O2O,IT技术
吉林,吉林市,北京苹果知科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
吉林,吉林市,广东三盟信息科技有限公司,移动互联网 · 数据服务,IT技术
吉林,吉林市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
吉林,吉林市,上海博辕信息技术服务有限公司,移动互联网 · 数据服务,IT技术
吉林,吉林市,深圳市科脉技术股份有限公司,移动互联网,IT技术
吉林,吉林市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
吉林,吉林市,北京双磁信息科技有限公司,移动互联网 · 电子商务,IT技术
吉林,吉林市,深圳清大协力科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
吉林,吉林市,吉林省融惠财智金融信息服务有限公司,金融,金融财经
吉林,吉林市,北京大家网教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
