Provience,City,CompanyShortName,IndustryField,Upper class of industry
吉林,长春市,北京天才联盟教育科技有限公司,O2O · 教育,"IT技术,生活服务"
吉林,长春市,北京黑马自强投资管理有限公司,O2O · 金融,"IT技术,金融财经"
吉林,长春市,上海杰之能信息科技有限公司,数据服务,IT技术
吉林,长春市,广州玛瑞商务服务有限公司,医疗健康 · 生活服务,生活服务
吉林,长春市,玩心（上海）网络科技有限公司,移动互联网 · 游戏,IT技术
吉林,长春市,吉林省美讯网络科技有限公司,其他,其他
吉林,长春市,武汉蓝智科技有限公司,移动互联网 · 数据服务,IT技术
吉林,长春市,北京三正科技有限公司,移动互联网 · 数据服务,IT技术
吉林,长春市,北大医疗信息技术有限公司,医疗健康,生活服务
吉林,长春市,上海爱壹得信息科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
吉林,长春市,吉林省优源信息技术有限公司,电子商务 · 分类信息,IT技术
吉林,长春市,东北师大理想软件股份有限公司,移动互联网 · 教育,"IT技术,生活服务"
吉林,长春市,北京盛安德科技发展有限公司,移动互联网 · 企业服务,IT技术
吉林,长春市,广东酷配电子商务有限公司,电子商务,IT技术
吉林,长春市,深圳市科盾科技有限公司,移动互联网 · 信息安全,IT技术
吉林,长春市,吉林省车益佰科技股份有限公司长春分公司,移动互联网 · 电子商务,IT技术
吉林,长春市,郑州信大捷安信息技术股份有限公司,移动互联网 · 信息安全,IT技术
吉林,长春市,客如云科技（北京）股份有限公司沈阳分公司,移动互联网,IT技术
吉林,长春市,天津五八到家生活服务有限公司长春分公司,O2O,IT技术
吉林,长春市,北京一猫汽车科技有限公司,电子商务 · O2O,IT技术
吉林,长春市,科大讯飞股份有限公司,移动互联网 · 数据服务,IT技术
吉林,长春市,武汉天喻教育科技有限公司,移动互联网,IT技术
吉林,长春市,大连龙图信息技术股份有限公司,电子商务 · 企业服务,IT技术
吉林,长春市,福建新大陆支付技术有限公司,移动互联网,IT技术
吉林,长春市,北京和创未来网络科技有限公司,电子商务 · 金融,"IT技术,金融财经"
吉林,长春市,客如云科技（北京）股份有限公司,移动互联网 · O2O,IT技术
吉林,长春市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
吉林,长春市,北京苹果知科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
吉林,长春市,天津五八到家生活服务有限公司,移动互联网 · O2O,IT技术
吉林,长春市,杭州缦图摄影有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
吉林,长春市,航天科工深圳（集团）有限公司信息化事业部,移动互联网 · 企业服务,IT技术
吉林,长春市,上海趣医网络科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
吉林,长春市,武汉窗友科技有限公司,生活服务 · 移动互联网,"IT技术,生活服务"
吉林,长春市,吉林省微粒网络科技股份有限公司,移动互联网 · 教育,"IT技术,生活服务"
吉林,长春市,吉林省水星文化传媒有限公司,教育 · 广告营销,"金融财经,生活服务"
吉林,长春市,福州闲时间网络科技有限公司,移动互联网 · O2O,IT技术
