Provience,City,CompanyShortName,IndustryField,Upper class of industry
四川,乐山市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
四川,乐山市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
四川,内江市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
四川,凉山彝族自治州,深圳市壹捌无线科技有限公司,移动互联网,IT技术
四川,南充市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
四川,南充市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
四川,南充市,四川瀚华小额贷款有限公司,金融,金融财经
四川,南充市,北京壹号车科技有限公司四川分公司,电子商务 · O2O,IT技术
四川,宜宾市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
四川,宜宾市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
四川,宜宾市,北京壹号车科技有限公司四川分公司,电子商务 · O2O,IT技术
四川,巴中市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
四川,巴中市,北京壹号车科技有限公司四川分公司,电子商务 · O2O,IT技术
四川,广元市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
四川,广安市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
四川,德阳市,天津开发区先特网络系统有限公司,硬件 · 数据服务,"IT技术,电子制造"
四川,德阳市,四川八面城科技有限责任公司,生活服务 · 其他,生活服务
四川,德阳市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
四川,德阳市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
四川,成都市,成都波米科技有限公司,移动互联网,IT技术
四川,成都市,四川封面传媒有限责任公司,移动互联网,IT技术
四川,成都市,成都市投资宝金融外包服务有限公司,金融 · 数据服务,"IT技术,金融财经"
四川,成都市,成都冰清科技有限公司,移动互联网 · 数据服务,IT技术
四川,成都市,深圳市前海兆元谷信息产业有限公司,移动互联网 · 企业服务,IT技术
四川,成都市,成都我搜挖信息技术股份有限公司,移动互联网,IT技术
四川,成都市,成都大海怪科技有限公司,移动互联网 · 游戏,IT技术
四川,成都市,上海点荣金融信息服务有限责任公司,金融,金融财经
四川,成都市,成都盈同乐家信息技术有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,成都麦子信息技术有限公司,移动互联网 · 教育,"IT技术,生活服务"
四川,成都市,四川掌麦科技有限公司,移动互联网 · O2O,IT技术
四川,成都市,京东成都研究院,电子商务,IT技术
四川,成都市,北京云学时代科技有限公司,移动互联网,IT技术
四川,成都市,四川分享科技有限公司,移动互联网,IT技术
四川,成都市,成都玩者天下网络技术有限公司,移动互联网 · 电子商务,IT技术
四川,成都市,成都陌云科技有限公司,移动互联网,IT技术
四川,成都市,成都美誉梦科技有限公司,移动互联网 · 企业服务,IT技术
四川,成都市,成都星阵地科技有限公司,移动互联网,IT技术
四川,成都市,成都格志科技有限公司,移动互联网 · 数据服务,IT技术
四川,成都市,北京联想利泰软件有限公司,移动互联网 · 招聘,"IT技术,生活服务"
