Provience,City,CompanyShortName,IndustryField,Upper class of industry
四川,绵阳市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
四川,绵阳市,四川长虹智慧健康科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
四川,绵阳市,北京宣爱智能模拟技术股份公司,移动互联网 · 教育,"IT技术,生活服务"
四川,绵阳市,四川长虹电器股份有限公司,硬件,电子制造
四川,绵阳市,北京中天荣泰科技发展有限公司,其他,其他
四川,绵阳市,北京蜂巢天下信息技术有限公司,移动互联网 · 电子商务,IT技术
四川,绵阳市,绵阳维特塞尔网络科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
四川,绵阳市,深圳市千佰特科技有限公司,移动互联网 · 电子商务,IT技术
四川,绵阳市,绵阳且游网络科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
四川,绵阳市,成都中科合迅科技有限公司,移动互联网 · 企业服务,IT技术
四川,绵阳市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
四川,绵阳市,四川长虹点点帮科技有限公司,O2O,IT技术
四川,绵阳市,环球大爱（绵阳）网络科技有限公司,电子商务 · O2O,IT技术
