Provience,City,CompanyShortName,IndustryField,Upper class of industry
天津,天津,北京河狸家信息技术有限公司,移动互联网,IT技术
天津,天津,捷信消费金融有限公司,金融,金融财经
天津,天津,通赢天下（天津）网络科技有限公司,电子商务,IT技术
天津,天津,五八同城信息技术有限公司天津总部,O2O,IT技术
天津,天津,天津市英万科技有限公司,移动互联网 · 电子商务,IT技术
天津,天津,天津南大通用数据技术有限公司,企业服务 · 数据服务,IT技术
天津,天津,深圳市宁远科技有限公司,移动互联网,IT技术
天津,天津,天津洛讯网络科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
天津,天津,天津七迦二科技有限公司,电子商务 · 企业服务,IT技术
天津,天津,天津市基理科技有限公司,电子商务 · 企业服务,IT技术
天津,天津,漫威（天津）互动数码科技有限公司,移动互联网 · O2O,IT技术
天津,天津,天津微盟科技有限公司,移动互联网,IT技术
天津,天津,天津长荣健豪云印刷科技有限公司,电子商务,IT技术
天津,天津,北京字节跳动科技有限公司,移动互联网 · 数据服务,IT技术
天津,天津,上海屹通信息科技发展有限公司,金融,金融财经
天津,天津,世界玖玖（北京）电子商务有限公司,电子商务 · 旅游,"IT技术,生活服务"
天津,天津,圈圈互动（天津）科技有限公司,移动互联网 · 社交网络,IT技术
天津,天津,天津依子轩软件科技有限公司,移动互联网,IT技术
天津,天津,金色家园科技有限公司,O2O,IT技术
天津,天津,萌兔科技,移动互联网 · 电子商务,IT技术
天津,天津,北京凯伟金融服务外包有限公司天津经济咨询分公司,企业服务,IT技术
天津,天津,天津信一科技有限公司,旅游,生活服务
天津,天津,北京外研讯飞教育科技有限公司,教育,生活服务
天津,天津,天津益彩通达科技有限公司,移动互联网 · 数据服务,IT技术
天津,天津,天津水滴互联信息技术有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
天津,天津,天津市鹏迅网络科技有限公司,移动互联网 · 电子商务,IT技术
天津,天津,天津嘉业智德网络科技有限公司,数据服务 · 其他,IT技术
天津,天津,天津云商科技有限公司,移动互联网 · 企业服务,IT技术
天津,天津,天津乐享生活电子信息技术有限公司,电子商务 · O2O,IT技术
天津,天津,北京学众信息技术有限公司,教育,生活服务
天津,天津,天津市万贸科技有限公司,企业服务 · 文化娱乐,"IT技术,生活服务"
天津,天津,天津市恒金投资管理有限公司,金融,金融财经
天津,天津,南京市魔格信息科技有限公司,移动互联网,IT技术
