Provience,City,CompanyShortName,IndustryField,Upper class of industry
宁夏,银川市,陕西西部资信有限公司,移动互联网 · 企业服务,IT技术
宁夏,银川市,四川奥诚科技有限责任公司,信息安全,IT技术
宁夏,银川市,上海聚微计算机技术有限公司,移动互联网 · 企业服务,IT技术
宁夏,银川市,北京拓尔思信息技术股份有限公司,数据服务,IT技术
宁夏,银川市,江苏新纪元信息发展有限公司,移动互联网,IT技术
宁夏,银川市,深圳乖乖兔儿童用品科技发展有限公司,移动互联网 · 教育,"IT技术,生活服务"
宁夏,银川市,成都立元嘉合地产顾问有限责任公司,移动互联网 · 其他,IT技术
宁夏,银川市,万达信息股份有限公司,移动互联网 · 数据服务,IT技术
宁夏,银川市,北京思特奇信息技术股份有限公司陕西分支,移动互联网 · 数据服务,IT技术
宁夏,银川市,亚信科技（中国）有限公司,移动互联网 · 数据服务,IT技术
宁夏,银川市,上海趣医网络科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
宁夏,银川市,上海千叶网络科技有限公司,O2O,IT技术
宁夏,银川市,武汉天喻教育科技有限公司,移动互联网,IT技术
宁夏,银川市,武汉天喻通讯技术有限公司,移动互联网,IT技术
宁夏,银川市,宁夏葡华数联网络科技有限公司,移动互联网 · 电子商务,IT技术
宁夏,银川市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
宁夏,银川市,深圳市中兴云服务有限公司,企业服务 · 数据服务,IT技术
宁夏,银川市,北京中美寰宇科技有限责任公司,电子商务 · 其他,IT技术
宁夏,银川市,宁夏久零网络科技有限公司,移动互联网 · 电子商务,IT技术
宁夏,银川市,武汉佰钧成技术有限公司,移动互联网 · 分类信息,IT技术
宁夏,银川市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
宁夏,银川市,亚信科技（成都）有限公司,移动互联网 · 数据服务,IT技术
宁夏,银川市,深圳市百利财富信息咨询有限公司,电子商务 · 金融,"IT技术,金融财经"
宁夏,银川市,北京合力亿捷科技股份有限公司,移动互联网 · 企业服务,IT技术
宁夏,银川市,北京绿展投资有限公司,移动互联网 · 金融,"IT技术,金融财经"
宁夏,银川市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
宁夏,银川市,宁夏民间借贷登记服务中心有限公司,金融,金融财经
宁夏,银川市,陕西易联众信息技术有限公司,硬件 · 数据服务,"IT技术,电子制造"
