Provience,City,CompanyShortName,IndustryField,Upper class of industry
安徽,亳州市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
安徽,六安市,拉扎斯网络科技（上海）有限公司,移动互联网,IT技术
安徽,六安市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
安徽,合肥市,合肥启云软件有限公司,移动互联网,IT技术
安徽,合肥市,华奥国科体育大数据科技（北京）有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
安徽,合肥市,安徽乐金互联商务服务有限公司,O2O · 金融,"IT技术,金融财经"
安徽,合肥市,安徽中怡网络科技有限公司,电子商务,IT技术
安徽,合肥市,合肥科硕信息技术服务有限公司,企业服务 · 金融,"IT技术,金融财经"
安徽,合肥市,时代新媒体出版社有限责任公司,社交网络,IT技术
安徽,合肥市,安徽大尺度网络传媒有限公司,移动互联网 · O2O,IT技术
安徽,合肥市,成都番茄来了科技有限公司,电子商务 · 旅游,"IT技术,生活服务"
安徽,合肥市,安徽中新软件有限公司,硬件 · 信息安全,"IT技术,电子制造"
安徽,合肥市,上海屹通信息科技发展有限公司,金融,金融财经
安徽,合肥市,安徽果儿金融信息服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
安徽,合肥市,北京万户名媒科技有限公司合肥分公司,电子商务,IT技术
安徽,合肥市,安徽省中伟科计算机研究院有限公司,移动互联网,IT技术
安徽,合肥市,安徽网川信息科技有限公司,企业服务 · 金融,"IT技术,金融财经"
安徽,合肥市,北京天谱创辉企业管理咨询有限公司,教育,生活服务
安徽,合肥市,深圳三代人科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
安徽,合肥市,广州市医路同行医药技术有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
安徽,合肥市,科大讯飞股份有限公司,移动互联网 · 数据服务,IT技术
安徽,合肥市,合肥飞友网络科技有限公司,移动互联网,IT技术
安徽,合肥市,合肥掌韵车聚信息科技有限公司,移动互联网 · 电子商务,IT技术
安徽,合肥市,南京市魔格信息科技有限公司,移动互联网,IT技术
安徽,合肥市,合肥城市云数据中心有限公司,移动互联网 · 数据服务,IT技术
安徽,合肥市,天津五八到家生活服务有限公司,O2O · 生活服务,"IT技术,生活服务"
安徽,合肥市,安徽好牛软件有限公司,移动互联网 · 企业服务,IT技术
安徽,合肥市,安徽小点网络科技有限公司,移动互联网 · 企业服务,IT技术
安徽,合肥市,合肥让梨娃文化传媒有限公司,移动互联网 · 教育,"IT技术,生活服务"
安徽,合肥市,安徽物宝投资管理有限公司,移动互联网 · 金融,"IT技术,金融财经"
安徽,合肥市,合肥维天运通信息科技科技股份有限公司,移动互联网 · 电子商务,IT技术
安徽,合肥市,合肥彼岸互联信息技术有限公司,移动互联网 · O2O,IT技术
安徽,合肥市,安徽魅课信息科技有限公司,企业服务 · 教育,"IT技术,生活服务"
安徽,合肥市,安徽淮化集团有限公司,生活服务,生活服务
安徽,合肥市,安徽华米信息科技有限公司,移动互联网,IT技术
安徽,合肥市,北京浩瀚深度信息技术股份有限公司,硬件 · 数据服务,"IT技术,电子制造"
安徽,合肥市,合肥晶奇电子科技有限公司,电子商务,IT技术
安徽,合肥市,安徽省极索智能科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
安徽,合肥市,安徽嵘熙时代贸易有限公司,电子商务,IT技术
安徽,合肥市,合肥海分宝科技有限公司,电子商务 · 数据服务,IT技术
安徽,合肥市,广州玛瑞商务服务有限公司,医疗健康 · 生活服务,生活服务
安徽,合肥市,合肥星爵互动信息科技有限公司,移动互联网,IT技术
安徽,合肥市,合肥凯捷技术有限公司,移动互联网 · 电子商务,IT技术
安徽,合肥市,深圳市英莱合创电子有限公司,硬件 · 数据服务,"IT技术,电子制造"
安徽,合肥市,安徽万成达信息科技有限公司,移动互联网 · O2O,IT技术
安徽,合肥市,合肥星爵互动信息科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
安徽,合肥市,合肥尖峰网络科技有限公司,移动互联网 · 电子商务,IT技术
安徽,合肥市,重庆天极网络有限公司,文化娱乐,生活服务
安徽,合肥市,深圳市动态电子商务有限公司,电子商务,IT技术
安徽,合肥市,北京百家互联科技有限公司合肥分公司,移动互联网 · 教育,"IT技术,生活服务"
安徽,合肥市,上海至臻信息科技有限公司,移动互联网 · 其他,IT技术
安徽,合肥市,合肥斡亿信息科技有限公司,移动互联网,IT技术
安徽,合肥市,安徽机器猫电子商务股份有限公司,移动互联网 · O2O,IT技术
安徽,合肥市,兰州可伴信息科技有限责任公司,移动互联网 · 硬件,"IT技术,电子制造"
安徽,合肥市,上海金仕达多媒体有限公司合肥分公司,教育,生活服务
安徽,合肥市,合肥宽土猫科技有限公司,移动互联网,IT技术
安徽,合肥市,合肥市罗姆特信息技术有限公司,移动互联网 · 硬件,"IT技术,电子制造"
安徽,合肥市,北京合力亿捷科技股份有限公司,移动互联网 · 企业服务,IT技术
安徽,合肥市,安徽守株待兔网络科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
安徽,合肥市,上海新炬网络技术有限公司,移动互联网 · 数据服务,IT技术
安徽,合肥市,合肥海拔网络科技有限公司,移动互联网 · O2O,IT技术
安徽,合肥市,合肥晨飞网络科技有限公司,移动互联网 · 企业服务,IT技术
安徽,合肥市,重庆猪八戒网络有限公司,电子商务 · 生活服务,"IT技术,生活服务"
安徽,合肥市,北京逸生活技术服务有限公司,移动互联网 · O2O,IT技术
安徽,合肥市,北京众筹客网络技术有限公司,O2O · 金融,"IT技术,金融财经"
安徽,合肥市,安徽途冠网络科技有限公司,电子商务 · 旅游,"IT技术,生活服务"
安徽,合肥市,杭州恒镁电子科技有限公司,移动互联网,IT技术
安徽,合肥市,安徽同徽信息技术有限公司,电子商务 · 企业服务,IT技术
安徽,合肥市,广东酷配电子商务有限公司,电子商务,IT技术
安徽,合肥市,合肥东方红商贸有限责任公司,企业服务 · O2O,IT技术
安徽,合肥市,安徽美服网络科技有限公司,电子商务,IT技术
安徽,合肥市,上海趣盛网络科技有限公司,O2O,IT技术
安徽,合肥市,上海你福软件有限公司,移动互联网,IT技术
安徽,合肥市,合肥睿帮信息技术有限公司,移动互联网 · 数据服务,IT技术
安徽,合肥市,合肥乐堂动漫信息技术有限公司,游戏,IT技术
安徽,合肥市,上海天脉聚源文化传媒有限公司,信息安全,IT技术
安徽,合肥市,合肥掌触网络科技有限公司,移动互联网,IT技术
安徽,合肥市,安徽长天资产管理有限公司,金融,金融财经
安徽,合肥市,广州酷旅旅行社有限公司,电子商务 · 生活服务,"IT技术,生活服务"
安徽,合肥市,合肥柏庆文化传媒有限公司,移动互联网 · 企业服务,IT技术
安徽,合肥市,牛乾金融信息服务（上海）有限公司,金融,金融财经
安徽,合肥市,上海幻触信息科技有限公司,游戏 · 硬件,"IT技术,电子制造"
安徽,合肥市,成都博恩电科信息科技有限公司,移动互联网,IT技术
安徽,合肥市,安徽易路同行网络科技有限公司,移动互联网 · 企业服务,IT技术
安徽,合肥市,杭州幺二幺七信息技术有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
安徽,合肥市,安徽欣创网络科技有限公司,移动互联网 · 电子商务,IT技术
安徽,合肥市,安徽中融一旦科技有限公司,移动互联网 · 企业服务,IT技术
安徽,合肥市,温州联发法兰管件安徽有限公司,电子商务 · 其他,IT技术
安徽,合肥市,上海益盟软件技术股份有限公司安徽分公司,金融,金融财经
安徽,合肥市,合肥小馆信息科技有限公司,移动互联网 · O2O,IT技术
安徽,合肥市,北京赞同科技发展有限公司,金融,金融财经
安徽,合肥市,南京禧德文化传播有限公司合肥分公司,教育 · 旅游,生活服务
安徽,合肥市,安徽网新科技有限公司,移动互联网,IT技术
安徽,合肥市,安徽联合创想科技有限公司,移动互联网 · 电子商务,IT技术
安徽,合肥市,合肥齐屋网络科技有限公司,移动互联网,IT技术
安徽,合肥市,安徽游酷网络科技有限公司,移动互联网,IT技术
安徽,合肥市,安徽速考通网络科技股份有限公司,移动互联网,IT技术
安徽,合肥市,合肥盘戈班网络科技有限公司,移动互联网 · 游戏,IT技术
安徽,合肥市,安徽新安爱房资讯有限公司,移动互联网,IT技术
安徽,合肥市,杭州网兰科技有限公司,移动互联网 · O2O,IT技术
安徽,合肥市,合肥助跑网络科技有限公司,电子商务,IT技术
安徽,合肥市,上海聚微计算机技术有限公司,移动互联网 · 企业服务,IT技术
安徽,合肥市,沈阳子介传媒有限公司,O2O,IT技术
安徽,合肥市,上海亘聚信息科技有限公司,移动互联网 · 社交网络,IT技术
安徽,合肥市,北京五八信息技术有限公司郑州分公司,移动互联网 · O2O,IT技术
安徽,合肥市,北京掌慧纵盈科技股份有限公司,移动互联网,IT技术
安徽,合肥市,国邦（深圳）金融服务集团有限公司,O2O · 金融,"IT技术,金融财经"
安徽,合肥市,合肥市百安特商贸有限公司,电子商务 · 生活服务,"IT技术,生活服务"
安徽,合肥市,北京思源时代科技有限公司,企业服务 · 数据服务,IT技术
安徽,合肥市,上海快捞信息科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
安徽,合肥市,58到家,移动互联网 · O2O,IT技术
安徽,合肥市,农仁街电子商务有限公司,电子商务,IT技术
安徽,合肥市,上海乾生乾金融信息服务有限公司,金融,金融财经
安徽,合肥市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
安徽,合肥市,北京宏达事兴网络技术有限公司合肥分公司,移动互联网 · 数据服务,IT技术
安徽,合肥市,安徽善金科技股份有限公司,移动互联网 · O2O,IT技术
安徽,合肥市,合肥海茗兰传媒有限公司,移动互联网,IT技术
安徽,合肥市,合肥众翔电子技术有限公司,电子商务,IT技术
安徽,合肥市,北京韵盛发科技有限公司,硬件 · 数据服务,"IT技术,电子制造"
安徽,合肥市,合肥第一页网络科技有限公司,移动互联网 · 电子商务,IT技术
安徽,合肥市,广州万户网络技术有限公司,电子商务 · 企业服务,IT技术
安徽,合肥市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
安徽,合肥市,杭州智玲无纺布机械设备有限公司,移动互联网 · 电子商务,IT技术
安徽,合肥市,杏树林信息技术（北京）有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
安徽,合肥市,安徽莲邦互联网金融服务有限公司,金融 · 移动互联网,"IT技术,金融财经"
安徽,合肥市,北京国人通教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
安徽,合肥市,合肥天源迪科信息技术有限公司,移动互联网 · 数据服务,IT技术
安徽,合肥市,合肥网达软件有限公司,移动互联网,IT技术
安徽,合肥市,合肥市博思堂广告有限公司,广告营销,金融财经
安徽,合肥市,上海时代光华教育发展有限公司,移动互联网 · 电子商务,IT技术
安徽,合肥市,合肥乐维信息技术有限公司,移动互联网 · 数据服务,IT技术
安徽,合肥市,安徽孚睿信息科技有限公司,移动互联网 · 电子商务,IT技术
安徽,合肥市,和泰通汇（北京）投资发展股份有限公司,电子商务,IT技术
安徽,合肥市,华米(北京)信息科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
安徽,合肥市,广州爱立信通讯服务有限公司广州第一分公司,移动互联网,IT技术
安徽,合肥市,广州海鹚网络科技有限公司,移动互联网,IT技术
安徽,合肥市,合肥新东方外语培训学校,教育,生活服务
