Provience,City,CompanyShortName,IndustryField,Upper class of industry
山东,临沂市,青岛天高智慧科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
山东,临沂市,点豆（山东）网络技术有限公司,移动互联网 · 电子商务,IT技术
山东,临沂市,临沂市新商网络技术有限公司,移动互联网 · 电子商务,IT技术
山东,临沂市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
山东,临沂市,新农道电子商务公司,移动互联网 · 电子商务,IT技术
山东,临沂市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
山东,临沂市,上海噶盖网络科技有限公司,移动互联网 · O2O,IT技术
山东,临沂市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
山东,临沂市,北京乐洋昊天科技有限公司,移动互联网 · O2O,IT技术
山东,临沂市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
山东,临沂市,南京金斯瑞生物科技有限公司,医疗健康 · 教育,生活服务
山东,临沂市,深圳云网通网络科技有限公司,移动互联网 · 电子商务,IT技术
山东,临沂市,南京宜流信息咨询有限公司,移动互联网 · O2O,IT技术
山东,临沂市,安徽延生药业有限公司,医疗健康 · 其他,生活服务
山东,临沂市,山东千米购电商科技有限公司,电子商务 · O2O,IT技术
