Provience,City,CompanyShortName,IndustryField,Upper class of industry
山东,东营市,深圳市北辰德科技有限公司,硬件,电子制造
山东,东营市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
山东,东营市,北京汇通天下物联科技有限公司,移动互联网 · 数据服务,IT技术
山东,东营市,培高（北京）商业连锁有限公司,企业服务 · 其他,IT技术
山东,东营市,上海震旦办公自动化销售有限公司,企业服务,IT技术
山东,东营市,杭州洋驼网络科技有限公司,电子商务,IT技术
山东,东营市,上海震旦办公自动化销售有限公司青岛分公司,硬件 · 企业服务,"IT技术,电子制造"
山东,临沂市,青岛天高智慧科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
山东,临沂市,点豆（山东）网络技术有限公司,移动互联网 · 电子商务,IT技术
山东,临沂市,临沂市新商网络技术有限公司,移动互联网 · 电子商务,IT技术
山东,临沂市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
山东,临沂市,新农道电子商务公司,移动互联网 · 电子商务,IT技术
山东,临沂市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
山东,临沂市,上海噶盖网络科技有限公司,移动互联网 · O2O,IT技术
山东,临沂市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
山东,临沂市,北京乐洋昊天科技有限公司,移动互联网 · O2O,IT技术
山东,临沂市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
山东,临沂市,南京金斯瑞生物科技有限公司,医疗健康 · 教育,生活服务
山东,临沂市,深圳云网通网络科技有限公司,移动互联网 · 电子商务,IT技术
山东,临沂市,南京宜流信息咨询有限公司,移动互联网 · O2O,IT技术
山东,临沂市,安徽延生药业有限公司,医疗健康 · 其他,生活服务
山东,临沂市,山东千米购电商科技有限公司,电子商务 · O2O,IT技术
山东,威海市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
山东,威海市,威海众成信息科技股份有限公司,移动互联网 · 硬件,"IT技术,电子制造"
山东,威海市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
山东,威海市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
山东,威海市,宜兴大师兄科技有限公司,移动互联网 · O2O,IT技术
山东,威海市,威海卓美网络科技有限公司,电子商务 · 企业服务,IT技术
山东,德州市,青岛天高智慧科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
山东,德州市,北京天之华软件系统技术有限责任公司,数据服务,IT技术
山东,德州市,德州天雁软件技术有限公司,移动互联网 · 企业服务,IT技术
山东,德州市,北京全利汇丰信息服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
山东,德州市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
山东,德州市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
山东,日照市,北京汇通天下物联科技有限公司,移动互联网 · 数据服务,IT技术
山东,日照市,浙江臻善科技有限公司,企业服务,IT技术
山东,日照市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
山东,日照市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
山东,枣庄市,杭州洋驼网络科技有限公司,电子商务,IT技术
山东,枣庄市,北京麦豆非凡科技有限公司,移动互联网,IT技术
山东,枣庄市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
山东,枣庄市,南京金斯瑞生物科技有限公司,医疗健康 · 教育,生活服务
山东,枣庄市,安徽网新科技有限公司,移动互联网,IT技术
山东,泰安市,深圳一手活信息技术股份有限公司,移动互联网 · O2O,IT技术
山东,泰安市,济南康健网络技术有限公司,移动互联网,IT技术
山东,泰安市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
山东,泰安市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
山东,泰安市,安徽省安泰科技股份有限公司,企业服务 · 生活服务,"IT技术,生活服务"
山东,泰安市,泰安市诺盾网络有限公司,移动互联网 · 电子商务,IT技术
山东,泰安市,东华软件股份公司,企业服务 · 数据服务,IT技术
山东,泰安市,泰安龙潭文化传媒有限公司,移动互联网 · 社交网络,IT技术
山东,济南市,山东博昂信息科技有限公司,数据服务 · 其他,IT技术
山东,济南市,北京易麦克科技有限公司,数据服务,IT技术
