Provience,City,CompanyShortName,IndustryField,Upper class of industry
山东,济宁市,杭州航讯科技有限公司,移动互联网,IT技术
山东,济宁市,柯莱特信息技术有限公司（上海）,企业服务 · 其他,IT技术
山东,济宁市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
山东,济宁市,山东转转电子商务有限公司,电子商务,IT技术
山东,济宁市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
山东,济宁市,济南云中万象数据系统有限公司,移动互联网,IT技术
山东,济宁市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
山东,济宁市,南京金斯瑞生物科技有限公司,医疗健康 · 教育,生活服务
山东,济宁市,山东神华信息技术有限公司,移动互联网 · 电子商务,IT技术
山东,济宁市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
山东,济宁市,诺和诺德（中国）制药有限公司,医疗健康,生活服务
山东,济宁市,陕西维纳传媒股份有限公司,移动互联网 · 金融,"IT技术,金融财经"
山东,济宁市,山东兰蔓信息科技有限公司,电子商务,IT技术
山东,济宁市,中煤第五建设有限公司,企业服务 · 其他,IT技术
