Provience,City,CompanyShortName,IndustryField,Upper class of industry
山东,淄博市,武汉默联股份有限公司,移动互联网,IT技术
山东,淄博市,广东酷配电子商务有限公司,电子商务,IT技术
山东,淄博市,北京天之华软件系统技术有限责任公司,数据服务,IT技术
山东,淄博市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
山东,淄博市,深圳市卡控科技有限公司朝阳分公司,移动互联网 · O2O,IT技术
山东,淄博市,美达王（上海）有限公司,企业服务 · 其他,IT技术
山东,淄博市,济南旺铺猫电子商务有限公司,电子商务 · 广告营销,"IT技术,金融财经"
山东,淄博市,安徽省安泰科技股份有限公司,企业服务 · 生活服务,"IT技术,生活服务"
山东,淄博市,医宝信息科技（上海）有限公司,电子商务 · 医疗健康,"IT技术,生活服务"
山东,淄博市,培高（北京）商业连锁有限公司,企业服务 · 其他,IT技术
山东,淄博市,安徽网新科技有限公司,移动互联网,IT技术
山东,淄博市,马上消费金融股份有限公司,金融,金融财经
山东,淄博市,杭州洋驼网络科技有限公司,电子商务,IT技术
山东,淄博市,上海震旦办公自动化销售有限公司青岛分公司,硬件 · 企业服务,"IT技术,电子制造"
