Provience,City,CompanyShortName,IndustryField,Upper class of industry
山东,烟台市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
山东,烟台市,山东摩西网络科技有限公司,移动互联网 · O2O,IT技术
山东,烟台市,烟台恒瑞网络科技有限公司,移动互联网 · 电子商务,IT技术
山东,烟台市,烟台七木网络科技有限公司,移动互联网 · 社交网络,IT技术
山东,烟台市,北京宇信易诚网络技术有限公司,电子商务 · 金融,"IT技术,金融财经"
山东,烟台市,烟台网格软件技术有限公司,移动互联网 · 社交网络,IT技术
山东,烟台市,北京窝窝团信息技术有限公司,电子商务,IT技术
山东,烟台市,烟台网云网络科技有限公司,移动互联网,IT技术
山东,烟台市,烟台欣和企业食品有限公司,生活服务,生活服务
山东,烟台市,山东眯去来网络科技有限公司,移动互联网,IT技术
山东,烟台市,金东纳奇科技（加拿大）,移动互联网 · 电子商务,IT技术
山东,烟台市,鼎盛财富投资管理（北京）有限公司烟台分公司,金融,金融财经
山东,烟台市,山东捷瑞数字科技股份有限公司,移动互联网 · 企业服务,IT技术
山东,烟台市,人人行科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
山东,烟台市,北京秒针信息咨询有限公司,数据服务 · 广告营销,"IT技术,金融财经"
山东,烟台市,恒丰银行股份有限公司移动金融部,移动互联网 · 金融,"IT技术,金融财经"
山东,烟台市,UNITEDSTACK（北京）科技有限公司,数据服务,IT技术
山东,烟台市,北京校酷网络科技有限公司,移动互联网 · 社交网络,IT技术
山东,烟台市,上海玮智创意咨询有限公司,移动互联网 · 电子商务,IT技术
山东,烟台市,厦门市石秀才信息科技有限公司,移动互联网 · 电子商务,IT技术
山东,烟台市,山东鼎信网络科技有限公司,移动互联网 · 电子商务,IT技术
山东,烟台市,山东艾欧特集团,移动互联网 · 电子商务,IT技术
山东,烟台市,淘金科技投资（北京）股份有限公司,移动互联网 · 金融,"IT技术,金融财经"
山东,烟台市,云上部落网络科技（北京）有限责任公司,移动互联网 · 金融,"IT技术,金融财经"
山东,烟台市,上海趣盛网络科技有限公司,O2O,IT技术
山东,烟台市,烟台落基伟业通讯科技有限公司,电子商务,IT技术
山东,烟台市,国信卓越信息咨询有限公司,金融,金融财经
山东,烟台市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
山东,烟台市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
山东,烟台市,烟台玉兔网络科技有限公司,移动互联网 · 电子商务,IT技术
山东,烟台市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
山东,烟台市,北京汇医在线科技有限公司,移动互联网,IT技术
山东,烟台市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
山东,烟台市,济南云中万象数据系统有限公司,移动互联网,IT技术
山东,烟台市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
山东,烟台市,北京信悦通科技有限公司烟台分公司,移动互联网 · 其他,IT技术
山东,烟台市,山东智慧生活数据系统有限公司,数据服务 · 硬件,"IT技术,电子制造"
山东,烟台市,烟台网亿网络科技有限公司,移动互联网 · 电子商务,IT技术
山东,烟台市,烟台一心信息技术有限公司,移动互联网 · 电子商务,IT技术
山东,烟台市,成都文思海辉技术有限公司,移动互联网 · 电子商务,IT技术
山东,烟台市,培高（北京）商业连锁有限公司,企业服务 · 其他,IT技术
山东,烟台市,深圳市长亮科技股份有限公司,企业服务,IT技术
山东,烟台市,山东锐杰网格信息技术有限公司,移动互联网 · 教育,"IT技术,生活服务"
山东,烟台市,安徽延生药业有限公司,医疗健康 · 其他,生活服务
山东,烟台市,烟台牧哲信息技术有限公司,移动互联网 · 教育,"IT技术,生活服务"
山东,烟台市,知识有家,教育,生活服务
山东,烟台市,上海震旦办公自动化销售有限公司青岛分公司,硬件 · 企业服务,"IT技术,电子制造"
山东,烟台市,御驾（上海）网络技术服务有限公司,移动互联网 · O2O,IT技术
