Provience,City,CompanyShortName,IndustryField,Upper class of industry
山西,太原市,广州酷旅旅行社有限公司,电子商务 · 生活服务,"IT技术,生活服务"
山西,太原市,北京百家互联科技有限公司太原分公司,移动互联网 · 教育,"IT技术,生活服务"
山西,太原市,北京思特奇信息技术股份有限公司（山西分公司）,移动互联网 · 数据服务,IT技术
山西,太原市,广州玛瑞商务服务有限公司,医疗健康 · 生活服务,生活服务
山西,太原市,广州易觅网络科技有限公司,移动互联网 · O2O,IT技术
山西,太原市,客如云科技（北京）股份有限公司,移动互联网 · O2O,IT技术
山西,太原市,南京市魔格信息科技有限公司,移动互联网,IT技术
山西,太原市,保利（北京）能源电子商务发展有限公司,电子商务,IT技术
山西,太原市,五八同城信息技术有限公司太原分公司,生活服务,生活服务
山西,太原市,陕西西部资信有限公司,移动互联网 · 企业服务,IT技术
山西,太原市,山西二手汇科技有限公司,移动互联网,IT技术
山西,太原市,山西晋购电子商务有限公司,电子商务,IT技术
山西,太原市,山西易通天下网络科技有限公司,电子商务 · O2O,IT技术
山西,太原市,北京小鸟科技发展有限责任公司,硬件,电子制造
山西,太原市,太原市晋龙涂料有限公司,其他,其他
山西,太原市,深圳市优学天下教育发展股份有限公司,移动互联网,IT技术
山西,太原市,北京天扬君合税务师事务所有限责任公司,企业服务,IT技术
山西,太原市,山西智博睿星科技有限公司,移动互联网 · 电子商务,IT技术
山西,太原市,广东酷配电子商务有限公司,电子商务,IT技术
山西,太原市,森纵艾德（北京）教育科技有限公司,教育 · 数据服务,"IT技术,生活服务"
山西,太原市,人人天使投资管理（北京）股份有限公司,O2O · 金融,"IT技术,金融财经"
山西,太原市,北京交安通达信息技术有限公司,移动互联网 · 硬件,"IT技术,电子制造"
山西,太原市,山西六帝网络科技有限公司,移动互联网 · 电子商务,IT技术
山西,太原市,山西悦泓科技有限公司,企业服务 · 广告营销,"IT技术,金融财经"
山西,太原市,深圳市思迪信息技术股份有限公司,移动互联网 · 金融,"IT技术,金融财经"
山西,太原市,上海乾生乾金融信息服务有限公司,金融,金融财经
山西,太原市,深圳乖乖兔儿童用品科技发展有限公司,移动互联网 · 教育,"IT技术,生活服务"
山西,太原市,杭州轩潮科技有限公司,电子商务,IT技术
山西,太原市,搜狐媒体,移动互联网 · 广告营销,"IT技术,金融财经"
山西,太原市,山西百得科技开发有限公司,移动互联网,IT技术
山西,太原市,广州海鹚网络科技有限公司,移动互联网,IT技术
山西,太原市,太原市楼梯间科技有限公司,O2O · 生活服务,"IT技术,生活服务"
