Provience,City,CompanyShortName,IndustryField,Upper class of industry
广东,中山市,杭州第九区科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
广东,中山市,中山市龙腾电子商务有限公司,移动互联网 · 电子商务,IT技术
广东,中山市,广东酷配电子商务有限公司,电子商务,IT技术
广东,中山市,广州一派信息科技有限公司,移动互联网 · 社交网络,IT技术
广东,中山市,珠海市思为软件技术有限公司,企业服务,IT技术
广东,中山市,广东乐心医疗电子股份有限公司,移动互联网 · 硬件,"IT技术,电子制造"
广东,中山市,中山市声屏汇智能信息有限公司,移动互联网,IT技术
广东,中山市,中山市艾文凯迪投资管理有限公司,O2O · 数据服务,IT技术
广东,中山市,广东华邦云计算股份有限公司,移动互联网 · 电子商务,IT技术
广东,中山市,深圳市银河风云网络系统股份有限公司,移动互联网 · 硬件,"IT技术,电子制造"
广东,中山市,深圳市云房网络科技有限公司,O2O,IT技术
广东,中山市,佛山天一众合科技发展有限公司,企业服务 · 数据服务,IT技术
广东,中山市,中山电谷科技有限公司,移动互联网 · 电子商务,IT技术
广东,中山市,中山微众文化传媒有限公司,移动互联网 · 企业服务,IT技术
广东,中山市,北京思迈新电子商务有限公司,电子商务,IT技术
广东,中山市,广东时代互联科技有限公司,移动互联网,IT技术
广东,中山市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
广东,中山市,中山维思普胜网络科技有限公司,移动互联网,IT技术
广东,中山市,中山市易达电子商务有限公司,电子商务,IT技术
广东,中山市,中山市读书郎电子有限公司,移动互联网,IT技术
广东,中山市,广州吉沃科技有限公司,移动互联网 · O2O,IT技术
广东,中山市,中山赢友网络科技有限公司,移动互联网 · 企业服务,IT技术
广东,中山市,慧聪网产业带,电子商务 · 企业服务,IT技术
广东,中山市,中山市八号电子商务有限公司,电子商务,IT技术
广东,中山市,广东能龙软件科技有限公司,移动互联网,IT技术
广东,中山市,中山日先联亚展示用品有限公司,企业服务 · 广告营销,"IT技术,金融财经"
广东,中山市,广州汇思信息科技有限公司,移动互联网 · 企业服务,IT技术
广东,中山市,中山二次方网络科技有限公司,移动互联网 · 电子商务,IT技术
广东,中山市,北京软通聚力技术有限公司,电子商务 · 企业服务,IT技术
广东,中山市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
广东,中山市,广州喜市多便利连锁有限公司,O2O · 生活服务,"IT技术,生活服务"
广东,中山市,广东亿迅科技有限公司,其他,其他
广东,中山市,中山市地球村网络有限公司,电子商务,IT技术
广东,中山市,广州市乔冠网络科技有限公司,移动互联网 · O2O,IT技术
广东,中山市,中山市飞骅数码科技有限公司,移动互联网,IT技术
广东,中山市,广东全通教育股份有限公司,移动互联网 · 教育,"IT技术,生活服务"
广东,中山市,北京云纵互联信息技术有限公司,移动互联网 · O2O,IT技术
广东,中山市,广州市周周发电子商务有限公司,移动互联网,IT技术
广东,中山市,深圳市易达云科技有限公司中山分公司,电子商务 · 企业服务,IT技术
广东,中山市,北京本来工坊科技有限公司,电子商务,IT技术
广东,中山市,中山市明源企业管理有限公司,移动互联网 · 企业服务,IT技术
广东,中山市,广州市连奖网络科技有限公司,移动互联网 · 电子商务,IT技术
广东,中山市,好买财富管理股份有限公司,电子商务 · 金融,"IT技术,金融财经"
广东,中山市,中山维思普胜网络科技有限公司,电子商务,IT技术
广东,中山市,北京融联世纪信息技术有限公司,移动互联网 · 金融,"IT技术,金融财经"
广东,中山市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
广东,中山市,武汉落地创意文化传播有限公司,电子商务 · 数据服务,IT技术
广东,中山市,广州易付通信息技术有限公司,移动互联网,IT技术
广东,中山市,广东今科道同科技有限公司,移动互联网,IT技术
广东,中山市,珠海市粤疆图网络科技有限公司,电子商务 · O2O,IT技术
广东,中山市,美日国际-中山市美日洁宝有限公司,其他,其他
广东,中山市,深圳市新微云科技有限公司,企业服务,IT技术
广东,中山市,高高信息科技有限公司,移动互联网 · O2O,IT技术
广东,中山市,广州慧阳信息科技有限公司,移动互联网,IT技术
广东,中山市,上海一起作业信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
广东,中山市,中山市堂吉诃德教育投资有限公司,教育,生活服务
广东,中山市,中山点通网络科技有限公司,企业服务,IT技术
广东,中山市,中山市獒王汽车用品有限公司,移动互联网 · O2O,IT技术
广东,中山市,中山市群登照明有限公司,O2O · 电子商务,IT技术
广东,中山市,广东安乐窝网络科技有限公司,移动互联网 · 电子商务,IT技术
广东,中山市,广东触点科技有限公司,移动互联网 · O2O,IT技术
