Provience,City,CompanyShortName,IndustryField,Upper class of industry
广东,佛山市,SKG集团广州公司,移动互联网 · 电子商务,IT技术
广东,佛山市,广东宝裕集团有限公司,企业服务 · 金融,"IT技术,金融财经"
广东,佛山市,广东智酷电子商务有限公司,电子商务 · 移动互联网,IT技术
广东,佛山市,鸿宝易装网络科技（深圳）有限公司,移动互联网 · 电子商务,IT技术
广东,佛山市,佛山市盖亚魔力网络有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
广东,佛山市,广东美的厨房电器制造有限公司,硬件,电子制造
广东,佛山市,佛山市完美天商网络技术有限公司,电子商务,IT技术
广东,佛山市,深圳市深山进行老林企业管理咨询有限公司,移动互联网 · O2O,IT技术
广东,佛山市,广东易木世界网络科技有限公司,移动互联网 · 电子商务,IT技术
广东,佛山市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
广东,佛山市,深圳市亿动力信息科技有限公司,电子商务,IT技术
广东,佛山市,上海屹通信息科技发展有限公司,金融,金融财经
广东,佛山市,佛山市亿动网络有限公司,企业服务 · 数据服务,IT技术
广东,佛山市,美的智慧家居研究院,硬件,电子制造
广东,佛山市,方欣科技有限公司,移动互联网,IT技术
广东,佛山市,上海华腾软件系统有限公司,金融,金融财经
广东,佛山市,北京创景咨询有限公司,移动互联网 · 电子商务,IT技术
广东,佛山市,广州市景心科技股份有限公司,移动互联网 · O2O,IT技术
广东,佛山市,广东联塑科技实业有限公司,生活服务,生活服务
广东,佛山市,广东省佛山市顺德区九鼎世纪网络科技有限公司,移动互联网 · 电子商务,IT技术
广东,佛山市,北京宏基恒信科技有限责任公司,金融 · 数据服务,"IT技术,金融财经"
广东,佛山市,美的集团股份有限公司,硬件,电子制造
广东,佛山市,佛山市顺德区碧桂园物业发展有限公司,O2O · 其他,IT技术
广东,佛山市,深圳市石豆软件技术有限公司,移动互联网,IT技术
广东,佛山市,佛山市爱皮皮科技有限公司,移动互联网 · 企业服务,IT技术
广东,佛山市,上海点荣金融信息服务有限责任公司禅城分公司,金融,金融财经
广东,佛山市,佛山市银刃信息技术服务有限公司,移动互联网,IT技术
广东,佛山市,广州市皓彩数码科技有限公司,其他,其他
广东,佛山市,深圳市鹰利科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
广东,佛山市,中兴软件技术（南昌）有限公司,移动互联网,IT技术
广东,佛山市,佛山市云微购信息科技有限公司,电子商务 · O2O,IT技术
广东,佛山市,广东华邦云计算股份有限公司,移动互联网 · 电子商务,IT技术
广东,佛山市,深圳市云房网络科技有限公司,O2O,IT技术
广东,佛山市,佛山天一众合科技发展有限公司,企业服务 · 数据服务,IT技术
广东,佛山市,广州湘润信息科技有限公司,移动互联网 · 企业服务,IT技术
广东,佛山市,广东金发策划管理有限公司,电子商务,IT技术
广东,佛山市,广东动易软件股份有限公司,移动互联网,IT技术
广东,佛山市,佛山艾特优信息技术有限公司,移动互联网 · 企业服务,IT技术
广东,佛山市,佛山市南海友诚小额贷款有限公司,金融,金融财经
广东,佛山市,佛山市柠檬客科技投资有限公司,移动互联网 · O2O,IT技术
广东,佛山市,广州妙课网络科技有限公司,O2O · 教育,"IT技术,生活服务"
广东,佛山市,美的集团总部流程IT,移动互联网 · 其他,IT技术
广东,佛山市,佛山辰宜信息科技有限公司,移动互联网 · 数据服务,IT技术
广东,佛山市,广州卡考网络科技有限公司,移动互联网 · O2O,IT技术
广东,佛山市,杭州龙席网络科技发展有限公司,电子商务,IT技术
广东,佛山市,高高信息科技有限公司,移动互联网 · O2O,IT技术
广东,佛山市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
广东,佛山市,广州市艾诗凯奇进出口有限公司,移动互联网 · 电子商务,IT技术
广东,佛山市,深圳市对庄科技有限公司,移动互联网,IT技术
广东,佛山市,北京软通聚力技术有限公司,电子商务 · 企业服务,IT技术
广东,佛山市,广东艾科技术股份有限公司,移动互联网 · O2O,IT技术
广东,佛山市,广州永霸信息科技有限公司,金融,金融财经
广东,佛山市,佛山市和购家具有限公司,电子商务,IT技术
广东,佛山市,广州橡树广告服务有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
广东,佛山市,深圳微电时代信息科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
广东,佛山市,佛山市森米网络科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
广东,佛山市,佛山市淘德丰科技发展有限公司,电子商务,IT技术
广东,佛山市,广州市小蓝车网络科技有限公司,移动互联网 · 企业服务,IT技术
广东,佛山市,广州易付通信息技术有限公司,移动互联网,IT技术
广东,佛山市,广东用心网络科技有限公司,移动互联网,IT技术
广东,佛山市,广州越际知鸿教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
广东,佛山市,佛山市指尖互动科技有限公司,移动互联网 · O2O,IT技术
广东,佛山市,广州市小微投资咨询有限公司,移动互联网 · 金融,"IT技术,金融财经"
广东,佛山市,广东诚伯信息有限公司,移动互联网 · 企业服务,IT技术
广东,佛山市,厦门锐特信息技术有限公司,移动互联网,IT技术
广东,佛山市,佛山市百百购信息科技有限公司,电子商务,IT技术
广东,佛山市,天津五八到家生活服务有限公司,O2O · 生活服务,"IT技术,生活服务"
广东,佛山市,武汉佰钧成技术有限责任公司,企业服务 · 金融,"IT技术,金融财经"
