Provience,City,CompanyShortName,IndustryField,Upper class of industry
广东,广州市,广州亿航智能技术有限公司,移动互联网 · 硬件,"IT技术,电子制造"
广东,广州市,广州保易信息科技有限公司,移动互联网,IT技术
广东,广州市,广州坚和网络科技有限公司,移动互联网,IT技术
广东,广州市,广州喵火网络科技有限公司,移动互联网 · 社交网络,IT技术
广东,广州市,广州灵信软件科技有限公司,移动互联网 · 企业服务,IT技术
广东,广州市,北京窝窝团信息技术有限公司,电子商务,IT技术
广东,广州市,广州闻乐教育科技有限公司,O2O · 移动互联网,IT技术
广东,广州市,广州酷旅旅行社有限公司,电子商务 · 生活服务,"IT技术,生活服务"
广东,广州市,香港新世界集团成员 - K11广州,其他,其他
广东,广州市,东莞硕仕儿童用品有限公司,电子商务,IT技术
广东,广州市,上海房友宝商务咨询有限公司,移动互联网,IT技术
广东,广州市,广州中唯企业管理咨询业务有限公司,企业服务,IT技术
广东,广州市,上海邑世网络科技有限公司广州分公司,游戏 · 移动互联网,IT技术
广东,广州市,北京中微媒网络科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
广东,广州市,网易（杭州）网络有限公司,移动互联网 · 游戏,IT技术
广东,广州市,广州合优网络科技有限公司,金融,金融财经
广东,广州市,广州万户网络技术有限公司,电子商务 · 企业服务,IT技术
广东,广州市,京东到家,O2O,IT技术
广东,广州市,广州合优广告有限公司,移动互联网 · 电子商务,IT技术
广东,广州市,华耐家居投资集团有限公司,生活服务,生活服务
广东,广州市,广州十五分钟电子商务有限公司,移动互联网 · 电子商务,IT技术
广东,广州市,广州宝账会计服务有限公司,金融,金融财经
广东,广州市,冉十科技（北京）有限公司,文化娱乐,生活服务
广东,广州市,上海邑世网络科技有限公司,移动互联网 · 游戏,IT技术
广东,广州市,广州合优网络科技有限公司东莞分公司,移动互联网 · 电子商务,IT技术
广东,广州市,广州市玄武无线科技有限公司,移动互联网 · 招聘,"IT技术,生活服务"
广东,广州市,广州齐昌网络科技有限公司,企业服务,IT技术
广东,广州市,深圳市移领数赢网络科技有限公司,移动互联网 · O2O,IT技术
广东,广州市,鹰仕达（中国）有限公司,电子商务,IT技术
广东,广州市,深圳豆豆网络科技有限公司,电子商务,IT技术
广东,广州市,深圳市多元世纪信息技术有限公司,金融,金融财经
广东,广州市,广州乐牛软件科技有限公司,游戏,IT技术
广东,广州市,广州十六加信息科技有限公司,旅游 · 生活服务,生活服务
广东,广州市,广州市舟讯通讯设备有限公司,硬件 · 其他,电子制造
广东,广州市,深圳市企鹅网络科技有限公司,移动互联网,IT技术
广东,广州市,杭州弧途科技有限公司,移动互联网 · 招聘,"IT技术,生活服务"
广东,广州市,广州巴一巴国际货运代理有限公司,电子商务 · 其他,IT技术
广东,广州市,广州沃沃农牧科技有限公司,电子商务 · 生活服务,"IT技术,生活服务"
广东,广州市,广州赛点信息科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
广东,广州市,广东蜂助手网络技术有限公司,移动互联网,IT技术
广东,广州市,北京瑞达恒建筑咨询有限公司广州分公司,企业服务,IT技术
广东,广州市,广州给特唯留学咨询有限公司,教育,生活服务
广东,广州市,广州市互诺计算机科技有限公司,移动互联网 · 电子商务,IT技术
广东,广州市,广州市素型信息科技有限公司,移动互联网 · 电子商务,IT技术
广东,广州市,广州市新橙信息科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
广东,广州市,佛山市咔嚓购信息技术有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
广东,广州市,广东南华智闻科技有限公司,移动互联网,IT技术
广东,广州市,广州蕲蕲信息科技有限公司,电子商务 · O2O,IT技术
广东,广州市,广州迈络电子商务有限公司,移动互联网 · 电子商务,IT技术
广东,广州市,广州五滴水网络科技有限公司,移动互联网 · 数据服务,IT技术
广东,广州市,广州有宠网络科技股份有限公司,移动互联网 · 社交网络,IT技术
广东,广州市,广州金域医学检验中心有限公司,医疗健康,生活服务
广东,广州市,广州中大凯旋电子科技有限公司,电子商务,IT技术
广东,广州市,广州迅羽通信技术有限公司,企业服务 · 其他,IT技术
广东,广州市,广州力方信息科技有限公司,企业服务 · 其他,IT技术
广东,广州市,广州鼎粤电子科技有限公司,移动互联网 · 电子商务,IT技术
广东,广州市,广州玄甲信息科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
广东,广州市,广州创幻数码科技有限公司,移动互联网 · 游戏,IT技术
广东,广州市,海南天涯社区网络科技股份有限公司,移动互联网 · 社交网络,IT技术
广东,广州市,北京宇信易诚网络技术有限公司,电子商务 · 金融,"IT技术,金融财经"
广东,广州市,桂林力港网络科技有限公司广州分公司,游戏,IT技术
广东,广州市,武汉赋天网络科技有限公司,移动互联网,IT技术
广东,广州市,杭州蚁国科技有限公司,移动互联网,IT技术
广东,广州市,广州旅拍信息科技有限公司,移动互联网 · O2O,IT技术
广东,广州市,广州启生信息技术有限公司,移动互联网  · 医疗健康,"IT技术,生活服务"
广东,广州市,广州亿成文化传播有限公司,电子商务 · O2O,IT技术
广东,广州市,上海麦田文化传播有限公司,移动互联网 · 旅游,"IT技术,生活服务"
广东,广州市,广州辛易信息科技有限公司,企业服务,IT技术
广东,广州市,广州漫娱网络科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
广东,广州市,广东游特网络科技有限公司,移动互联网 · 旅游,"IT技术,生活服务"
广东,广州市,广州市妥善生物科技有限公司,电子商务 · 企业服务,IT技术
广东,广州市,网易有道信息技术（北京）有限公司广州分公司,移动互联网,IT技术
广东,广州市,广州乐怡居信息科技有限公司,移动互联网 · O2O,IT技术
广东,广州市,广州睿本信息科技有限公司,移动互联网 · O2O,IT技术
广东,广州市,广州市路人甲软件技术有限公司,移动互联网 · 电子商务,IT技术
广东,广州市,广州天通智能技术有限公司,硬件,电子制造
广东,广州市,广州市居云科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
