Provience,City,CompanyShortName,IndustryField,Upper class of industry
广东,惠州市,深圳市企鹅网络科技有限公司,移动互联网,IT技术
广东,惠州市,TCL集团财务有限公司,金融,金融财经
广东,惠州市,深圳市深山进行老林企业管理咨询有限公司,移动互联网 · O2O,IT技术
广东,惠州市,广东汇融投资股份公司,移动互联网 · 金融,"IT技术,金融财经"
广东,惠州市,银盛支付服务股份有限公司,移动互联网,IT技术
广东,惠州市,广东银信联合科技有限公司,移动互联网 · 数据服务,IT技术
广东,惠州市,深圳市金百泽电子科技股份有限公司,企业服务,IT技术
广东,惠州市,www.bamaol.com,移动互联网 · 医疗健康,"IT技术,生活服务"
广东,惠州市,广东酷配电子商务有限公司,电子商务,IT技术
广东,惠州市,深圳市石豆软件技术有限公司,移动互联网,IT技术
广东,惠州市,惠州酷友网络科技有限公司,移动互联网  · 电子商务,IT技术
广东,惠州市,惠州市明荃化妆品有限公司,移动互联网 · 电子商务,IT技术
广东,惠州市,深圳前海至善投资管理有限公司,移动互联网 · 金融,"IT技术,金融财经"
广东,惠州市,惠州市小宇宙科技有限公司,移动互联网 · O2O,IT技术
广东,惠州市,惠州市索隐科技有限公司,移动互联网 · 社交网络,IT技术
广东,惠州市,深圳市海牛通讯技术有限公司,移动互联网,IT技术
广东,惠州市,深圳市基业资本信息咨询有限公司,金融,金融财经
广东,惠州市,广东腾正计算机科技有限公司,其他,其他
广东,惠州市,深圳空腾信息技术有限公司,移动互联网,IT技术
广东,惠州市,惠州市捷创电子商务有限公司,移动互联网 · 电子商务,IT技术
广东,惠州市,深圳市康冠技术有限公司,移动互联网 · 硬件,"IT技术,电子制造"
广东,惠州市,珠海市思为软件技术有限公司,企业服务,IT技术
广东,惠州市,广州领聘科技有限公司,移动互联网 · 招聘,"IT技术,生活服务"
广东,惠州市,联讯证券股份有限公司,移动互联网 · 金融,"IT技术,金融财经"
广东,惠州市,广东奥飞动漫文化股份有限公司,文化娱乐,生活服务
广东,惠州市,广东特惟嘉科技发展有限公司,移动互联网 · 其他,IT技术
广东,惠州市,广州市乔冠网络科技有限公司,移动互联网 · O2O,IT技术
广东,惠州市,惠州大亚湾其易房网发展有限公司,企业服务 · 数据服务,IT技术
广东,惠州市,惠州屏宝科技有限公司,O2O · 电子商务,IT技术
广东,惠州市,TCL多媒体有限公司,移动互联网 · 硬件,"IT技术,电子制造"
广东,惠州市,杭州格讯科技有限公司,O2O · 数据服务,IT技术
广东,惠州市,深圳市法本信息技术有限公司,企业服务,IT技术
广东,惠州市,深圳市卡控科技有限公司朝阳分公司,移动互联网 · O2O,IT技术
广东,惠州市,广东穿越部落信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
广东,惠州市,广东迪奥技术有限公司,企业服务 · 其他,IT技术
广东,惠州市,深圳市华思旭科技有限公司,招聘,生活服务
广东,惠州市,广州市连奖网络科技有限公司,移动互联网 · 电子商务,IT技术
广东,惠州市,深圳市君合天宜科技有限公司,移动互联网 · O2O,IT技术
广东,惠州市,深圳市亿众联网络科技有限公司,移动互联网 · 电子商务,IT技术
广东,惠州市,惠州市睿思通网络科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
广东,惠州市,TCL海外电子（惠州）有限公司,移动互联网 · 硬件,"IT技术,电子制造"
广东,惠州市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
广东,惠州市,广东宜居控股股份有限公司,移动互联网 · 电子商务,IT技术
广东,惠州市,医宝信息科技（上海）有限公司,电子商务 · 医疗健康,"IT技术,生活服务"
广东,惠州市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
广东,惠州市,深圳汇凌金融服务有限公司,金融,金融财经
广东,惠州市,广东恒创投资股份有限公司,电子商务 · 金融,"IT技术,金融财经"
广东,惠州市,高高信息科技有限公司,移动互联网 · O2O,IT技术
广东,惠州市,东莞嘉丰机电设备有限公司,移动互联网 · 其他,IT技术
广东,惠州市,拉勾测试+绿色的红,金融 · 社交网络,"IT技术,金融财经"
广东,惠州市,京东商城,电子商务,IT技术
广东,惠州市,惠州市亿佳实业有限公司,移动互联网 · 硬件,"IT技术,电子制造"
广东,惠州市,上海一起作业信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
广东,惠州市,惠州半城传媒有限公司,移动互联网,IT技术
广东,惠州市,BEAUDRY INVESTMENTS LIMIED,O2O · 企业服务,IT技术
广东,惠州市,深圳市凯格斯资讯科技有限公司,企业服务,IT技术
广东,惠州市,惠州TCL移动通信有限公司,移动互联网  · 文化娱乐,"IT技术,生活服务"
广东,惠州市,深圳市优友网络科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
