Provience,City,CompanyShortName,IndustryField,Upper class of industry
广东,汕头市,上海一起作业信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
广东,汕头市,越亮传奇科技股份有限公司,移动互联网,IT技术
广东,汕头市,广东奥飞动漫文化股份有限公司,文化娱乐,生活服务
广东,汕头市,汕头市持家有道网上超市,电子商务,IT技术
广东,汕头市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
广东,汕头市,上海万企明道软件有限公司,移动互联网 · 企业服务,IT技术
广东,汕头市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
广东,汕头市,上海我有信息科技有限公司,O2O,IT技术
广东,汕头市,广州遇悦网络科技有限公司,移动互联网,IT技术
广东,汕头市,广东凡跃计算机系统股份有限公司,移动互联网 · 游戏,IT技术
广东,汕头市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
广东,汕头市,广东康泽药业连锁有限公司,电子商务 · 其他,IT技术
广东,汕头市,广东亿迅科技有限公司,其他,其他
广东,汕头市,深圳汇凌金融服务有限公司,金融,金融财经
