Provience,City,CompanyShortName,IndustryField,Upper class of industry
广东,深圳市,深圳市网星互联网金融服务有限公司,金融 · 移动互联网,"IT技术,金融财经"
广东,深圳市,深圳市彬彬社交科技有限公司,企业服务 · 招聘,"IT技术,生活服务"
广东,深圳市,深圳市纵横山海网络科技有限公司,旅游,生活服务
广东,深圳市,深圳思彤元亨科技有限公司,移动互联网,IT技术
广东,深圳市,新疆微兔网络科技有限公司深圳分公司,O2O · 生活服务,"IT技术,生活服务"
广东,深圳市,深圳市云上会网络科技有限公司,O2O,IT技术
广东,深圳市,弗尔斯特控股有限公司,电子商务 · 金融,"IT技术,金融财经"
广东,深圳市,深圳前海贷金所互联网金融服务股份有限公司,移动互联网 · 金融,"IT技术,金融财经"
广东,深圳市,深圳壹号柜电子商务有限公司,移动互联网,IT技术
广东,深圳市,深圳嵊灿科技有限公司,移动互联网 · 电子商务,IT技术
广东,深圳市,上海思蓄力教育科技有限公司,教育 · 移动互联网,"IT技术,生活服务"
广东,深圳市,深圳齐心集团股份有限公司,其他,其他
广东,深圳市,深圳市万普拉斯科技有限公司,电子商务,IT技术
广东,深圳市,北京中微媒网络科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
广东,深圳市,深圳市载途科技有限公司,移动互联网 · 旅游,"IT技术,生活服务"
广东,深圳市,深圳市微雪电子有限公司,电子商务 · 硬件,"IT技术,电子制造"
广东,深圳市,深圳市自己来创新服务有限公司,移动互联网 · 其他,IT技术
广东,深圳市,北京木瓜移动科技有限公司,移动互联网,IT技术
广东,深圳市,华为技术有限公司2012实验室,移动互联网 · 企业服务,IT技术
广东,深圳市,京东到家,O2O,IT技术
广东,深圳市,深圳市铭锐标识发展有限公司,电子商务 · O2O,IT技术
广东,深圳市,北京脑穿越技术有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
广东,深圳市,深圳市品汇科技有限公司,移动互联网 · 社交网络,IT技术
广东,深圳市,中国平安人寿保险股份有限公司深圳分公司梅林营销部,金融,金融财经
