Provience,City,CompanyShortName,IndustryField,Upper class of industry
广东,珠海市,珠海十方鼎福科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
广东,珠海市,珠海财富数码科技有限公司,移动互联网,IT技术
广东,珠海市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
广东,珠海市,珠海金山办公软件有限公司,移动互联网,IT技术
广东,珠海市,珠海唯美网络科技有限公司,移动互联网 · 电子商务,IT技术
广东,珠海市,珠海顺晋国际货运代理服务有限公司,电子商务 · 其他,IT技术
广东,珠海市,珠海市魅族科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
广东,珠海市,珠海赞友科技有限公司,移动互联网 · 社交网络,IT技术
广东,珠海市,珠海心游科技股份有限公司,移动互联网 · 游戏,IT技术
广东,珠海市,爸妈旅游,旅游,生活服务
广东,珠海市,珠海元架构软件技术有限公司,移动互联网 · 电子商务,IT技术
广东,珠海市,中亿网络科技有限公司,移动互联网,IT技术
广东,珠海市,珠海市无境科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
广东,珠海市,珠海夏浪信息科技有限公司,移动互联网 · 电子商务,IT技术
广东,珠海市,珠海华标软件有限公司,移动互联网 · 电子商务,IT技术
广东,珠海市,华润银行股份有限公司,移动互联网 · 金融,"IT技术,金融财经"
广东,珠海市,上海方付通商务服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
广东,珠海市,广州思意鹏基信息科技有限公司,O2O,IT技术
广东,珠海市,珠海市小源科技有限公司,移动互联网,IT技术
广东,珠海市,南京市魔格信息科技有限公司,移动互联网,IT技术
广东,珠海市,珠海市筑巢科技有限公司,移动互联网 · 电子商务,IT技术
广东,珠海市,珠海习悦信息技术有限公司,移动互联网 · 数据服务,IT技术
广东,珠海市,广东四眼兔网络科技有限责任公司,移动互联网 · 电子商务,IT技术
广东,珠海市,珠海市金信桥网络科技有限公司,电子商务 · 企业服务,IT技术
广东,珠海市,珠海全朋友贸易有限公司,电子商务 · O2O,IT技术
广东,珠海市,珠海网博信息科技股份有限公司,移动互联网 · 招聘,"IT技术,生活服务"
广东,珠海市,珠海云游道科技有限责任公司,移动互联网 · 旅游,"IT技术,生活服务"
广东,珠海市,珠海阿甘信息技术有限公司,移动互联网 · 硬件,"IT技术,电子制造"
广东,珠海市,珠海聚云科技有限公司,电子商务 · O2O,IT技术
广东,珠海市,广州市时代邻里邦网络科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
广东,珠海市,珠海飞企软件有限公司,移动互联网,IT技术
广东,珠海市,珠海市思为软件技术有限公司,企业服务,IT技术
广东,珠海市,深圳仙歌信息系统有限公司,电子商务,IT技术
广东,珠海市,珠海宜高科技有限公司,电子商务 · O2O,IT技术
广东,珠海市,珠海搜牙网络科技有限公司,O2O · 医疗健康,"IT技术,生活服务"
广东,珠海市,珠海市旗云科技有限公司,移动互联网 · O2O,IT技术
广东,珠海市,上海一起作业信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
广东,珠海市,东软集团,金融,金融财经
广东,珠海市,珠海商御百晋科技有限公司,移动互联网 · 电子商务,IT技术
广东,珠海市,珠海安润普科技有限公司,移动互联网,IT技术
广东,珠海市,珠海汇流信息技术有限公司,企业服务,IT技术
广东,珠海市,珠海市发思特软件技术有限公司,移动互联网,IT技术
广东,珠海市,掌游天下（北京）信息技术有限公司,游戏,IT技术
广东,珠海市,珠海正阳软件开发有限公司,移动互联网 · 电子商务,IT技术
广东,珠海市,珠海金山网络游戏科技有限公司,移动互联网 · 游戏,IT技术
