Provience,City,CompanyShortName,IndustryField,Upper class of industry
广西,北海市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
广西,北海市,北京英智韦伯咨询有限公司,企业服务 · 广告营销,"IT技术,金融财经"
广西,南宁市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
广西,南宁市,深圳市博安达信息技术股份有限公司,移动互联网,IT技术
广西,南宁市,百视通新媒体股份有限公司,文化娱乐,生活服务
广西,南宁市,上海屹通信息科技发展有限公司,金融,金融财经
广西,南宁市,北京云纵互联信息技术有限公司,移动互联网 · O2O,IT技术
广西,南宁市,北京招通致晟科技有限公司,移动互联网 · 社交网络,IT技术
广西,南宁市,广州海鹚网络科技有限公司,移动互联网,IT技术
广西,南宁市,深圳三代人科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
广西,南宁市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
广西,南宁市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
广西,南宁市,广西天狐网络科技有限公司,电子商务,IT技术
广西,南宁市,广西微云芯信息技术有限责任公司,移动互联网,IT技术
广西,南宁市,北京小鸟科技发展有限责任公司,硬件,电子制造
广西,南宁市,北京拓尔思信息技术股份有限公司广州分公司,移动互联网 · 数据服务,IT技术
广西,南宁市,广州乐睿信息科技有限公司,教育,生活服务
广西,南宁市,南宁一站网网络技术有限公司,电子商务,IT技术
广西,南宁市,广东动易软件股份有限公司,移动互联网,IT技术
广西,南宁市,广西通通快修科技有限公司,移动互联网 · O2O,IT技术
广西,南宁市,天脉聚源（北京）传媒科技有限公司,数据服务,IT技术
广西,南宁市,深圳市嘟嘟牛科技有限公司,移动互联网,IT技术
广西,南宁市,广西南宁科融科技有限公司,金融 · 其他,金融财经
广西,南宁市,珠海市发思特软件技术有限公司,移动互联网,IT技术
广西,南宁市,广西人人宠网络科技有限公司,移动互联网 · O2O,IT技术
广西,南宁市,广西连你科技有限公司,移动互联网 · O2O,IT技术
广西,南宁市,博康智能网络科技股份有限公司,移动互联网 · 信息安全,IT技术
广西,南宁市,广西优苗易购信息科技有限公司,电子商务,IT技术
广西,南宁市,广西锦拓网络科技有限公司,企业服务,IT技术
广西,南宁市,南宁黛慕食品有限公司,电子商务,IT技术
广西,南宁市,北京百途互动科技有限公司,移动互联网,IT技术
广西,南宁市,上海狂龙数字科技有限公司,硬件 · 其他,电子制造
广西,南宁市,北京看看车科技有限公司,企业服务,IT技术
广西,南宁市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
广西,南宁市,广西郎智网络科技有限公司,O2O · 生活服务,"IT技术,生活服务"
广西,南宁市,北京道隆华尔科技股份有限公司,数据服务,IT技术
广西,南宁市,广西同城网络科技有限责任公司,电子商务,IT技术
广西,南宁市,深圳乖乖兔儿童用品科技发展有限公司,移动互联网 · 教育,"IT技术,生活服务"
广西,南宁市,深圳市爱加科技有限公司,O2O,IT技术
广西,南宁市,深圳市华海乐盈网络科技有限公司,移动互联网,IT技术
广西,南宁市,广州中软信息技术有限公司,数据服务 · 硬件,"IT技术,电子制造"
广西,南宁市,广西龙汇科技集团有限公司,移动互联网 · 电子商务,IT技术
广西,南宁市,广西百姓乐淘科技有限公司,电子商务 · O2O,IT技术
广西,南宁市,深圳市讯方技术股份有限公司,移动互联网 · O2O,IT技术
广西,南宁市,南宁绅藏不露电子商务有限公司,广告营销 · O2O,"IT技术,金融财经"
广西,南宁市,广州市光大软件技术有限公司,教育,生活服务
广西,南宁市,深圳象翌微链电子技术有限公司,移动互联网 · 电子商务,IT技术
广西,南宁市,深圳卡利亚珠宝有限公司,电子商务 · 生活服务,"IT技术,生活服务"
广西,南宁市,北京思特奇信息技术股份有限公司 四川分支,数据服务,IT技术
广西,南宁市,上海一嗨汽车租赁有限公司,电子商务,IT技术
广西,南宁市,南宁市传导网络技术有限责任公司,移动互联网 · 企业服务,IT技术
广西,南宁市,广西南宁讯丰网络科技有限公司,移动互联网 · 企业服务,IT技术
广西,南宁市,广州市钻石世家珠宝有限公司,电子商务 · 其他,IT技术
广西,南宁市,广西阿云达科技有限公司,移动互联网 · 游戏,IT技术
广西,南宁市,广西翌能物联科技有限公司,移动互联网 · 电子商务,IT技术
广西,南宁市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
广西,南宁市,广州南盾通讯设备有限公司,移动互联网 · 其他,IT技术
广西,南宁市,四川创意信息技术股份有限公司,数据服务,IT技术
广西,南宁市,北京优趣天下信息技术有限公司,移动互联网,IT技术
