Provience,City,CompanyShortName,IndustryField,Upper class of industry
广西,柳州市,武汉天喻软件股份有限公司,移动互联网 · 信息安全,IT技术
广西,柳州市,深圳市百盛佳信息咨询有限公司,移动互联网,IT技术
广西,柳州市,艾威梯科技（北京）有限公司,移动互联网,IT技术
广西,柳州市,北京超图软件股份有限公司,移动互联网 · 数据服务,IT技术
广西,柳州市,武汉天喻教育科技有限公司,移动互联网,IT技术
广西,柳州市,柳州恩雪网络科技有限公司,电子商务 · O2O,IT技术
广西,柳州市,广西柳州桂金汇网络科技有限责任公司,金融,金融财经
广西,柳州市,柯莱特信息技术有限公司（上海）,企业服务 · 其他,IT技术
广西,柳州市,广西云尚文化产业投资有限公司,移动互联网 · 电子商务,IT技术
广西,柳州市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
广西,柳州市,北京国信灵通网络科技有限公司,移动互联网 · 企业服务,IT技术
广西,柳州市,北京国影视界动画科技有限公司,企业服务,IT技术
广西,柳州市,广西碧虞科技有限公司,移动互联网 · 数据服务,IT技术
