Provience,City,CompanyShortName,IndustryField,Upper class of industry
新疆,乌鲁木齐市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
新疆,乌鲁木齐市,北京思特奇信息技术股份有限公司（山西分公司）,移动互联网 · 数据服务,IT技术
新疆,乌鲁木齐市,北京小鸟科技发展有限责任公司,硬件,电子制造
新疆,乌鲁木齐市,杭州三汇数字信息技术有限公司,移动互联网,IT技术
新疆,乌鲁木齐市,联想（北京）有限公司,移动互联网 · 数据服务,IT技术
新疆,乌鲁木齐市,北京亚控科技发展有限公司,移动互联网,IT技术
新疆,乌鲁木齐市,北京爱朗格瑞科技有限公司,企业服务 · 其他,IT技术
新疆,乌鲁木齐市,南京富士通计算机设备有限公司,硬件,电子制造
新疆,乌鲁木齐市,北京科瑞明软件有限公司,企业服务 · 分类信息,IT技术
新疆,乌鲁木齐市,北京广通信达软件股份有限公司,移动互联网 · 信息安全,IT技术
新疆,乌鲁木齐市,北京思特奇信息技术股份有限公司（新疆分支）,移动互联网 · 数据服务,IT技术
新疆,乌鲁木齐市,北京清大科越科技有限公司,其他,其他
新疆,乌鲁木齐市,云智视像科技（上海）有限公司,信息安全 · 数据服务,IT技术
新疆,乌鲁木齐市,南京烽火星空通信发展有限公司,移动互联网 · 信息安全,IT技术
新疆,乌鲁木齐市,北京思特奇信息技术股份有限公司陕西分支,移动互联网 · 数据服务,IT技术
新疆,乌鲁木齐市,亚信科技（中国）有限公司,移动互联网 · 数据服务,IT技术
新疆,乌鲁木齐市,上海趣医网络科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
新疆,乌鲁木齐市,北京聚美妈妈科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
新疆,乌鲁木齐市,天维尔信息科技股份有限公司,分类信息 · 其他,IT技术
新疆,乌鲁木齐市,亚信科技（成都）有限公司,移动互联网 · 数据服务,IT技术
新疆,乌鲁木齐市,新疆邻国在线网络科技有限公司,教育,生活服务
新疆,乌鲁木齐市,天津市万贸科技有限公司,企业服务 · 文化娱乐,"IT技术,生活服务"
新疆,乌鲁木齐市,广东三盟信息科技有限公司,移动互联网 · 数据服务,IT技术
新疆,乌鲁木齐市,上海思华科技股份有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
新疆,乌鲁木齐市,北京华数康数据科技有限公司,医疗健康 · 数据服务,"IT技术,生活服务"
新疆,乌鲁木齐市,武汉天喻教育科技有限公司,移动互联网,IT技术
新疆,乌鲁木齐市,上海西信信息科技有限公司,移动互联网,IT技术
新疆,乌鲁木齐市,北京视达科科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
新疆,乌鲁木齐市,天津联怡科技有限公司,金融,金融财经
新疆,乌鲁木齐市,湖南省创发科技有限责任公司,移动互联网 · 电子商务,IT技术
新疆,乌鲁木齐市,百视通新媒体股份有限公司,文化娱乐,生活服务
新疆,乌鲁木齐市,上海翰明计算机科技有限公司,金融,金融财经
新疆,乌鲁木齐市,南京信通科技有限责任公司,移动互联网 · 教育,"IT技术,生活服务"
新疆,乌鲁木齐市,用友超客网络技术有限公司,社交网络,IT技术
新疆,乌鲁木齐市,南京联创信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
新疆,乌鲁木齐市,北京赞同科技发展有限公司,金融,金融财经
新疆,乌鲁木齐市,广州信贤诚企业管理咨询有限公司,移动互联网 · 电子商务,IT技术
新疆,乌鲁木齐市,浙江康健绿线网络技术有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
新疆,乌鲁木齐市,北京思特奇信息技术股份有限公司,数据服务,IT技术
新疆,乌鲁木齐市,艾伯资讯（深圳）有限公司,移动互联网,IT技术
新疆,乌鲁木齐市,中兴通讯股份有限公司,移动互联网,IT技术
新疆,乌鲁木齐市,乌鲁木齐必利网络科技有限责任公司,移动互联网 · 数据服务,IT技术
新疆,乌鲁木齐市,北京掌迅互动信息技术有限公司,移动互联网 · 数据服务,IT技术
新疆,乌鲁木齐市,新疆帕米尔丝路金融信息服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
新疆,乌鲁木齐市,新疆巨农信息技术有限公司,电子商务 · 金融,"IT技术,金融财经"
新疆,乌鲁木齐市,西安途途网络科技有限公司,电子商务 · 旅游,"IT技术,生活服务"
新疆,乌鲁木齐市,深圳市掌世界网络科技有限公司,移动互联网,IT技术
新疆,乌鲁木齐市,新疆起农网络科技有限公司,移动互联网 · 电子商务,IT技术
新疆,乌鲁木齐市,安图特（北京）科技有限公司,硬件,电子制造
新疆,乌鲁木齐市,四吉移动科技有限责任公司,移动互联网,IT技术
新疆,克拉玛依市,广东睿哲网络科技有限公司,移动互联网 · 电子商务,IT技术
新疆,克拉玛依市,北京超图软件股份有限公司,移动互联网 · 数据服务,IT技术
新疆,昌吉回族自治州,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
新疆,石河子市,深圳乖乖兔儿童用品科技发展有限公司,移动互联网 · 教育,"IT技术,生活服务"
新疆,石河子市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
