Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,南京市,好享家舒适家居集成有限公司,移动互联网 · 硬件,"IT技术,电子制造"
江苏,南京市,南京云智信息科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,北京基调网络股份有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,深圳市企鹅网络科技有限公司,移动互联网,IT技术
江苏,南京市,正益移动互联科技股份有限公司上海分公司,移动互联网 · 电子商务,IT技术
江苏,南京市,南京赢纳信息科技有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,南京移宝网络科技有限责任公司,移动互联网 · 电子商务,IT技术
江苏,南京市,上海安达通信息安全技术股份有限公司,移动互联网,IT技术
江苏,南京市,久康云健康科技股份有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
江苏,南京市,深圳市优网科技有限公司,数据服务 · 招聘,"IT技术,生活服务"
江苏,南京市,上海德拓信息技术有限公司,企业服务 · 数据服务,IT技术
江苏,南京市,南京新与力文化传播有限公司,电子商务 · 文化娱乐,"IT技术,生活服务"
江苏,南京市,南京誉泰瑞斯科技有限公司,企业服务 · 移动互联网,IT技术
江苏,南京市,南京科斯克网络科技有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,南京大正知行教育科技有限公司,教育,生活服务
江苏,南京市,南京双日教育科技有限公司,教育,生活服务
江苏,南京市,南京双日信息科技有限公司,教育,生活服务
江苏,南京市,北京北森云计算股份有限公司,企业服务 · 数据服务,IT技术
江苏,南京市,南京指南针信息科技有限公司,移动互联网,IT技术
江苏,南京市,广东宇天科技有限公司,移动互联网,IT技术
江苏,南京市,安生外国语专修学校,教育,生活服务
江苏,南京市,北京数云普惠科技有限公司,金融 · 数据服务,"IT技术,金融财经"
江苏,南京市,上海互加文化传播有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,南京市,成都番茄来了科技有限公司,电子商务 · 旅游,"IT技术,生活服务"
江苏,南京市,南京聪明狗网络技术有限公司,电子商务 · 数据服务,IT技术
江苏,南京市,北京易动纷享有限责任公司上海分公司,移动互联网 · 电子商务,IT技术
江苏,南京市,南京雅趣网络科技有限公司,电子商务 · 企业服务,IT技术
江苏,南京市,深圳市路通网络技术有限公司,移动互联网 · 游戏,IT技术
江苏,南京市,南京人人保网络技术有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,南京线之情文化发展有限公司,教育,生活服务
江苏,南京市,杭州小卡科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,浙江齐治科技有限公司,信息安全,IT技术
江苏,南京市,南京侠客行网络科技有限公司,电子商务,IT技术
江苏,南京市,南京途牛科技有限公司,电子商务 · 旅游,"IT技术,生活服务"
江苏,南京市,南京然成金融信息咨询有限公司,金融,金融财经
江苏,南京市,华为全资子公司慧通公司,企业服务 · 旅游,"IT技术,生活服务"
江苏,南京市,江苏旺亨贵金属有限公司,移动互联网 · 金融,"IT技术,金融财经"
江苏,南京市,广州依时货拉拉科技科技有限公司上海分公司,移动互联网 · O2O,IT技术
江苏,南京市,南京悦控智能科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
江苏,南京市,南京创客汇网络信息技术有限公司,电子商务,IT技术
江苏,南京市,南京茂毓通软件科技有限公司,移动互联网 · 信息安全,IT技术
江苏,南京市,江苏三六五网络股份有限公司,电子商务,IT技术
江苏,南京市,南京软核科技有限公司,其他,其他
江苏,南京市,武汉默联股份有限公司,移动互联网,IT技术
江苏,南京市,南京冠米信息科技有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,大成方略纳税人俱乐部股份有限公司,企业服务,IT技术
江苏,南京市,上海派拉软件股份有限公司,数据服务,IT技术
江苏,南京市,国邦（深圳）金融服务集团有限公司,O2O · 金融,"IT技术,金融财经"
江苏,南京市,南京弟齐信息技术有限公司,移动互联网 · 社交网络,IT技术
江苏,南京市,南京一号建汇科技有限公司,电子商务,IT技术
江苏,南京市,江苏米陌资产管理有限公司,O2O,IT技术
江苏,南京市,北京钱袋宝支付技术有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,南京铁行网络科技有限公司,电子商务,IT技术
江苏,南京市,连云港亿豪物流有限公司,O2O · 生活服务,"IT技术,生活服务"
江苏,南京市,能力天空科技（北京）有限公司,教育,生活服务
江苏,南京市,北京国教融创信息科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
江苏,南京市,南京友学友课教育科技有限公司,O2O · 教育,"IT技术,生活服务"
江苏,南京市,重庆猪八戒网络有限公司,电子商务 · 生活服务,"IT技术,生活服务"
江苏,南京市,南京祥运电子商务股份有限公司,电子商务,IT技术
江苏,南京市,南京卡拉鱼网络科技有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,南京路启网络技术有限公司,O2O,IT技术
江苏,南京市,唯为,电子商务 · O2O,IT技术
江苏,南京市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
江苏,南京市,江苏鲜芝荟电子商务有限公司,电子商务 · O2O,IT技术
江苏,南京市,南京熙健信息技术有限公司,移动互联网,IT技术
江苏,南京市,无锡华路时代信息技术有限公司,企业服务 · 数据服务,IT技术
江苏,南京市,南京家联网网络科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,江苏南大五维电子科技有限公司,其他,其他
江苏,南京市,江苏云马物流有限公司,移动互联网 · O2O,IT技术
江苏,南京市,南京爱维纳软件科技有限公司,企业服务,IT技术
江苏,南京市,北京微智全景信息技术有限公司,移动互联网  · O2O,IT技术
江苏,南京市,湖南新航动力信息科技有限公司,信息安全 · 数据服务,IT技术
江苏,南京市,北京瑞达恒建筑咨询有限公司上海分公司,企业服务,IT技术
江苏,南京市,南京帆软软件有限公司,数据服务,IT技术
江苏,南京市,南京贝湾教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
