Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,南通市,天津五八到家生活服务有限公司,O2O · 生活服务,"IT技术,生活服务"
江苏,南通市,上海机锋信息科技有限公司,移动互联网 · 电子商务,IT技术
江苏,南通市,江苏赛飞信息技术有限公司,移动互联网 · 企业服务,IT技术
江苏,南通市,江苏百成大达物流有限公司,其他,其他
江苏,南通市,上海天呈医流科技股份有限公司,电子商务,IT技术
江苏,南通市,上海逸云信息科技发展有限公司,数据服务,IT技术
江苏,南通市,北京环球广贸软件技术有限责任公司,移动互联网 · 电子商务,IT技术
江苏,南通市,江苏友邦软件有限公司,移动互联网 · 电子商务,IT技术
江苏,南通市,智锐达仪器科技南通有限公司,信息安全 · 分类信息,IT技术
江苏,南通市,宁波明天医网科技有限公司,医疗健康,生活服务
江苏,南通市,南京侠客行网络科技有限公司,电子商务,IT技术
江苏,南通市,上海一起作业信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,南通市,商客通尚景科技(上海)股份有限公司,移动互联网 · 企业服务,IT技术
江苏,南通市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,南通市,江苏曲速教育科技有限公司,教育,生活服务
江苏,南通市,上海趣盛网络科技有限公司,O2O,IT技术
江苏,南通市,好买财富管理股份有限公司,电子商务 · 金融,"IT技术,金融财经"
江苏,南通市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
江苏,南通市,南通成功资讯有限公司,教育,生活服务
江苏,南通市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
江苏,南通市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
江苏,南通市,中煤第五建设有限公司,企业服务 · 其他,IT技术
江苏,南通市,上海乾生乾金融信息服务有限公司,金融,金融财经
江苏,南通市,上元教育,教育,生活服务
江苏,南通市,杭州世典遮阳技术有限公司,电子商务 · 硬件,"IT技术,电子制造"
江苏,南通市,上海迅生信息科技有限公司,移动互联网 · 企业服务,IT技术
江苏,南通市,北京蜂巢天下信息技术有限公司,移动互联网 · 电子商务,IT技术
江苏,南通市,江苏源梦教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,南通市,南京宜流信息咨询有限公司,移动互联网 · O2O,IT技术
江苏,南通市,安客诚信息服务（上海）有限 公司,数据服务 · 广告营销,"IT技术,金融财经"
江苏,南通市,苏州工业园区凌志软件股份有限公司,金融,金融财经
江苏,南通市,深圳中兴网信科技有限公司,电子商务 · 企业服务,IT技术
