Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,常州市,天津五八到家生活服务有限公司,O2O · 生活服务,"IT技术,生活服务"
江苏,常州市,常州市常远信息服务有限公司,企业服务 · 生活服务,"IT技术,生活服务"
江苏,常州市,常州卡米文化传播有限公司,文化娱乐 · 游戏,"IT技术,生活服务"
江苏,常州市,常州多啦艾萌网络科技有限公司,移动互联网 · 企业服务,IT技术
江苏,常州市,江苏嬉戏谷科技有限公司,移动互联网 · O2O,IT技术
江苏,常州市,常州市亿洲电子科技有限公司,电子商务 · O2O,IT技术
江苏,常州市,常州易宝网络服务有限公司,电子商务,IT技术
江苏,常州市,北京睿银华信科技有限公司,金融,金融财经
江苏,常州市,阳光保险集团小微金融事业部,金融,金融财经
江苏,常州市,苏州艾乐信息科技有限公司,移动互联网 · 电子商务,IT技术
江苏,常州市,常州数赢云网络科技有限公司,电子商务 · 广告营销,"IT技术,金融财经"
江苏,常州市,北京风泽科技有限公司,移动互联网 · 电子商务,IT技术
江苏,常州市,常州海智软件科技有限公司,移动互联网 · 电子商务,IT技术
江苏,常州市,江苏东大金智信息系统有限公司,移动互联网,IT技术
江苏,常州市,上海盾溪网络科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
江苏,常州市,上海三百六十度网络科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
江苏,常州市,杭州喜上喜网络科技有限公司,移动互联网 · 其他,IT技术
江苏,常州市,北京东软慧聚信息技术股份有限公司,移动互联网 · 企业服务,IT技术
江苏,常州市,北京环球广贸软件技术有限责任公司,移动互联网 · 电子商务,IT技术
江苏,常州市,常州婴世家婴童用品有限公司,电子商务,IT技术
江苏,常州市,常州指心互动计算机科技有限公司,游戏 · 文化娱乐,"IT技术,生活服务"
江苏,常州市,北京四维图新科技股份有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
江苏,常州市,深圳市蓝湾创想科技有限公司,移动互联网 · O2O,IT技术
江苏,常州市,江苏世轩科技股份有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
江苏,常州市,指触文化传媒（北京）有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
江苏,常州市,常州途游网络科技有限公司,旅游,生活服务
江苏,常州市,常州化龙网络科技股份有限公司,社交网络 · 生活服务,"IT技术,生活服务"
江苏,常州市,上海一起作业信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,常州市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,常州市,上海宇信易诚科技有限公司,金融,金融财经
江苏,常州市,上海思众信息科技有限公司,O2O · 数据服务,IT技术
江苏,常州市,常州梦幻塔电子商务有限公司,电子商务 · 企业服务,IT技术
江苏,常州市,常州诗唯雅商贸有限公司,电子商务,IT技术
江苏,常州市,北京神州智联科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,常州市,江苏时光信息科技有限公司,移动互联网 · 社交网络,IT技术
江苏,常州市,常州观客数据科技有限公司,数据服务 · 移动互联网,IT技术
江苏,常州市,杭州小卡科技有限公司,移动互联网 · O2O,IT技术
江苏,常州市,常州宝丰信息技术有限公司,移动互联网,IT技术
江苏,常州市,常州易呼通物流科技有限公司,移动互联网 · O2O,IT技术
江苏,常州市,常州三泰科技有限公司,医疗健康,生活服务
江苏,常州市,上海趣盛网络科技有限公司,O2O,IT技术
江苏,常州市,万帮新能源投资集团有限公司,生活服务 · 其他,生活服务
江苏,常州市,常州比由网络科技有限公司,移动互联网 · 电子商务,IT技术
江苏,常州市,北京旅信顺捷软件科技有限公司,移动互联网,IT技术
江苏,常州市,常州市淘客乐商贸有限公司,电子商务,IT技术
江苏,常州市,上海匡正文化发展有限公司,移动互联网,IT技术
江苏,常州市,常州买东西网络科技有限公司,移动互联网 · 电子商务,IT技术
江苏,常州市,江苏嗨购网络科技股份有限公司,电子商务,IT技术
江苏,常州市,江苏万云智图文化传媒有限公司,移动互联网 · O2O,IT技术
江苏,常州市,上海旗计智能科技有限公司常州分公司,金融,金融财经
江苏,常州市,好买财富管理股份有限公司,电子商务 · 金融,"IT技术,金融财经"
江苏,常州市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
江苏,常州市,北京一元云购网络科技有限公司,电子商务 · 移动互联网,IT技术
江苏,常州市,上海糖玩国际旅行社有限公司,旅游,生活服务
江苏,常州市,深圳前海华视移动互联有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
江苏,常州市,安徽省安泰科技股份有限公司,企业服务 · 生活服务,"IT技术,生活服务"
江苏,常州市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
江苏,常州市,常州西姆信息技术有限公司,移动互联网 · 企业服务,IT技术
江苏,常州市,常州一川大数据信息安全科技有限公司,移动互联网 · 信息安全,IT技术
江苏,常州市,信雅达风险管理服务有限公司,金融 · 数据服务,"IT技术,金融财经"
江苏,常州市,深圳量子信息科技有限公司,企业服务 · 金融,"IT技术,金融财经"
江苏,常州市,常州众股网络科技有限公司,金融,金融财经
江苏,常州市,常州面包电子科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
江苏,常州市,江苏金马扬名信息技术股份有限公司,其他 · 医疗健康,生活服务
江苏,常州市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
江苏,常州市,北京源石云科技有限公司,移动互联网 · 数据服务,IT技术
江苏,常州市,新博卓畅技术（北京）有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
江苏,常州市,拉扎斯网络科技（上海）有限公司,移动互联网,IT技术
江苏,常州市,常州香传电子商务有限公司,移动互联网 · 电子商务,IT技术
江苏,常州市,常州香传电子商务股份有限公司,移动互联网 · 电子商务,IT技术
江苏,常州市,江苏景尚旅游网络科技有限公司,电子商务 · 旅游,"IT技术,生活服务"
江苏,常州市,常州西普信息科技有限公司,企业服务 · 数据服务,IT技术
江苏,常州市,江苏唯绿电子商务有限公司上海分公司,移动互联网 · 电子商务,IT技术
