Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,徐州市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
江苏,徐州市,广东酷配电子商务有限公司,电子商务,IT技术
江苏,徐州市,慧聪网产业带,电子商务 · 企业服务,IT技术
江苏,徐州市,昆山十万火急网络科技有限公司徐州分公司,移动互联网,IT技术
江苏,徐州市,深圳卡利亚珠宝有限公司,电子商务 · 生活服务,"IT技术,生活服务"
江苏,徐州市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,徐州市,安徽省安泰科技股份有限公司,企业服务 · 生活服务,"IT技术,生活服务"
江苏,徐州市,上海思众信息科技有限公司,O2O · 数据服务,IT技术
江苏,徐州市,广东奥飞动漫文化股份有限公司,文化娱乐,生活服务
江苏,徐州市,上海天正软件有限公司,数据服务,IT技术
江苏,徐州市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
江苏,徐州市,深圳市方直科技股份有限公司,教育,生活服务
江苏,徐州市,北京灵雨信息技术有限公司,移动互联网,IT技术
江苏,徐州市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
江苏,徐州市,江苏万邦生化医药股份有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
江苏,徐州市,徐州一兜科技,移动互联网,IT技术
江苏,徐州市,南京金斯瑞生物科技有限公司,医疗健康 · 教育,生活服务
江苏,徐州市,江苏中南建设集团股份有限公司,金融 · 其他,金融财经
江苏,徐州市,上海乾生乾金融信息服务有限公司,金融,金融财经
江苏,徐州市,江苏源梦教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,徐州市,深圳市铺铺旺电子商务有限公司徐州分公司,移动互联网 · 电子商务,IT技术
江苏,徐州市,中煤第五建设有限公司,企业服务 · 其他,IT技术
江苏,徐州市,诺和诺德（中国）制药有限公司,医疗健康,生活服务
江苏,徐州市,江苏德澜仕电子科技有限公司,其他,其他
江苏,徐州市,北京奇思客网络科技有限公司,移动互联网,IT技术
