Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,扬州市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,扬州市,扬州国脉通信发展有限责任公司,移动互联网 · 其他,IT技术
江苏,扬州市,扬州明辰信息科技有限公司,数据服务 · 其他,IT技术
江苏,扬州市,南京新视云网络科技有限公司,移动互联网,IT技术
江苏,扬州市,上海趣盛网络科技有限公司,O2O,IT技术
江苏,扬州市,德邦证券有限责任公司扬州文昌中路证券营业部,金融,金融财经
江苏,扬州市,扬州华南电商科技有限公司,生活服务 · O2O,"IT技术,生活服务"
江苏,扬州市,扬州通彩网络科技有限公司,移动互联网 · 企业服务,IT技术
江苏,扬州市,好买财富管理股份有限公司,电子商务 · 金融,"IT技术,金融财经"
江苏,扬州市,天津策诚科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
江苏,扬州市,上海糖玩国际旅行社有限公司,旅游,生活服务
江苏,扬州市,上海秒懂网络科技有限公司,移动互联网,IT技术
江苏,扬州市,广东奥飞动漫文化股份有限公司,文化娱乐,生活服务
江苏,扬州市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
江苏,扬州市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
江苏,扬州市,北京糯米网科技发展有限公司,O2O,IT技术
江苏,扬州市,扬州精创汽车设计有限公司,企业服务,IT技术
江苏,扬州市,上海乾生乾金融信息服务有限公司,金融,金融财经
江苏,扬州市,江苏源梦教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,扬州市,上海丰定网络科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
江苏,扬州市,达疆网络科技(上海)有限公司,移动互联网 · O2O,IT技术
