Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,无锡市,天津五八到家生活服务有限公司,O2O · 生活服务,"IT技术,生活服务"
江苏,无锡市,北京积木时代信息咨询有限公司无锡分公司,金融,金融财经
江苏,无锡市,上海星共科技有限公司无锡分公司,移动互联网,IT技术
江苏,无锡市,无锡酷银科技有限公司,移动互联网 · 数据服务,IT技术
江苏,无锡市,南京帆软软件有限公司,数据服务,IT技术
江苏,无锡市,费哲软件无锡有限公司,移动互联网 · 数据服务,IT技术
江苏,无锡市,无锡中铠云科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
江苏,无锡市,广东刘士安网络科技股份有限公司,O2O,IT技术
江苏,无锡市,无锡骏聿科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
江苏,无锡市,无锡久聚健康管理有限公司,O2O · 医疗健康,"IT技术,生活服务"
江苏,无锡市,江苏米果教育科技有限公司,O2O · 教育,"IT技术,生活服务"
江苏,无锡市,朗新科技股份有限公司,移动互联网 · 企业服务,IT技术
江苏,无锡市,江苏金百临投资咨询有限公司,金融,金融财经
江苏,无锡市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
江苏,无锡市,连云港亿豪物流有限公司,O2O · 生活服务,"IT技术,生活服务"
江苏,无锡市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
江苏,无锡市,无锡市同芯恒通科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
江苏,无锡市,江苏东大金智信息系统有限公司,移动互联网,IT技术
江苏,无锡市,上海金扳手信息科技股份有限公司,移动互联网 · O2O,IT技术
江苏,无锡市,北京源石云科技有限公司,移动互联网 · 数据服务,IT技术
江苏,无锡市,上海汇而通国际物流有限公司,O2O,IT技术
江苏,无锡市,上海锡九国际贸易有限公司,移动互联网 · 电子商务,IT技术
江苏,无锡市,无锡聚云科技有限公司,数据服务,IT技术
江苏,无锡市,上海多维度网络科技有限公司,移动互联网 · O2O,IT技术
江苏,无锡市,北京逸生活技术服务有限公司,移动互联网 · O2O,IT技术
江苏,无锡市,无锡英臻科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
江苏,无锡市,柯莱特信息技术有限公司（上海）,企业服务 · 其他,IT技术
