Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,泰州市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,泰州市,上海乾生乾金融信息服务有限公司,金融,金融财经
江苏,泰州市,深圳市方直科技股份有限公司,教育,生活服务
江苏,泰州市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
江苏,泰州市,博远（澄迈）科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
江苏,泰州市,辉瑞制药（无锡）有限公司,医疗健康 · 其他,生活服务
江苏,泰州市,51健康（上海银路投资管理有限公司）,移动互联网 · 医疗健康,"IT技术,生活服务"
江苏,泰州市,医宝信息科技（上海）有限公司,电子商务 · 医疗健康,"IT技术,生活服务"
江苏,泰州市,佛山市顺德区碧桂园物业发展有限公司,O2O · 其他,IT技术
江苏,泰州市,江苏利达亿贸易有限公司,电子商务 · O2O,IT技术
江苏,泰州市,上海丰定网络科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
