Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,淮安市,国邦（深圳）金融服务集团有限公司,O2O · 金融,"IT技术,金融财经"
江苏,淮安市,上海思众信息科技有限公司,O2O · 数据服务,IT技术
江苏,淮安市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
江苏,淮安市,深圳市前海鑫冠力互联网金融服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
江苏,淮安市,南京金斯瑞生物科技有限公司,医疗健康 · 教育,生活服务
江苏,淮安市,广州荔支网络技术有限公司,移动互联网,IT技术
江苏,淮安市,上海乾生乾金融信息服务有限公司,金融,金融财经
江苏,淮安市,江苏源梦教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,淮安市,上海眯客信息技术有限公司,移动互联网 · O2O,IT技术
江苏,淮安市,南京宜流信息咨询有限公司,移动互联网 · O2O,IT技术
江苏,淮安市,尚德机构,移动互联网,IT技术
江苏,淮安市,北京蜂巢天下信息技术有限公司,移动互联网 · 电子商务,IT技术
