Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,盐城市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,盐城市,博康智能网络科技股份有限公司,移动互联网 · 信息安全,IT技术
江苏,盐城市,北京奔跑吧货滴科技有限公司,移动互联网,IT技术
江苏,盐城市,盐城美创网络科技有限公司,电子商务,IT技术
江苏,盐城市,中辉乾坤（北京）数字电视投资管理有限公司,移动互联网 · 硬件,"IT技术,电子制造"
江苏,盐城市,广东奥飞动漫文化股份有限公司,文化娱乐,生活服务
江苏,盐城市,艾克玛特（盐城）信息技术有限公司,电子商务,IT技术
江苏,盐城市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
江苏,盐城市,深圳市智美达科技有限公司,移动互联网,IT技术
江苏,盐城市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
江苏,盐城市,盐城市智贝星电子商务有限公司,电子商务 · 硬件,"IT技术,电子制造"
江苏,盐城市,深圳市择众广告有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
江苏,盐城市,上海眯客信息技术有限公司,移动互联网 · O2O,IT技术
江苏,盐城市,上海乾生乾金融信息服务有限公司,金融,金融财经
江苏,盐城市,上元教育,教育,生活服务
江苏,盐城市,北京蜂巢天下信息技术有限公司,移动互联网 · 电子商务,IT技术
江苏,盐城市,江苏源梦教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,盐城市,南京仙人掌健康科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
江苏,盐城市,尚德机构,移动互联网,IT技术
江苏,盐城市,江苏互联在线云计算有限公司,移动互联网 · O2O,IT技术
