Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,苏州市,苏州市捷梯培训学校,教育,生活服务
江苏,苏州市,深圳雁联计算系统有限公司,金融 · 信息安全,"IT技术,金融财经"
江苏,苏州市,上海游竞网路科技有限公司,游戏,IT技术
江苏,苏州市,苏州上元教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,苏州市,苏州易品惠网络技术有限公司,O2O,IT技术
江苏,苏州市,上海丽婴房婴童用品有限公司,电子商务 · 其他,IT技术
江苏,苏州市,杭州聚工科技有限公司,移动互联网,IT技术
江苏,苏州市,苏州百米生活电子科技有限公司,电子商务 · O2O,IT技术
江苏,苏州市,深圳卡利亚珠宝有限公司,电子商务 · 生活服务,"IT技术,生活服务"
江苏,苏州市,常熟市易迁网络科技有限公司,移动互联网 · 数据服务,IT技术
江苏,苏州市,唯为,电子商务 · O2O,IT技术
江苏,苏州市,上海宇信易诚科技有限公司,金融,金融财经
江苏,苏州市,常熟市零距离网络技术有限公司,电子商务 · 分类信息,IT技术
江苏,苏州市,拉扎斯网络科技（上海）有限公司,移动互联网,IT技术
江苏,苏州市,上元教育,教育,生活服务
江苏,苏州市,上海一亨贸易商行,O2O,IT技术
江苏,苏州市,上海天正软件有限公司,数据服务,IT技术
江苏,苏州市,上海邻猫信息科技有限公司,电子商务,IT技术
江苏,苏州市,中国平安综合金融股份有限公司江苏支公司,金融,金融财经
江苏,苏州市,苏州通威网络科技有限公司,移动互联网 · 电子商务,IT技术
江苏,苏州市,江苏米果教育科技有限公司,O2O · 教育,"IT技术,生活服务"
江苏,苏州市,云顶科技（江苏）有限公司,电子商务,IT技术
江苏,苏州市,苏州百米生活电子科技有限公司,电子商务 · O2O,IT技术
江苏,苏州市,普西信息科技有限公司,移动互联网 · O2O,IT技术
江苏,苏州市,苏州安纳金半导体科技有限公司,硬件 · 其他,电子制造
江苏,苏州市,焦点科技股份有限公司,电子商务,IT技术
