Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,连云港市,上海艾舜杰信息科技有限公司,其他,其他
江苏,连云港市,商船三井集运服务(),其他,其他
江苏,连云港市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,连云港市,太阳雨集团有限公司,其他,其他
江苏,连云港市,深圳市洛基医疗投资管理有限公司,医疗健康,生活服务
江苏,连云港市,耐耐云商科技有限公司,移动互联网 · 电子商务,IT技术
江苏,连云港市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
江苏,连云港市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
江苏,连云港市,正益无线（北京）科技有限公司,移动互联网,IT技术
江苏,连云港市,上海眯客信息技术有限公司,移动互联网 · O2O,IT技术
江苏,连云港市,上海乾生乾金融信息服务有限公司,金融,金融财经
江苏,连云港市,江苏源梦教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,连云港市,南京仙人掌健康科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
江苏,连云港市,南京宜流信息咨询有限公司,移动互联网 · O2O,IT技术
江苏,连云港市,北京蜂巢天下信息技术有限公司,移动互联网 · 电子商务,IT技术
