Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,镇江市,苏州市捷梯培训学校,教育,生活服务
江苏,镇江市,江苏东大金智信息系统有限公司,移动互联网,IT技术
江苏,镇江市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
江苏,镇江市,上海千月网络科技有限公司,游戏,IT技术
江苏,镇江市,江苏熟店宝科技有限公司,移动互联网,IT技术
江苏,镇江市,上海乾生乾金融信息服务有限公司,金融,金融财经
江苏,镇江市,数据堂（北京）科技股份有限公司,数据服务 · 分类信息,IT技术
江苏,镇江市,江苏斯诺物联科技有限公司,移动互联网 · O2O,IT技术
江苏,镇江市,江苏易乐网络科技有限公司,移动互联网 · 游戏,IT技术
江苏,镇江市,镇江瑞利网络科技有限公司,移动互联网 · 电子商务,IT技术
江苏,镇江市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,镇江市,好买财富管理股份有限公司,电子商务 · 金融,"IT技术,金融财经"
江苏,镇江市,国邦（深圳）金融服务集团有限公司,O2O · 金融,"IT技术,金融财经"
江苏,镇江市,上海糖玩国际旅行社有限公司,旅游,生活服务
江苏,镇江市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
江苏,镇江市,万达信息股份有限公司,移动互联网 · 数据服务,IT技术
江苏,镇江市,北京文安科技发展有限公司,移动互联网 · 企业服务,IT技术
江苏,镇江市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
江苏,镇江市,南京陌上花网络科技有限公司,O2O · 数据服务,IT技术
江苏,镇江市,上海富望股权投资管理有限公司,金融,金融财经
江苏,镇江市,江苏源梦教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,镇江市,上海天正软件有限公司,数据服务,IT技术
江苏,镇江市,镇江苏仪德科技有限公司,移动互联网,IT技术
江苏,镇江市,上海神腾旭鲁斯电子科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
