Provience,City,CompanyShortName,IndustryField,Upper class of industry
江西,南昌市,深圳市优网科技有限公司,数据服务 · 招聘,"IT技术,生活服务"
江西,南昌市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江西,南昌市,百视通新媒体股份有限公司,文化娱乐,生活服务
江西,南昌市,深圳市科脉技术股份有限公司,移动互联网,IT技术
江西,南昌市,上海钢银电子商务股份有限公司南昌分公司,移动互联网 · 电子商务,IT技术
江西,南昌市,南昌市辰锦网络科技有限公司,移动互联网,IT技术
江西,南昌市,重庆猪八戒网络有限公司,电子商务 · 生活服务,"IT技术,生活服务"
江西,南昌市,深圳喆行科技有限公司,移动互联网,IT技术
江西,南昌市,江西赛金科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江西,南昌市,小马飞腾科技责任有限公司,移动互联网 · 电子商务,IT技术
江西,南昌市,江西百唐科技有限公司,移动互联网 · 企业服务,IT技术
江西,南昌市,北京思特奇信息技术股份有限公司江西分支,电子商务 · 数据服务,IT技术
江西,南昌市,江西润田电子商务有限公司,电子商务 · 其他,IT技术
江西,南昌市,江西地宝网络股份有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
江西,南昌市,北京驰美科技有限公司,教育,生活服务
江西,南昌市,上海好丽家电子商务有限公司,电子商务,IT技术
江西,南昌市,北京奢易购网络科技有限公司江西分公司,移动互联网 · 电子商务,IT技术
江西,南昌市,58到家,O2O,IT技术
江西,南昌市,江西探险家软件科技有限公司,旅游,生活服务
江西,南昌市,上海博辕信息技术服务有限公司,硬件 · 数据服务,"IT技术,电子制造"
江西,南昌市,南昌午后科技有限公司,移动互联网 · O2O,IT技术
江西,南昌市,中兴软件技术（南昌）有限公司,移动互联网,IT技术
江西,南昌市,北京金万维科技有限公司,企业服务,IT技术
江西,南昌市,北京拓尔思信息技术股份有限公司广州分公司,移动互联网 · 数据服务,IT技术
江西,南昌市,上海新炬网络技术有限公司,移动互联网 · 数据服务,IT技术
江西,南昌市,江西林恩茶业有限公司,其他,其他
江西,南昌市,北京合力亿捷科技股份有限公司,移动互联网 · 企业服务,IT技术
江西,南昌市,广东动易软件股份有限公司,移动互联网,IT技术
江西,南昌市,中至科技集团有限公司,移动互联网 · 游戏,IT技术
江西,南昌市,天脉聚源（北京）传媒科技有限公司,数据服务,IT技术
江西,南昌市,北京逸生活技术服务有限公司,移动互联网 · O2O,IT技术
江西,南昌市,上海盛域信息技术有限公司,移动互联网 · 数据服务,IT技术
江西,南昌市,南昌市婧麒服饰有限公司,电子商务,IT技术
江西,南昌市,博康智能网络科技股份有限公司,移动互联网 · 信息安全,IT技术
江西,南昌市,江西网联盛景数字传媒有限公司,移动互联网,IT技术
江西,南昌市,广州九尾信息科技有限公司,移动互联网  · O2O,IT技术
江西,南昌市,南昌欧科达科技有限公司,移动互联网 · O2O,IT技术
江西,南昌市,深圳市中合银融资担保有限公司,金融,金融财经
江西,南昌市,大成方略纳税人俱乐部股份有限公司,企业服务,IT技术
江西,南昌市,北京百途互动科技有限公司,移动互联网,IT技术
江西,南昌市,南昌魔方网络科技有限公司,移动互联网,IT技术
江西,南昌市,江西逐浪软科技有限公司,企业服务 · 数据服务,IT技术
江西,南昌市,江西智能无限物联科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
江西,南昌市,江西掌中无限网络科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
江西,南昌市,杭州幺二幺七信息技术有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
江西,南昌市,深圳市北辰德科技有限公司,硬件,电子制造
江西,南昌市,南昌益盾科技有限公司,电子商务 · O2O,IT技术
江西,南昌市,江西软云科技有限公司,数据服务,IT技术
江西,南昌市,江西省影票文化传媒有限公司,移动互联网 · O2O,IT技术
江西,南昌市,上海魅妆网络科技有限公司,移动互联网 · O2O,IT技术
江西,南昌市,上海聚微计算机技术有限公司,移动互联网 · 企业服务,IT技术
江西,南昌市,用友网络科技股份有限公司,企业服务 · 数据服务,IT技术
江西,南昌市,珠海市天信恒创科技有限公司,金融,金融财经
江西,南昌市,上海大果信息科技有限公司,移动互联网 · 其他,IT技术
江西,南昌市,上海乾生乾金融信息服务有限公司,金融,金融财经
江西,南昌市,北京韵盛发科技有限公司,硬件 · 数据服务,"IT技术,电子制造"
江西,南昌市,江西博微新技术有限公司,企业服务,IT技术
江西,南昌市,福州盈展信息技术有限公司,移动互联网 · 企业服务,IT技术
江西,南昌市,北京乐教乐学教育科技有限责任公司,电子商务 · 教育,"IT技术,生活服务"
江西,南昌市,广州中软信息技术有限公司,数据服务 · 硬件,"IT技术,电子制造"
江西,南昌市,杭州轩潮科技有限公司,电子商务,IT技术
江西,南昌市,南昌设客网络科技有限公司,电子商务,IT技术
