Provience,City,CompanyShortName,IndustryField,Upper class of industry
河北,唐山市,唐山启奥科技股份有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河北,唐山市,北京众信国际旅行社股份有限公司,其他,其他
河北,唐山市,大成方略纳税人俱乐部股份有限公司,企业服务,IT技术
河北,唐山市,北京柯莱特科技有限公司,企业服务 · 金融,"IT技术,金融财经"
河北,唐山市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
河北,唐山市,易云创新（北京）网络科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
河北,唐山市,上海趣医网络科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河北,唐山市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
河北,唐山市,北京合众康桥科技发展有限公司,移动互联网,IT技术
河北,唐山市,国信卓越信息咨询有限公司,金融,金融财经
河北,唐山市,上海闪招信息技术有限公司,企业服务 · 分类信息,IT技术
河北,唐山市,杭州小卡科技有限公司,移动互联网 · O2O,IT技术
河北,唐山市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
河北,唐山市,庞大汽贸集团股份有限公司,移动互联网 · 电子商务,IT技术
河北,唐山市,北京邦赢彩服科技有限公司,移动互联网 · O2O,IT技术
