Provience,City,CompanyShortName,IndustryField,Upper class of industry
河北,廊坊市,北京轩邦电子商务有限公司,电子商务,IT技术
河北,廊坊市,有康爱帮健康科技（北京）有限公司,移动互联网,IT技术
河北,廊坊市,云智慧（北京）科技有限公司,数据服务,IT技术
河北,廊坊市,北京盛安德科技发展有限公司,移动互联网 · 企业服务,IT技术
河北,廊坊市,北京宇盈科技有限公司,移动互联网,IT技术
河北,廊坊市,普元信息技术股份有限公司,企业服务 · 数据服务,IT技术
河北,廊坊市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
河北,廊坊市,瑞金麟网络技术服务有限公司,电子商务 · O2O,IT技术
河北,廊坊市,北京盘砾网络科技有限公司,移动互联网,IT技术
河北,廊坊市,梅花生物科技集团股份有限公司,其他,其他
河北,廊坊市,北京皓洋仁和科技发展有限公司,移动互联网,IT技术
河北,廊坊市,河北志晟信息技术股份有限公司,企业服务,IT技术
河北,廊坊市,北京天翔互动科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
河北,廊坊市,软通动力技术服务有限公司北京分公司,移动互联网 · 企业服务,IT技术
河北,廊坊市,北京蜂巢天下信息技术有限公司,移动互联网 · 电子商务,IT技术
河北,廊坊市,新博卓畅技术（北京）有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河北,廊坊市,新智控股投资有限公司,移动互联网,IT技术
