Provience,City,CompanyShortName,IndustryField,Upper class of industry
河北,石家庄市,西安桔家软件科技有限公司,移动互联网 · O2O,IT技术
河北,石家庄市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
河北,石家庄市,广州玛瑞商务服务有限公司,医疗健康 · 生活服务,生活服务
河北,石家庄市,北京泊远网络科技有限公司,移动互联网 · O2O,IT技术
河北,石家庄市,深圳市宁远科技有限公司,移动互联网,IT技术
河北,石家庄市,伍德伯恩（北京）科技有限责任公司,移动互联网,IT技术
河北,石家庄市,北京冠新医卫软件科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河北,石家庄市,北京零下科技有限公司,移动互联网 · 电子商务,IT技术
河北,石家庄市,南京市魔格信息科技有限公司,移动互联网,IT技术
河北,石家庄市,北京宇信易诚网络技术有限公司,电子商务 · 金融,"IT技术,金融财经"
河北,石家庄市,数苗科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河北,石家庄市,河北鼎新电脑股份有限公司,移动互联网 · 游戏,IT技术
河北,石家庄市,长沙中顿教育咨询有限公司,教育,生活服务
河北,石家庄市,河北龙恩网络科技有限公司,移动互联网 · 企业服务,IT技术
河北,石家庄市,北京铭万智达科技有限公司,移动互联网 · 电子商务,IT技术
河北,石家庄市,北京尚博信科技有限公司,移动互联网 · 企业服务,IT技术
河北,石家庄市,深圳前海华视移动互联有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
河北,石家庄市,木鱼网络科技河北有限公司,移动互联网 · O2O,IT技术
河北,石家庄市,河北克瓦拉网络科技有限公司,教育 · 生活服务,生活服务
河北,石家庄市,博康智能网络科技股份有限公司,移动互联网 · 信息安全,IT技术
河北,石家庄市,北京开科唯识技术有限公司,金融,金融财经
河北,石家庄市,卡盟联众信息技术(北京)有限公司,电子商务 · O2O,IT技术
河北,石家庄市,广东酷配电子商务有限公司,电子商务,IT技术
河北,石家庄市,浙江绎盛谷信息技术有限公司,医疗健康,生活服务
河北,石家庄市,杭州幺二幺七信息技术有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
河北,石家庄市,北京晓通网络科技有限公司,硬件,电子制造
河北,石家庄市,杭州天丽科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
河北,石家庄市,飓安冠软通信技术(北京)有限公司,移动互联网 · 企业服务,IT技术
河北,石家庄市,南京易米云通网络科技有限公司,移动互联网,IT技术
河北,石家庄市,石家庄创阳网络科技有限公司,移动互联网 · 电子商务,IT技术
河北,石家庄市,北京新天地线信息技术有限公司,O2O · 教育,"IT技术,生活服务"
河北,石家庄市,河北中废通网络技术有限公司,电子商务,IT技术
河北,石家庄市,杭州轩潮科技有限公司,电子商务,IT技术
河北,石家庄市,杭州溢点信息技术有限公司,移动互联网 · O2O,IT技术
河北,石家庄市,北京明略软件系统有限公司,数据服务,IT技术
河北,石家庄市,人人行科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
河北,石家庄市,中科软科技股份有限公司,金融,金融财经
河北,石家庄市,美迅科技（北京）有限公司,移动互联网,IT技术
河北,石家庄市,上海天地汇供应链管理有限公司,移动互联网 · O2O,IT技术
河北,石家庄市,北京通宝图金融信息服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
河北,石家庄市,优听无限传媒科技（北京）有限责任公司,移动互联网,IT技术
河北,石家庄市,河北乐聘网络科技有限公司,移动互联网,IT技术
河北,石家庄市,夫有责（北京）餐饮管理有限公司,O2O · 生活服务,"IT技术,生活服务"
河北,石家庄市,河北七海人力资源咨询有限公司,企业服务,IT技术
河北,石家庄市,南京联创信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
河北,石家庄市,北京世纪好未来教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
河北,石家庄市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
河北,石家庄市,深圳微品致远信息科技有限公司,移动互联网 · 电子商务,IT技术
河北,石家庄市,安徽省安泰科技股份有限公司,企业服务 · 生活服务,"IT技术,生活服务"
河北,石家庄市,北京苹果知科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
河北,石家庄市,北京看看车科技有限公司,企业服务,IT技术
河北,石家庄市,河北三竿子商贸有限公司,电子商务,IT技术
河北,石家庄市,爱易达（北京）科技有限公司,移动互联网 · O2O,IT技术
河北,石家庄市,启迪桑德环境资源股份有限公司,医疗健康 · 生活服务,生活服务
河北,石家庄市,北京英克科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河北,石家庄市,北京米学科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
河北,石家庄市,石家庄子衿教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
河北,石家庄市,北京企携网络科技有限公司,电子商务 · 其他,IT技术
河北,石家庄市,石家庄大度科技服务有限公司,移动互联网 · 企业服务,IT技术
河北,石家庄市,深圳市动态电子商务有限公司,电子商务,IT技术
河北,石家庄市,河北廿一世纪教育投资有限公司,O2O · 教育,"IT技术,生活服务"
河北,石家庄市,天津五八到家生活服务有限公司,移动互联网 · O2O,IT技术
河北,石家庄市,石家庄汉鼎网络科技有限公司,电子商务 · 数据服务,IT技术
河北,石家庄市,北京鼎衡丰汇文化传播有限公司,文化娱乐,生活服务
河北,石家庄市,杭州小卡科技有限公司,移动互联网 · O2O,IT技术
河北,石家庄市,上海趣医网络科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河北,石家庄市,万有引力网络科技发展有限公司,电子商务,IT技术
河北,石家庄市,北京沃赢科技有限公司,移动互联网,IT技术
河北,石家庄市,石家庄鼎迈网络科技有限公司,电子商务,IT技术
河北,石家庄市,上海趣盛网络科技有限公司,O2O,IT技术
河北,石家庄市,石家庄威森三维科技科技有限公司,移动互联网 · 电子商务,IT技术
河北,石家庄市,北京安码科技有限公司,信息安全,IT技术
河北,石家庄市,天脉聚源（北京）传媒科技有限公司,数据服务,IT技术
河北,石家庄市,艺湾（北京）互联网络技术有限公司,企业服务 · O2O,IT技术
河北,石家庄市,移联网信集团有限公司,电子商务 · 生活服务,"IT技术,生活服务"
河北,石家庄市,58到家生活服务有限公司石家庄分公司,O2O · 生活服务,"IT技术,生活服务"
河北,石家庄市,北京众森兴业信息技术有限公司,移动互联网 · 企业服务,IT技术
河北,石家庄市,南京烽火星空通信发展有限公司,移动互联网 · 信息安全,IT技术
河北,石家庄市,杭州培康食品有限公司,其他,其他
河北,石家庄市,北京云栖科技有限公司,移动互联网 · 数据服务,IT技术
河北,石家庄市,北京水天科技有限公司,旅游 · 数据服务,"IT技术,生活服务"
河北,石家庄市,北京百家互联科技有限公司石家庄分公司,O2O,IT技术
河北,石家庄市,金博士,移动互联网 · 广告营销,"IT技术,金融财经"
河北,石家庄市,石家庄市裕华区金博士培训学校,移动互联网 · 招聘,"IT技术,生活服务"
河北,石家庄市,上海阿特门计算机技术有限公司,移动互联网 · 电子商务,IT技术
河北,石家庄市,河北鲜知园商贸有限公司,生活服务,生活服务
河北,石家庄市,石家庄乐图网络科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
河北,石家庄市,武汉天喻教育科技有限公司,移动互联网,IT技术
河北,石家庄市,深圳市卡控科技有限公司朝阳分公司,移动互联网 · O2O,IT技术
河北,石家庄市,南京信通科技有限责任公司,移动互联网 · 教育,"IT技术,生活服务"
河北,石家庄市,浙江臻善科技有限公司,企业服务,IT技术
河北,石家庄市,河北赛诺商用通讯服务有限公司,广告营销 · 文化娱乐,"金融财经,生活服务"
河北,石家庄市,上海京颐信息科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河北,石家庄市,西安习悦信息技术有限公司,移动互联网 · 教育,"IT技术,生活服务"
河北,石家庄市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
河北,石家庄市,北京爱云路科技有限公司,教育 · 数据服务,"IT技术,生活服务"
河北,石家庄市,北京和创未来网络科技有限公司,电子商务 · 金融,"IT技术,金融财经"
河北,石家庄市,北京云学时代科技有限公司,移动互联网,IT技术
河北,石家庄市,合肥码隆信息科技有限公司,移动互联网 · 电子商务,IT技术
河北,石家庄市,沈阳恒众信息科技有限公司石家庄分公司,企业服务 · 移动互联网,IT技术
河北,石家庄市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
河北,石家庄市,南京毗邻医疗科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河北,石家庄市,北京灵雨信息技术有限公司,移动互联网,IT技术
河北,石家庄市,河北邦纳科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
河北,石家庄市,重庆猪八戒网络有限公司,企业服务 · 电子商务,IT技术
河北,石家庄市,深圳市科脉技术股份有限公司,移动互联网,IT技术
河北,石家庄市,广州爱立信通讯服务有限公司广州第一分公司,移动互联网,IT技术
河北,石家庄市,深圳市百利财富信息咨询有限公司,电子商务 · 金融,"IT技术,金融财经"
河北,石家庄市,石家庄以岭药业股份有限公司,电子商务 · 医疗健康,"IT技术,生活服务"
河北,石家庄市,上海渊泉集币收藏品有限公司,文化娱乐,生活服务
河北,石家庄市,北京万能小哥信息技术有限公司,O2O,IT技术
河北,石家庄市,北京和君咨询有限公司,企业服务 · O2O,IT技术
河北,石家庄市,石家庄大菠萝计算机信息技术有限公司,移动互联网 · 游戏,IT技术
河北,石家庄市,北京逍牛科技有限责任公司,电子商务 · 硬件,"IT技术,电子制造"
河北,石家庄市,北京时代正邦科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
河北,石家庄市,深圳世捷开元金融服务有限公司,金融 · 电子商务,"IT技术,金融财经"
河北,石家庄市,北京新东方沃凯德国际教育旅行有限公司,教育 · 旅游,生活服务
河北,石家庄市,北京良品优选科技有限公司,移动互联网 · 电子商务,IT技术
河北,石家庄市,杏树林信息技术（北京）有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河北,石家庄市,石家庄君乐宝乳业有限公司,电子商务,IT技术
河北,石家庄市,石家庄耀谦电子科技有限公司,移动互联网 · 电子商务,IT技术
河北,石家庄市,欧华美科（天津）医学科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河北,石家庄市,北京皓洋仁和科技发展有限公司,移动互联网,IT技术
河北,石家庄市,重庆猪八戒网络有限公司,电子商务 · 生活服务,"IT技术,生活服务"
