Provience,City,CompanyShortName,IndustryField,Upper class of industry
河南,洛阳市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
河南,洛阳市,杭州善知识科技有限公司,移动互联网 · O2O,IT技术
河南,洛阳市,郑州中业科技股份有限公司,金融,金融财经
河南,洛阳市,苏州荣均信息科技有限公司,O2O · 其他,IT技术
河南,洛阳市,深圳市百利财富信息咨询有限公司,电子商务 · 金融,"IT技术,金融财经"
河南,洛阳市,北京米学科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
河南,洛阳市,广东酷配电子商务有限公司,电子商务,IT技术
河南,洛阳市,幕然信息科技(上海)有限公司,移动互联网 · O2O,IT技术
河南,洛阳市,科大讯飞股份有限公司,移动互联网 · 数据服务,IT技术
河南,洛阳市,富唐国际贸易（北京）有限公司,移动互联网 · O2O,IT技术
河南,洛阳市,优埃富欧科技（北京）有限公司,移动互联网 · 企业服务,IT技术
河南,洛阳市,上海阿特门计算机技术有限公司,移动互联网 · 电子商务,IT技术
河南,洛阳市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
河南,洛阳市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
河南,洛阳市,河南威尔克姆信息科技股份有限公司,移动互联网 · 电子商务,IT技术
河南,洛阳市,智慧树（北京）教育咨询有限公司,O2O · 教育,"IT技术,生活服务"
河南,洛阳市,洛阳戈拉西斯科技股份有限公司,移动互联网 · 硬件,"IT技术,电子制造"
河南,洛阳市,马上消费金融股份有限公司,金融,金融财经
河南,洛阳市,江苏鱼跃医疗设备股份有限公司,医疗健康,生活服务
