Provience,City,CompanyShortName,IndustryField,Upper class of industry
河南,郑州市,郑州卓见软件科技有限公司,移动互联网,IT技术
河南,郑州市,郑州乐驰软件科技有限公司,其他,其他
河南,郑州市,河南春秋网络科技有限公司,移动互联网 · 游戏,IT技术
河南,郑州市,北京米学科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
河南,郑州市,武汉赋天网络科技有限公司,移动互联网,IT技术
河南,郑州市,北京广通信达软件股份有限公司,移动互联网 · 信息安全,IT技术
河南,郑州市,西安桔家软件科技有限公司,移动互联网 · O2O,IT技术
河南,郑州市,北京中云微迅信息技术有限公司,移动互联网 · 金融,"IT技术,金融财经"
河南,郑州市,和创（北京）科技股份有限公司,移动互联网 · 企业服务,IT技术
河南,郑州市,图搜天下（北京）科技有限公司,移动互联网,IT技术
河南,郑州市,北京爱贝壳科技有限公司,O2O · 医疗健康,"IT技术,生活服务"
河南,郑州市,河南威尔克姆信息科技股份有限公司,移动互联网 · 电子商务,IT技术
河南,郑州市,大河网络传媒有限公司,文化娱乐,生活服务
河南,郑州市,郑州万国汽车进出口有限公司,移动互联网 · O2O,IT技术
河南,郑州市,郑州中业科技股份有限公司,金融,金融财经
河南,郑州市,深圳市宁远科技有限公司,移动互联网,IT技术
河南,郑州市,河南喜柚网络科技有限公司,移动互联网 · 电子商务,IT技术
河南,郑州市,上海新想科技有限公司,移动互联网,IT技术
河南,郑州市,深圳市分期乐网络科技有限公司,移动互联网,IT技术
河南,郑州市,河南省慢跑网络技术有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
河南,郑州市,深圳华南城网电子商务有限公司郑州分公司,电子商务,IT技术
河南,郑州市,郑州云峰计算机科技有限公司,移动互联网 · 数据服务,IT技术
河南,郑州市,河南优蓓教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
河南,郑州市,郑州维创盈通软件科技有限公司,移动互联网 · 电子商务,IT技术
河南,郑州市,武汉佰钧成技术有限责任公司,企业服务 · 金融,"IT技术,金融财经"
河南,郑州市,Alta Mob,移动互联网,IT技术
河南,郑州市,郑州哈里童颜商贸有限公司,移动互联网,IT技术
河南,郑州市,北京邀拍传媒科技有限公司,O2O · 生活服务,"IT技术,生活服务"
河南,郑州市,郑州信大捷安信息技术股份有限公司,移动互联网 · 信息安全,IT技术
河南,郑州市,郑州玄翱网络科技有限公司,电子商务,IT技术
河南,郑州市,深圳市百利财富信息咨询有限公司,电子商务 · 金融,"IT技术,金融财经"
河南,郑州市,郑州市中奥网络技术有限公司,电子商务,IT技术
河南,郑州市,云计划软件科技（上海）有限公司,移动互联网 · 数据服务,IT技术
河南,郑州市,河南花笺互动软件科技有限公司,移动互联网,IT技术
河南,郑州市,河南嘟嘟计算机科技有限公司,移动互联网,IT技术
河南,郑州市,河南汇然网络科技有限公司,移动互联网 · 电子商务,IT技术
河南,郑州市,郑州珑凌科技有限公司,电子商务 · 招聘,"IT技术,生活服务"
河南,郑州市,深圳三代人科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河南,郑州市,郑州管交网电子商务有限公司,移动互联网 · 电子商务,IT技术
河南,郑州市,河南乐分电子商务有限公司,电子商务 · O2O,IT技术
河南,郑州市,郑州墨攻智能科技有限公司,企业服务 · 生活服务,"IT技术,生活服务"
河南,郑州市,北京士惠农业发展有限公司,电子商务 · O2O,IT技术
河南,郑州市,郑州悉知信息科技股份有限公司,电子商务,IT技术
河南,郑州市,郑州赛驰计算机科技有限公司,数据服务 · 文化娱乐,"IT技术,生活服务"
河南,郑州市,河南象聚实业有限公司,移动互联网 · 金融,"IT技术,金融财经"
河南,郑州市,重庆猪八戒网络有限公司,电子商务 · 生活服务,"IT技术,生活服务"
河南,郑州市,郑州河图文化传媒有限公司,电子商务 · 其他,IT技术
河南,郑州市,郑州智风科技有限公司,移动互联网 · 企业服务,IT技术
河南,郑州市,北京乙丙丁科技有限公司,移动互联网 · O2O,IT技术
河南,郑州市,北京鼎力创世科技有限公司,电子商务,IT技术
河南,郑州市,在哪购（北京）网络信息技术股份有限公司,电子商务 · O2O,IT技术
河南,郑州市,洋觅国际有限公司,移动互联网 · 电子商务,IT技术
河南,郑州市,Best&nbsp;Insight,移动互联网 · 数据服务,IT技术
河南,郑州市,北京博斐讯科技有限公司,O2O · 企业服务,IT技术
河南,郑州市,北京喜仔科技服务有限公司,移动互联网 · O2O,IT技术
河南,郑州市,校妆网郑州分公司,电子商务 · O2O,IT技术
河南,郑州市,阜阳电视教育科技有限公司,电子商务 · 教育,"IT技术,生活服务"
河南,郑州市,郑州仙林电子科技有限公司,移动互联网 · 电子商务,IT技术
河南,郑州市,郑州市美莱美容医院有限公司,医疗健康,生活服务
河南,郑州市,河南裕茗计算机科技有限公司,电子商务 · 文化娱乐,"IT技术,生活服务"
河南,郑州市,财猫资产管理（北京）有限公司,金融,金融财经
河南,郑州市,广州玛瑞商务服务有限公司,医疗健康 · 生活服务,生活服务
河南,郑州市,北京小鸟科技发展有限责任公司,硬件,电子制造
河南,郑州市,河南拜特尔软件科技有限公司,移动互联网,IT技术
河南,郑州市,郑州思学电子科技有限公司,移动互联网 · 企业服务,IT技术
河南,郑州市,上海华腾软件系统有限公司,金融,金融财经
河南,郑州市,郑州涛华电子科技有限公司,移动互联网 · 电子商务,IT技术
河南,郑州市,河南金蚂蚁电子商务有限公司,电子商务 · O2O,IT技术
河南,郑州市,郑州天点科技有限公司,移动互联网,IT技术
河南,郑州市,河南蜂智电子商务有限公司,O2O,IT技术
河南,郑州市,河南省863软件孵化器有限公司,移动互联网 · 数据服务,IT技术
河南,郑州市,河南众易贷网络科技有限公司,金融,金融财经
河南,郑州市,河南汉狮电子科技有限公司,移动互联网 · 企业服务,IT技术
河南,郑州市,河南华信六合投资管理有限公司,电子商务 · 金融,"IT技术,金融财经"
河南,郑州市,郑州盛众信息技术有限公司,移动互联网 · 电子商务,IT技术
河南,郑州市,河南爱锐网络科技有限公司,电子商务,IT技术
河南,郑州市,河南交广融媒文化传播有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
河南,郑州市,河南有间电子商务有限公司,电子商务,IT技术
河南,郑州市,北京宇信科技集团股份有限公司,金融,金融财经
河南,郑州市,上海迹客科技,移动互联网 · 企业服务,IT技术
河南,郑州市,中辉乾坤（北京）数字电视投资管理有限公司,移动互联网 · 硬件,"IT技术,电子制造"
河南,郑州市,北大医疗信息技术有限公司,医疗健康,生活服务
河南,郑州市,东华软件股份公司,企业服务 · 数据服务,IT技术
河南,郑州市,郑州明德软件开发有限公司,教育 · 移动互联网,"IT技术,生活服务"
河南,郑州市,北京视觉成长科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
河南,郑州市,北京盛安德科技发展有限公司郑州分公司,移动互联网,IT技术
河南,郑州市,新开普电子股份有限公司,移动互联网,IT技术
河南,郑州市,郑州安久信息科技有限公司,电子商务 · 数据服务,IT技术
河南,郑州市,河南筋斗云信息技术有限公司,移动互联网 · 企业服务,IT技术
河南,郑州市,上海多维度网络科技有限公司,移动互联网 · O2O,IT技术
河南,郑州市,河南开云信息技术有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
河南,郑州市,平达投资股份有限公司,O2O,IT技术
河南,郑州市,上海盛域信息技术有限公司,移动互联网 · 数据服务,IT技术
河南,郑州市,北京糯米网科技发展有限公司,O2O,IT技术
河南,郑州市,深圳市北辰德科技有限公司,硬件,电子制造
河南,郑州市,广东酷配电子商务有限公司,电子商务,IT技术
河南,郑州市,郑州百阵科技有限公司,硬件,电子制造
河南,郑州市,河南真二互联网科技有限公司,移动互联网 · O2O,IT技术
河南,郑州市,郑州赛欧思科技有限公司,信息安全,IT技术
河南,郑州市,郑州宝贝在线孕婴用品有限公司,生活服务,生活服务
河南,郑州市,北京爸爸的选择科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
河南,郑州市,河南苏宁云商销售有限公司,电子商务 · O2O,IT技术
河南,郑州市,青天软件科技有限公司,电子商务 · 企业服务,IT技术
河南,郑州市,北京金山网络科技有限公司,移动互联网 · 信息安全,IT技术
河南,郑州市,河南众品食业股份有限公司,生活服务,生活服务
河南,郑州市,河南聚金金融服务股份有限公司,金融,金融财经
河南,郑州市,河南博明投资有限公司,移动互联网 · 金融,"IT技术,金融财经"
河南,郑州市,郑州洋葱威客信息技术有限公司,移动互联网 · 电子商务,IT技术
河南,郑州市,五二（北京）科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
河南,郑州市,广州逸臣贸易有限公司,企业服务 · 生活服务,"IT技术,生活服务"
河南,郑州市,郑州大迈文化传媒有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
