Provience,City,CompanyShortName,IndustryField,Upper class of industry
浙江,台州市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
浙江,台州市,苏州市捷梯培训学校,教育,生活服务
浙江,台州市,上海千叶网络科技有限公司,O2O,IT技术
浙江,台州市,迈得医疗工业设备股份有限公司,分类信息 · 其他,IT技术
浙江,台州市,杭州小九投资管理有限公司,O2O · 金融,"IT技术,金融财经"
浙江,台州市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
浙江,台州市,宁波明天医网科技有限公司,医疗健康,生活服务
浙江,台州市,上海乾生乾金融信息服务有限公司,金融,金融财经
浙江,台州市,北京圣庭生物技术有限公司,企业服务,IT技术
浙江,台州市,台州乐环计算机服务有限公司,电子商务,IT技术
浙江,台州市,浙江网新创建科技有限公司,移动互联网 · 企业服务,IT技术
浙江,台州市,广东奥飞动漫文化股份有限公司,文化娱乐,生活服务
浙江,台州市,台州络绎工业设计有限公司,移动互联网 · 其他,IT技术
浙江,台州市,杭州缦图摄影有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
浙江,台州市,台州伯明汉教育咨询有限公司,教育,生活服务
浙江,台州市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
浙江,台州市,51健康（上海银路投资管理有限公司）,移动互联网 · 医疗健康,"IT技术,生活服务"
浙江,台州市,医宝信息科技（上海）有限公司,电子商务 · 医疗健康,"IT技术,生活服务"
浙江,台州市,成都文思海辉技术有限公司,移动互联网 · 电子商务,IT技术
浙江,台州市,深圳市博安达信息技术股份有限公司,移动互联网,IT技术
浙江,台州市,浙江天福风采科技有限公司,移动互联网,IT技术
浙江,台州市,上海掌甄网络科技有限公司,移动互联网 · O2O,IT技术
浙江,台州市,台州聚乐买电子商务有限公司,移动互联网 · 电子商务,IT技术
浙江,台州市,上海瑞金生物科技有限公司,其他 · 医疗健康,生活服务
浙江,台州市,杭州富豆信息技术有限公司,移动互联网,IT技术
浙江,台州市,北京五八信息技术有限公司,生活服务 · 分类信息,"IT技术,生活服务"
浙江,台州市,上海三松礼品有限公司,其他 · 电子商务,IT技术
浙江,台州市,天阳宏业科技股份有限公司,移动互联网,IT技术
浙江,台州市,浙江企商汇电子商务有限公司,移动互联网 · O2O,IT技术
浙江,台州市,北京蜂巢天下信息技术有限公司,移动互联网 · 电子商务,IT技术
