Provience,City,CompanyShortName,IndustryField,Upper class of industry
浙江,嘉兴市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
浙江,嘉兴市,成都番茄来了科技有限公司,电子商务 · 旅游,"IT技术,生活服务"
浙江,嘉兴市,嘉兴市嘉世源科技创新服务平台有限公司,移动互联网 · 企业服务,IT技术
浙江,嘉兴市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
浙江,嘉兴市,上海合驿网络科技有限公司,电子商务,IT技术
浙江,嘉兴市,智泊（上海）信息科技有限公司,移动互联网 · 数据服务,IT技术
浙江,嘉兴市,嘉兴志诚信息技术有限公司,移动互联网 · O2O,IT技术
浙江,嘉兴市,嘉兴好叔叔汽车代驾服务有限公司,移动互联网 · O2O,IT技术
浙江,嘉兴市,杭州幺二幺七信息技术有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
浙江,嘉兴市,嘉兴众创信息科技有限公司,移动互联网 · 电子商务,IT技术
浙江,嘉兴市,浙江麦知网络科技有限公司,移动互联网 · 电子商务,IT技术
浙江,嘉兴市,超越联创环境投资咨询（北京）有限公司,企业服务,IT技术
浙江,嘉兴市,北京店客来科技有限公司,O2O · 生活服务,"IT技术,生活服务"
浙江,嘉兴市,嘉兴海格力思电子科技有限公司,硬件 · 数据服务,"IT技术,电子制造"
浙江,嘉兴市,杭州小九投资管理有限公司,O2O · 金融,"IT技术,金融财经"
浙江,嘉兴市,南京价公信息技术有限公司,移动互联网 · 数据服务,IT技术
浙江,嘉兴市,上海泛微网络科技股份有限公司杭州分公司,移动互联网 · 企业服务,IT技术
浙江,嘉兴市,浙江一滑电子商务有限公司,O2O,IT技术
浙江,嘉兴市,浙江米果网络股份有限公司,移动互联网,IT技术
浙江,嘉兴市,嘉兴四维智城信息科技有限公司,数据服务 · 其他,IT技术
浙江,嘉兴市,中企动力科技股份有限公司嘉兴分公司,移动互联网 · 电子商务,IT技术
浙江,嘉兴市,怡和科技（上海）有限公司,硬件,电子制造
浙江,嘉兴市,浙江福吧信息技术有限公司,移动互联网 · 电子商务,IT技术
浙江,嘉兴市,上海趣盛网络科技有限公司,O2O,IT技术
浙江,嘉兴市,嘉兴云超网络科技有限公司,移动互联网 · O2O,IT技术
浙江,嘉兴市,好买财富管理股份有限公司,电子商务 · 金融,"IT技术,金融财经"
浙江,嘉兴市,浙江房超信息科技有限公司,移动互联网 · 其他,IT技术
浙江,嘉兴市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
浙江,嘉兴市,杭州方尖塔科技有限公司,移动互联网 · 企业服务,IT技术
浙江,嘉兴市,苏州市捷梯培训学校,教育,生活服务
浙江,嘉兴市,浙江投融长富金融服务集团有限公司,移动互联网 · 金融,"IT技术,金融财经"
浙江,嘉兴市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
浙江,嘉兴市,北京乐洋昊天科技有限公司,移动互联网 · O2O,IT技术
浙江,嘉兴市,博远（澄迈）科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
浙江,嘉兴市,住福网络科技（上海）有限公司,移动互联网 · 旅游,"IT技术,生活服务"
浙江,嘉兴市,浙江金聚唐电子商务有限公司,电子商务,IT技术
浙江,嘉兴市,北京尚标知识产权代理有限公司桐乡分公司,移动互联网 · 企业服务,IT技术
浙江,嘉兴市,嘉兴飞刀软件科技有限公司,企业服务,IT技术
浙江,嘉兴市,上海挖宝金融信息服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
浙江,嘉兴市,杭州安尼自动化装备有限公司,硬件,电子制造
浙江,嘉兴市,北京壹号车科技有限公司江苏分公司,金融 · 电子商务,"IT技术,金融财经"
浙江,嘉兴市,上海至善股权投资基金有限公司,金融,金融财经
浙江,嘉兴市,蓝鸽集团有限公司,移动互联网 · 企业服务,IT技术
浙江,嘉兴市,杭州思高企业管理咨询有限公司,O2O · 金融,"IT技术,金融财经"
