Provience,City,CompanyShortName,IndustryField,Upper class of industry
浙江,宁波市,宁波搜布信息科技有限公司,移动互联网 · O2O,IT技术
浙江,宁波市,宁波邻家网络科技有限公司,移动互联网 · 其他,IT技术
浙江,宁波市,北京合力中税科技发展有限公司,移动互联网,IT技术
浙江,宁波市,爸妈旅游,旅游,生活服务
浙江,宁波市,宁波市和众互联科技有限公司,移动互联网 · 电子商务,IT技术
浙江,宁波市,宁波优询信息科技有限公司,移动互联网 · 电子商务,IT技术
浙江,宁波市,杭州智玲无纺布机械设备有限公司,移动互联网 · 电子商务,IT技术
浙江,宁波市,宁波拓普集团股份有限公司,其他,其他
浙江,宁波市,宁波奥克斯空调有限公司,电子商务 · 硬件,"IT技术,电子制造"
浙江,宁波市,宁波科友信息科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
浙江,宁波市,宁波星宏智能技术有限公司,硬件,电子制造
浙江,宁波市,宁波壹加壹整形美容医院,医疗健康 · 电子商务,"IT技术,生活服务"
浙江,宁波市,宁波英蓝网络科技有限公司,电子商务 · O2O,IT技术
浙江,宁波市,连云港亿豪物流有限公司,O2O · 生活服务,"IT技术,生活服务"
浙江,宁波市,宁波海大物联科技有限公司,移动互联网 · 企业服务,IT技术
浙江,宁波市,上海华腾软件系统有限公司,金融,金融财经
浙江,宁波市,宁波新希望信息技术有限公司,企业服务 · 生活服务,"IT技术,生活服务"
浙江,宁波市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
浙江,宁波市,上海千叶网络科技有限公司,O2O,IT技术
浙江,宁波市,宁波重彩信息技术有限公司,移动互联网,IT技术
浙江,宁波市,上海汇而通国际物流有限公司,O2O,IT技术
浙江,宁波市,北京云核网络技术有限公司,移动互联网,IT技术
浙江,宁波市,大成方略纳税人俱乐部股份有限公司,企业服务,IT技术
浙江,宁波市,浙江辰联创系信息科技有限公司,移动互联网 · O2O,IT技术
浙江,宁波市,浙江启创投资管理有限公司,移动互联网 · 企业服务,IT技术
浙江,宁波市,宁波市网络产业创业园开发有限公司,移动互联网 · 社交网络,IT技术
浙江,宁波市,宁波乐普信息科技有限公司,移动互联网 · O2O,IT技术
浙江,宁波市,北京逸生活技术服务有限公司,移动互联网 · O2O,IT技术
浙江,宁波市,浙江青年优品科技股份有限公司,移动互联网 · 电子商务,IT技术
浙江,宁波市,宁波大家好网络科技有限公司,O2O,IT技术
浙江,宁波市,国技互联信息技术有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
浙江,宁波市,宁波云麻豆网络科技有限公司,移动互联网 · 电子商务,IT技术
浙江,宁波市,浙江帮你物联科技有限公司,O2O · 生活服务,"IT技术,生活服务"
浙江,宁波市,宁波卡速视自动化科技有限公司,企业服务 · 信息安全,IT技术
浙江,宁波市,宁波艾易教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
浙江,宁波市,上海趣盛网络科技有限公司,O2O,IT技术
浙江,宁波市,宁波有车有房网络科技有限公司,移动互联网 · 电子商务,IT技术
浙江,宁波市,宁波东方智胜企业管理顾问有限公司,移动互联网,IT技术
浙江,宁波市,浙江优托邦网络科技有限公司,电子商务 · 企业服务,IT技术
浙江,宁波市,北京百家互联科技有限公司宁波分公司,O2O · 教育,"IT技术,生活服务"
浙江,宁波市,荣昌耀华网络技术（北京）有限公司,O2O,IT技术
浙江,宁波市,浙江荔峰信息技术有限公司,移动互联网 · O2O,IT技术
浙江,宁波市,宁波卡哥信息科技有限公司,移动互联网 · O2O,IT技术
浙江,宁波市,上海够快网络科技有限公司,移动互联网 · 企业服务,IT技术
浙江,宁波市,上海币达信息技术有限公司,移动互联网,IT技术
浙江,宁波市,宁波美康生物科技股份有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
浙江,宁波市,北京知豆智信息技术有限公司,电子商务 · 其他,IT技术
浙江,宁波市,北京中录国际文化传播有限公司,移动互联网,IT技术
浙江,宁波市,宁波创视信息技术有限公司,移动互联网 · 数据服务,IT技术
浙江,宁波市,中信网络科技股份有限公司,金融,金融财经
浙江,宁波市,宁波方太厨具有限公司,移动互联网 · 电子商务,IT技术
浙江,宁波市,宁波市江北金奥软件科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
浙江,宁波市,宁波博赢环深互联网科技有限公司,移动互联网,IT技术
浙江,宁波市,上海乾生乾金融信息服务有限公司,金融,金融财经
浙江,宁波市,杭州知豆智信技术中心（知豆电动汽车有限公司）,移动互联网 · 数据服务,IT技术
浙江,宁波市,宁波明天医网科技有限公司,医疗健康,生活服务
浙江,宁波市,上海思众信息科技有限公司,O2O · 数据服务,IT技术
浙江,宁波市,浙江天下商邦科技股份有限公司,移动互联网 · 电子商务,IT技术
浙江,宁波市,杭州决盛网络科技有限公司,金融 · 移动互联网,"IT技术,金融财经"
浙江,宁波市,宁波合创金融控股集团,移动互联网 · 金融,"IT技术,金融财经"
浙江,宁波市,舜宇光学科技集团有限公司,硬件,电子制造
浙江,宁波市,武汉天喻教育科技有限公司,移动互联网,IT技术
浙江,宁波市,宁波盛世方舟孵化器投资管理有限公司,金融 · 移动互联网,"IT技术,金融财经"
浙江,宁波市,商船三井集运服务(),其他,其他
浙江,宁波市,上海悦会信息科技有限公司,移动互联网,IT技术
浙江,宁波市,宁波智云网络科技有限公司,O2O,IT技术
浙江,宁波市,浙江宣逸网络科技有限公司,移动互联网 · 游戏,IT技术
浙江,宁波市,上海飞天众知科技服务有限公司,企业服务,IT技术
浙江,宁波市,上海万企明道软件有限公司,移动互联网 · 企业服务,IT技术
浙江,宁波市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
浙江,宁波市,上海智位机器人有限公司,电子商务 · 硬件,"IT技术,电子制造"
浙江,宁波市,宁波麦博韦尔移动电话有限公司,硬件 · 招聘,"电子制造,生活服务"
浙江,宁波市,宁波易联汇商信息科技有限公司,电子商务 · 社交网络,IT技术
浙江,宁波市,绍兴上元企业管理咨询有限公司,教育,生活服务
浙江,宁波市,宜兴大师兄科技有限公司,移动互联网 · O2O,IT技术
浙江,宁波市,万达信息股份有限公司,移动互联网 · 数据服务,IT技术
浙江,宁波市,宁波市鄞州亿赛德信息科技有限公司,移动互联网 · 其他,IT技术
浙江,宁波市,宁波太闲软件有限公司,移动互联网 · 社交网络,IT技术
浙江,宁波市,宁波星帆信息科技有限公司,移动互联网,IT技术
浙江,宁波市,网新新云联技术有限公司,电子商务 · O2O,IT技术
浙江,宁波市,宁波美娘网络科技有限公司,移动互联网 · 电子商务,IT技术
浙江,宁波市,上海重彩网络科技有限公司,移动互联网,IT技术
浙江,宁波市,杭州小卡科技有限公司,移动互联网 · O2O,IT技术
浙江,宁波市,浙江微海汇信息科技股份有限公司,电子商务,IT技术
浙江,宁波市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
浙江,宁波市,宁波亦云软件有限公司,数据服务,IT技术
浙江,宁波市,宁波小盒智能科技有限公司,医疗健康,生活服务
浙江,宁波市,深圳市铺铺旺电子商务有限公司宁波分公司,电子商务,IT技术
浙江,宁波市,宁波知微瑞驰信息科技有限公司,社交网络 · 企业服务,IT技术
浙江,宁波市,深圳市飞宇天下国际旅行社有限公司,电子商务 · 旅游,"IT技术,生活服务"
浙江,宁波市,宁波聚合集卡联盟电子商务股份有限公司,电子商务 · 其他,IT技术
浙江,宁波市,杭州缦图摄影有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
浙江,宁波市,中云智汇科技（北京）有限公司,移动互联网 · 企业服务,IT技术
浙江,宁波市,杭州本威进出口有限公司,电子商务 · O2O,IT技术
浙江,宁波市,浙江聚有财金融服务外包有限公司,金融,金融财经
浙江,宁波市,宁波大路科技有限公司,硬件,电子制造
浙江,宁波市,宁波敢为互联网科技有限公司,O2O · 教育,"IT技术,生活服务"
浙江,宁波市,宝真冷链物流股份有限公司,电子商务 · O2O,IT技术
浙江,宁波市,宁波奇云信息技术有限公司,移动互联网 · 电子商务,IT技术
浙江,宁波市,上海一嗨汽车租赁有限公司,电子商务,IT技术
