Provience,City,CompanyShortName,IndustryField,Upper class of industry
浙江,杭州市,阿里巴巴（中国）网络技术有限公司,移动互联网,IT技术
浙江,杭州市,杭州诚联科技有限公司,移动互联网 · 电子商务,IT技术
浙江,杭州市,淘宝（中国）软件有限公司,电子商务 · 生活服务,"IT技术,生活服务"
浙江,杭州市,杭州萌资信息科技有限公司,文化娱乐,生活服务
浙江,杭州市,网易（杭州）网络有限公司,移动互联网 · 游戏,IT技术
浙江,杭州市,杭州商快软件有限公司,移动互联网 · 电子商务,IT技术
浙江,杭州市,浙江畅唐网络股份有限公司,游戏,IT技术
浙江,杭州市,北京河狸家信息技术有限公司,移动互联网,IT技术
浙江,杭州市,杭州青蜂网络科技有限公司,移动互联网 · 社交网络,IT技术
浙江,杭州市,武汉元光科技有限公司,移动互联网 · 数据服务,IT技术
浙江,杭州市,浙江保融科技有限公司,金融,金融财经
浙江,杭州市,杭州联玛客科技有限公司,移动互联网 · O2O,IT技术
浙江,杭州市,深圳市企鹅网络科技有限公司,移动互联网,IT技术
浙江,杭州市,浙江米果网络股份有限公司,移动互联网,IT技术
浙江,杭州市,杭州阅莱网络科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
浙江,杭州市,杭州追众电子商务有限公司,电子商务 · O2O,IT技术
浙江,杭州市,厦门市云客网络科技有限公司,移动互联网 · 电子商务,IT技术
浙江,杭州市,精中（上海）管理咨询有限公司,教育,生活服务
浙江,杭州市,上海玖道信息科技股份有限公司,移动互联网 · O2O,IT技术
浙江,杭州市,杭州兔狗科技有限公司,电子商务,IT技术
浙江,杭州市,杭州曦客软件技术有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
浙江,杭州市,杭州速配科技有限公司,移动互联网,IT技术
浙江,杭州市,北京思特奇信息技术股份有限公司浙江分支,移动互联网 · 企业服务,IT技术
浙江,杭州市,杭州绿漫科技有限公司,移动互联网,IT技术
浙江,杭州市,杭州坤柔网络科技有限公司,移动互联网 · O2O,IT技术
浙江,杭州市,杭州墨星网络科技有限公司,移动互联网 · O2O,IT技术
浙江,杭州市,浙江股商荟信息科技有限公司,移动互联网,IT技术
浙江,杭州市,杭州利伊享数据科技有限公司,移动互联网,IT技术
浙江,杭州市,杭州讯盟科技有限公司,移动互联网,IT技术
浙江,杭州市,上海多维度网络科技有限公司,移动互联网 · O2O,IT技术
浙江,杭州市,杭州泰一指尚科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
浙江,杭州市,特维轮网络科技（杭州）有限公司,电子商务 · 其他,IT技术
浙江,杭州市,杭州萨宝科技有限公司,移动互联网 · 数据服务,IT技术
浙江,杭州市,北京培蒙教育咨询有限公司,教育,生活服务
浙江,杭州市,浙江远传信息技术股份有限公司,金融 · 数据服务,"IT技术,金融财经"
浙江,杭州市,杭州蚁国科技有限公司,移动互联网,IT技术
浙江,杭州市,上峰集团有限公司,电子商务,IT技术
浙江,杭州市,杭州片客信息科技有限公司,O2O,IT技术
浙江,杭州市,上海麦田文化传播有限公司,移动互联网 · 旅游,"IT技术,生活服务"
浙江,杭州市,杭州跃兔网络科技有限公司,游戏,IT技术
浙江,杭州市,杭州奶糖网络技术有限公司,社交网络,IT技术
浙江,杭州市,杭州雲尚网络科技有限公司,电子商务,IT技术
浙江,杭州市,杭州云鱼网络科技有限公司,企业服务 · 广告营销,"IT技术,金融财经"
浙江,杭州市,杭州筑家易电子商务有限公司,电子商务,IT技术
浙江,杭州市,百富计算机技术（深圳）有限公司,移动互联网,IT技术
浙江,杭州市,杭州嗨音网络科技有限公司,移动互联网 · 社交网络,IT技术
浙江,杭州市,杭州诚道科技有限公司,移动互联网 · 数据服务,IT技术
浙江,杭州市,杭州知彼科技有限公司,数据服务,IT技术
浙江,杭州市,杭州尚凡网络有限公司,移动互联网 · 电子商务,IT技术
浙江,杭州市,杭州乐寅虎网络科技有限公司,移动互联网,IT技术
浙江,杭州市,杭州耀淘网络科技有限公司,移动互联网 · 电子商务,IT技术
浙江,杭州市,北京优装网信息科技有限公司,电子商务,IT技术
浙江,杭州市,杭州巨咖科技有限公司,移动互联网 · 电子商务,IT技术
浙江,杭州市,北京广通信达软件股份有限公司杭州分公司,移动互联网 · 信息安全,IT技术
浙江,杭州市,浙江宝邦文化传媒有限公司,广告营销 · 其他,金融财经
浙江,杭州市,浙江核新同花顺网络信息股份有限公司,金融,金融财经
浙江,杭州市,浙江小融网络科技股份有限公司,金融,金融财经
浙江,杭州市,杭州脸脸会网络技术有限公司,移动互联网 · O2O,IT技术
浙江,杭州市,杭州培康食品有限公司,其他,其他
浙江,杭州市,杭州麒翼科技有限公司,移动互联网 · 游戏,IT技术
浙江,杭州市,温州康宁医院股份有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
浙江,杭州市,浙江大华技术股份有限公司,信息安全,IT技术
浙江,杭州市,杭州卡塔科技有限公司,企业服务,IT技术
浙江,杭州市,杭州晨聚网络科技有限公司,移动互联网 · 社交网络,IT技术
浙江,杭州市,浙江腾越网络科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
浙江,杭州市,支付宝（中国）网络技术有限公司,移动互联网 · 金融,"IT技术,金融财经"
浙江,杭州市,杭州财卿信息科技有限公司,金融 · 移动互联网,"IT技术,金融财经"
浙江,杭州市,浙江锦茂街网络科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
浙江,杭州市,杭州杰恩西网络科技有限公司,电子商务,IT技术
浙江,杭州市,杭州宣诚科技有限公司,游戏,IT技术
浙江,杭州市,杭州米趣网络科技有限公司,移动互联网,IT技术
浙江,杭州市,杭州华恩教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
浙江,杭州市,上海袋虎信息技术有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
