Provience,City,CompanyShortName,IndustryField,Upper class of industry
浙江,温州市,上海千叶网络科技有限公司,O2O,IT技术
浙江,温州市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
浙江,温州市,浙江启讯信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
浙江,温州市,广州谊游网络科技有限公司,游戏,IT技术
浙江,温州市,博远（澄迈）科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
浙江,温州市,温州温商贷金融信息服务股份有限公司,金融,金融财经
浙江,温州市,深圳市中合银融资担保有限公司,金融,金融财经
浙江,温州市,上海趣盛网络科技有限公司,O2O,IT技术
浙江,温州市,广东酷配电子商务有限公司,电子商务,IT技术
浙江,温州市,温州易邻信息科技有限公司,移动互联网 · 电子商务,IT技术
浙江,温州市,杭州幺二幺七信息技术有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
浙江,温州市,杭州小九投资管理有限公司,O2O · 金融,"IT技术,金融财经"
浙江,温州市,深圳希彼爱思科技有限公司,移动互联网 · 企业服务,IT技术
浙江,温州市,温州市麦田儿网络科技有限公司,移动互联网 · O2O,IT技术
浙江,温州市,杭州溢点信息技术有限公司,移动互联网 · O2O,IT技术
浙江,温州市,上海慧聪电子商务有限公司,电子商务,IT技术
浙江,温州市,浙江网新创建科技有限公司,移动互联网 · 企业服务,IT技术
浙江,温州市,温州当游网络科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
浙江,温州市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
浙江,温州市,北京看看车科技有限公司,企业服务,IT技术
浙江,温州市,杭州暖心科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
浙江,温州市,杭州心程科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
浙江,温州市,杭州天与佳科技有限公司,企业服务,IT技术
浙江,温州市,广东奥飞动漫文化股份有限公司,文化娱乐,生活服务
浙江,温州市,好买财富管理股份有限公司,电子商务 · 金融,"IT技术,金融财经"
浙江,温州市,杭州大搜车汽车服务有限公司,移动互联网 · O2O,IT技术
浙江,温州市,上海有葵网络科技有限公司,金融,金融财经
浙江,温州市,杭州点云信息技术有限公司,移动互联网,IT技术
浙江,温州市,深圳市晓舟科技有限公司,数据服务,IT技术
浙江,温州市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
浙江,温州市,昆明积大药品销售有限公司,O2O · 医疗健康,"IT技术,生活服务"
浙江,温州市,温州市升望网络技术有限公司,移动互联网 · 电子商务,IT技术
浙江,温州市,温州安付贷金融信息服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
浙江,温州市,杭州弧途科技有限公司,移动互联网 · 招聘,"IT技术,生活服务"
浙江,温州市,51健康（上海银路投资管理有限公司）,移动互联网 · 医疗健康,"IT技术,生活服务"
浙江,温州市,医宝信息科技（上海）有限公司,电子商务 · 医疗健康,"IT技术,生活服务"
浙江,温州市,北京玖承资产管理有限公司,金融,金融财经
浙江,温州市,北京快乐时代科技发展有限公司,电子商务 · 金融,"IT技术,金融财经"
浙江,温州市,温州市鹿城区中津先进科技研究院,移动互联网 · 数据服务,IT技术
浙江,温州市,上海乾生乾金融信息服务有限公司,金融,金融财经
浙江,温州市,温州市联科科技有限公司,企业服务 · O2O,IT技术
浙江,温州市,杭州龙盈互联网金融信息技术有限公司,移动互联网,IT技术
浙江,温州市,上海掌甄网络科技有限公司,移动互联网 · O2O,IT技术
浙江,温州市,上海慷慷汇科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
浙江,温州市,温州金融资产交易中心股份有限公司,金融,金融财经
浙江,温州市,北京易鑫信息科技有限公司,移动互联网,IT技术
浙江,温州市,温州盛源电子商务有限公司,电子商务 · O2O,IT技术
浙江,温州市,乐清市步旅网络技术有限公司,移动互联网,IT技术
浙江,温州市,温州云家汇信息技术有限公司,移动互联网 · 企业服务,IT技术
浙江,温州市,上海瑞金生物科技有限公司,其他 · 医疗健康,生活服务
浙江,温州市,达疆网络科技(上海)有限公司,移动互联网 · O2O,IT技术
