Provience,City,CompanyShortName,IndustryField,Upper class of industry
浙江,湖州市,上海净安化工科技有限公司,O2O · 硬件,"IT技术,电子制造"
浙江,湖州市,杭州小九投资管理有限公司,O2O · 金融,"IT技术,金融财经"
浙江,湖州市,上海飞天众知科技服务有限公司,企业服务,IT技术
浙江,湖州市,浙江聚有财金融服务外包有限公司,金融,金融财经
浙江,湖州市,浙江聚点科技有限公司湖州分公司,电子商务,IT技术
浙江,湖州市,万达信息股份有限公司,移动互联网 · 数据服务,IT技术
浙江,湖州市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
浙江,湖州市,湖州优势文化企业管理咨询有限公司,移动互联网 · O2O,IT技术
浙江,湖州市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
浙江,湖州市,博远（澄迈）科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
浙江,湖州市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
浙江,湖州市,上海乾生乾金融信息服务有限公司,金融,金融财经
浙江,湖州市,浙江盘农生物科技有限公司,O2O,IT技术
浙江,湖州市,浙江天福风采科技有限公司,移动互联网,IT技术
