Provience,City,CompanyShortName,IndustryField,Upper class of industry
浙江,金华市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
浙江,金华市,浙江义乌购电子商务有限公司,移动互联网 · 电子商务,IT技术
浙江,金华市,苏州市捷梯培训学校,教育,生活服务
浙江,金华市,上海八亿八医药信息有限公司,电子商务,IT技术
浙江,金华市,广东酷配电子商务有限公司,电子商务,IT技术
浙江,金华市,杭州超级腕电子商务有限公司,O2O,IT技术
浙江,金华市,义乌市临界信息科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
浙江,金华市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
浙江,金华市,浙江宝璐网络科技有限公司,电子商务 · 文化娱乐,"IT技术,生活服务"
浙江,金华市,杭州湖畔网络技术有限公司,电子商务 · 企业服务,IT技术
浙江,金华市,上海泛微网络科技股份有限公司杭州分公司,移动互联网 · 企业服务,IT技术
浙江,金华市,杭州缦图摄影有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
浙江,金华市,上海思众信息科技有限公司,O2O · 数据服务,IT技术
浙江,金华市,天津五八到家生活服务有限公司,移动互联网 · O2O,IT技术
浙江,金华市,广东奥飞动漫文化股份有限公司,文化娱乐,生活服务
浙江,金华市,金华卓远信息科技有限公司,电子商务 · O2O,IT技术
浙江,金华市,北京神马兄弟商贸有限公司,电子商务,IT技术
浙江,金华市,北京智诚永拓信息技术有限公司,移动互联网 · O2O,IT技术
浙江,金华市,浙江时利科技有限公司,电子商务 · 移动互联网,IT技术
浙江,金华市,天津五八到家生活服务有限公司,O2O · 生活服务,"IT技术,生活服务"
浙江,金华市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
浙江,金华市,杭州大搜车汽车服务有限公司,移动互联网 · O2O,IT技术
浙江,金华市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
浙江,金华市,昆明积大药品销售有限公司,O2O · 医疗健康,"IT技术,生活服务"
浙江,金华市,重庆猪八戒网络有限公司,企业服务 · 电子商务,IT技术
浙江,金华市,宁波明天医网科技有限公司,医疗健康,生活服务
浙江,金华市,金华市亿博网络科技有限公司,电子商务 · 游戏,IT技术
浙江,金华市,上海点客信息技术股份有限公司苏州分公司,移动互联网 · 电子商务,IT技术
浙江,金华市,北京快乐时代科技发展有限公司,电子商务 · 金融,"IT技术,金融财经"
浙江,金华市,上海乾生乾金融信息服务有限公司,金融,金融财经
浙江,金华市,杭州汇之界网络科技有限公司,移动互联网 · 电子商务,IT技术
浙江,金华市,上海掌甄网络科技有限公司,移动互联网 · O2O,IT技术
浙江,金华市,杭州潘朵信息科技有限公司,电子商务,IT技术
浙江,金华市,义乌市赢星进出口有限公司,生活服务 · 电子商务,"IT技术,生活服务"
浙江,金华市,杭州富豆信息技术有限公司,移动互联网,IT技术
浙江,金华市,浙江绿源电动车有限公司,其他,其他
浙江,金华市,中国机电产品进出口商会,其他,其他
