Provience,City,CompanyShortName,IndustryField,Upper class of industry
海南,三亚市,成都番茄来了科技有限公司,电子商务 · 旅游,"IT技术,生活服务"
海南,三亚市,北京绿卡通网络科技有限公司,移动互联网,IT技术
海南,三亚市,青岛特来电新能源有限公司,移动互联网 · 数据服务,IT技术
海南,三亚市,深圳市里里网络有限公司,广告营销,金融财经
海南,三亚市,珠海市思为软件技术有限公司,企业服务,IT技术
海南,三亚市,上海狂龙数字科技有限公司,硬件 · 其他,电子制造
海南,三亚市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
海南,三亚市,江苏马上游科技股份有限公司,电子商务 · 旅游,"IT技术,生活服务"
海南,三亚市,易云游网络技术(北京)有限公司,移动互联网 · 旅游,"IT技术,生活服务"
海南,三亚市,深圳非常给力科技有限公司,移动互联网 · 旅游,"IT技术,生活服务"
海南,三亚市,海南天涯社区网络科技股份有限公司,移动互联网 · 社交网络,IT技术
海南,三亚市,四川清凌文化发展有限公司,文化娱乐,生活服务
海南,三亚市,广州市连奖网络科技有限公司,移动互联网 · 电子商务,IT技术
海南,三亚市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
海南,三亚市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
海南,三亚市,住福网络科技（上海）有限公司,移动互联网 · 旅游,"IT技术,生活服务"
海南,三亚市,海南海航信息技术有限公司,数据服务 · 其他,IT技术
海南,三亚市,先锋智道（北京）科技有限公司,移动互联网 · O2O,IT技术
海南,三亚市,北京谛力泰克,电子商务 · 硬件,"IT技术,电子制造"
海南,三亚市,海航集团有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
海南,三亚市,深圳市中润四方信息技术有限公司,金融,金融财经
