Provience,City,CompanyShortName,IndustryField,Upper class of industry
湖北,十堰市,十堰亿脉科技有限公司,电子商务 · 企业服务,IT技术
湖北,十堰市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖北,咸宁市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖北,孝感市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖北,孝感市,湖北鸿连实业有限公司,其他,其他
湖北,孝感市,南京金斯瑞生物科技有限公司,医疗健康 · 教育,生活服务
湖北,孝感市,圣贤网络科技湖北有限公司,移动互联网 · 电子商务,IT技术
湖北,宜昌市,大成方略纳税人俱乐部股份有限公司,企业服务,IT技术
湖北,宜昌市,武汉天喻教育科技有限公司,移动互联网,IT技术
湖北,宜昌市,上海趣医网络科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
湖北,宜昌市,北京易鑫信息科技有限公司,移动互联网,IT技术
湖北,宜昌市,杭州八公科技发展有限公司,金融,金融财经
湖北,宜昌市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖北,宜昌市,南京金斯瑞生物科技有限公司,医疗健康 · 教育,生活服务
湖北,宜昌市,上海花冠营养乳品有限公司,其他,其他
湖北,宜昌市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
湖北,宜昌市,北京易车互动广告有限公司,O2O · 文化娱乐,"IT技术,生活服务"
湖北,宜昌市,易日升投资有限公司,金融,金融财经
湖北,武汉市,广州保易信息科技有限公司,移动互联网,IT技术
湖北,武汉市,武汉翼动数码科技有限公司,移动互联网 · 游戏,IT技术
湖北,武汉市,普宙飞行器科技（深圳）有限公司,移动互联网 · 硬件,"IT技术,电子制造"
湖北,武汉市,武汉闪达科技有限公司,移动互联网 · 企业服务,IT技术
湖北,武汉市,百纳（武汉）信息技术有限公司,移动互联网,IT技术
湖北,武汉市,武汉卓创众邦科技有限公司,移动互联网 · 电子商务,IT技术
湖北,武汉市,深圳市企鹅网络科技有限公司,移动互联网,IT技术
湖北,武汉市,武汉由米定制科技有限公司,电子商务,IT技术
湖北,武汉市,上海钰宠宠物用品有限公司,电子商务 · 其他,IT技术
湖北,武汉市,灯塔财经信息有限公司,移动互联网 · 金融,"IT技术,金融财经"
湖北,武汉市,武汉天云融创科技有限公司,移动互联网 · 其他,IT技术
湖北,武汉市,武汉赋天网络科技有限公司,移动互联网,IT技术
湖北,武汉市,杭州蚁国科技有限公司,移动互联网,IT技术
湖北,武汉市,北京联想利泰软件有限公司,移动互联网 · 招聘,"IT技术,生活服务"
湖北,武汉市,武汉两点十分文化传播有限公司,游戏 · 文化娱乐,"IT技术,生活服务"
湖北,武汉市,北京华富睿智科技有限公司,信息安全 · 文化娱乐,"IT技术,生活服务"
湖北,武汉市,武汉新迪数字工程系统有限公司,移动互联网,IT技术
湖北,武汉市,湖北长投互联网科技服务有限公司,O2O · 金融,"IT技术,金融财经"
湖北,武汉市,北京中科云华科技股份有限公司,企业服务 · 数据服务,IT技术
湖北,武汉市,武汉普帮网络科技有限公司,金融 · 移动互联网,"IT技术,金融财经"
湖北,武汉市,武汉哈乐沃德网络科技有限公司,游戏 · 数据服务,IT技术
湖北,武汉市,武汉和奇科技有限公司,移动互联网,IT技术
湖北,武汉市,北京爱贝壳科技有限公司,O2O · 医疗健康,"IT技术,生活服务"
湖北,武汉市,湖北云天下数字传媒有限公司,移动互联网 · 教育,"IT技术,生活服务"
湖北,武汉市,北京光点图灵网络科技有限公司,移动互联网,IT技术
湖北,武汉市,武汉三帝飓风科技有限公司,移动互联网 · 电子商务,IT技术
湖北,武汉市,深圳市博安达信息技术股份有限公司,移动互联网,IT技术
湖北,武汉市,上海欢校信息科技有限公司,电子商务,IT技术
湖北,武汉市,北京建飞无限科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
湖北,武汉市,湖北微枚迪传媒技术有限公司,移动互联网 · O2O,IT技术
湖北,武汉市,武汉远途信息技术有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
湖北,武汉市,武汉大嘴鱼科贸有限公司,电子商务 · O2O,IT技术
湖北,武汉市,北京木仓科技有限公司,移动互联网,IT技术
湖北,武汉市,北京联动北方科技有限公司,移动互联网,IT技术
湖北,武汉市,武汉飞脉科技有限责任公司,移动互联网 · 数据服务,IT技术
湖北,武汉市,武汉奥微立网络科技有限公司,移动互联网 · 电子商务,IT技术
湖北,武汉市,武汉光轩通信技术有限公司,移动互联网 · 电子商务,IT技术
湖北,武汉市,荣昌耀华网络技术（北京）有限公司,O2O,IT技术
湖北,武汉市,武汉佰昌网络科技有限公司,移动互联网 · 电子商务,IT技术
湖北,武汉市,武汉善观科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
湖北,武汉市,武汉祺景科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
湖北,武汉市,爸妈旅游,旅游,生活服务
湖北,武汉市,北京全网数商科技股份有限公司武汉分公司,电子商务,IT技术
湖北,武汉市,武汉爱德思阔信息技术有限公司,移动互联网,IT技术
湖北,武汉市,南京企联宝信息科技有限公司,移动互联网 · 企业服务,IT技术
湖北,武汉市,湖北睛彩视讯科技有限公司,移动互联网,IT技术
湖北,武汉市,武汉企泰信息科技有限公司,企业服务,IT技术
湖北,武汉市,湖北东吴科技有限公司,移动互联网 · 电子商务,IT技术
湖北,武汉市,深圳云创车联网有限公司,移动互联网,IT技术
湖北,武汉市,武汉完美网络有限公司,移动互联网,IT技术
湖北,武汉市,施耐德电气（中国）有限公司,硬件 · 数据服务,"IT技术,电子制造"
湖北,武汉市,上海飞牛集达电子商务有限公司,移动互联网 · 电子商务,IT技术
