Provience,City,CompanyShortName,IndustryField,Upper class of industry
湖南,娄底市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖南,娄底市,北京壹号车科技有限公司湖南分公司,金融,金融财经
湖南,岳阳市,岳阳汉林网络科技有限公司,O2O · 移动互联网,IT技术
湖南,岳阳市,北京易鑫信息科技有限公司,移动互联网,IT技术
湖南,岳阳市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖南,岳阳市,武汉顶益食品有限公司,其他,其他
湖南,常德市,湖南思洋信息技术有限公司,移动互联网 · 电子商务,IT技术
湖南,常德市,广东酷配电子商务有限公司,电子商务,IT技术
湖南,常德市,湖南玖尚电子商务有限公司,电子商务,IT技术
湖南,常德市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖南,常德市,北京壹号车科技有限公司湖南分公司,金融,金融财经
湖南,张家界市,广东酷配电子商务有限公司,电子商务,IT技术
湖南,张家界市,深圳非常给力科技有限公司,移动互联网 · 旅游,"IT技术,生活服务"
湖南,张家界市,北京壹号车科技有限公司湖南分公司,金融,金融财经
湖南,怀化市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖南,怀化市,北京壹号车科技有限公司湖南分公司,金融,金融财经
湖南,株洲市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖南,株洲市,湖南创翼玖零网络科技有限责任公司,电子商务,IT技术
湖南,株洲市,湖南澳德信息科技有限公司,移动互联网 · 信息安全,IT技术
湖南,株洲市,南京八天在线网络科技有限公司,O2O,IT技术
湖南,永州市,广东八实万产业投资有限公司,移动互联网 · 电子商务,IT技术
湖南,永州市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖南,永州市,北京壹号车科技有限公司湖南分公司,金融,金融财经
湖南,湘潭市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖南,湘潭市,湖南新润达科技有限公司,移动互联网,IT技术
湖南,湘潭市,安徽延生药业有限公司,医疗健康 · 其他,生活服务
湖南,湘潭市,上海眯客信息技术有限公司,移动互联网 · O2O,IT技术
湖南,湘潭市,广东马上信息科技有限公司,移动互联网 · 企业服务,IT技术
湖南,湘潭市,北京华拓金融服务外包有限公司,企业服务 · 数据服务,IT技术
湖南,湘潭市,湖南桑顿新能源有限公司,招聘 · 企业服务,"IT技术,生活服务"
湖南,湘西土家族苗族自治州,北京快乐时代科技发展有限公司,电子商务 · 金融,"IT技术,金融财经"
湖南,湘西土家族苗族自治州,上海眯客信息技术有限公司,移动互联网 · O2O,IT技术
湖南,益阳市,湖南思洋信息技术有限公司,移动互联网 · 电子商务,IT技术
湖南,益阳市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖南,益阳市,上海眯客信息技术有限公司,移动互联网 · O2O,IT技术
湖南,衡阳市,上海品米信息科技有限公司,移动互联网 · O2O,IT技术
湖南,衡阳市,深圳天牧伯爵科技有限公司,移动互联网 · O2O,IT技术
湖南,衡阳市,北京壹号车科技有限公司湖南分公司,金融,金融财经
湖南,衡阳市,湖南思洋信息技术有限公司,移动互联网 · 电子商务,IT技术
湖南,衡阳市,衡阳新思路软件开发有限公司,企业服务 · 移动互联网,IT技术
湖南,邵阳市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖南,邵阳市,北京壹号车科技有限公司湖南分公司,金融,金融财经
湖南,郴州市,北京韦尔科技有限公司,移动互联网 · 数据服务,IT技术
湖南,郴州市,郴州七啸网络科技有限公司,移动互联网 · 游戏,IT技术
湖南,郴州市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
湖南,郴州市,北京壹号车科技有限公司湖南分公司,金融,金融财经
湖南,郴州市,华润电力投资有限公司湖南分公司,其他,其他
湖南,郴州市,郴州东谷电子商务产业园有限公司,电子商务 · 企业服务,IT技术
湖南,郴州市,深圳市云帆世纪科技有限公司,数据服务,IT技术
湖南,长沙市,湖南顺风传媒有限公司,广告营销 · 其他,金融财经
湖南,长沙市,福建点石网络科技有限公司,O2O · 硬件,"IT技术,电子制造"
湖南,长沙市,亚信科技（中国）有限公司,移动互联网 · 数据服务,IT技术
湖南,长沙市,湖南宏维机甲科技有限公司,移动互联网 · O2O,IT技术
湖南,长沙市,湖南格尔智慧科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
湖南,长沙市,湖南理才网科技发展有限公司,移动互联网,IT技术
湖南,长沙市,杭州诚道科技有限公司,移动互联网 · 数据服务,IT技术
湖南,长沙市,湖南潭州教育网络科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
湖南,长沙市,湖南省微时代科技有限公司,移动互联网 · O2O,IT技术
湖南,长沙市,湖南潭州教育咨询有限公司,移动互联网 · 教育,"IT技术,生活服务"
湖南,长沙市,长沙方块网络科技有限公司,移动互联网,IT技术
湖南,长沙市,湖南新环境网络科技有限公司,移动互联网 · 电子商务,IT技术
湖南,长沙市,湖南鹰皇商务服务有限公司北京分公司,电子商务,IT技术
湖南,长沙市,湖南搜云网络科技有限公司,移动互联网 · 电子商务,IT技术
湖南,长沙市,湖南梵天信息科技发展有限公司,移动互联网 · 游戏,IT技术
湖南,长沙市,北京爱贝壳科技有限公司,O2O · 医疗健康,"IT技术,生活服务"
湖南,长沙市,深圳市博安达信息技术股份有限公司,移动互联网,IT技术
湖南,长沙市,长沙市希尚网络科技有限公司,移动互联网,IT技术
湖南,长沙市,湖南鲜居电子商务有限公司,电子商务 · O2O,IT技术
