Provience,City,CompanyShortName,IndustryField,Upper class of industry
甘肃,兰州市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
甘肃,兰州市,甘肃智威网络科技有限公司,移动互联网,IT技术
甘肃,兰州市,陕西西部资信有限公司,移动互联网 · 企业服务,IT技术
甘肃,兰州市,北京四达时代软件技术股份有限公司,文化娱乐 · 硬件,"电子制造,生活服务"
甘肃,兰州市,大成方略纳税人俱乐部股份有限公司,企业服务,IT技术
甘肃,兰州市,广东动易软件股份有限公司,移动互联网,IT技术
甘肃,兰州市,北京爱朗格瑞科技有限公司,企业服务 · 其他,IT技术
甘肃,兰州市,上海聚微计算机技术有限公司,移动互联网 · 企业服务,IT技术
甘肃,兰州市,甘肃穗易麦信息科技有限公司,电子商务,IT技术
甘肃,兰州市,北京蜂巢天下信息技术有限公司,移动互联网 · 电子商务,IT技术
甘肃,兰州市,深圳乖乖兔儿童用品科技发展有限公司,移动互联网 · 教育,"IT技术,生活服务"
甘肃,兰州市,兰州领新网络信息科技有限公司,电子商务,IT技术
甘肃,兰州市,成都星期五科技有限公司,移动互联网 · 数据服务,IT技术
甘肃,兰州市,科大讯飞股份有限公司,移动互联网 · 数据服务,IT技术
甘肃,兰州市,山景科创网络技术(北京)有限公司,移动互联网 · 分类信息,IT技术
甘肃,兰州市,兰州艾瓦文化传播有限责任公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
甘肃,兰州市,浙江安普利通信技术有限公司,移动互联网 · 其他,IT技术
甘肃,兰州市,上海趣医网络科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
甘肃,兰州市,上海英方软件股份有限公司,信息安全 · 数据服务,IT技术
甘肃,兰州市,北京驰美科技有限公司,教育,生活服务
甘肃,兰州市,上海齐家网信息科技股份有限公司杭州分公司,电子商务 · O2O,IT技术
甘肃,兰州市,武汉天喻教育科技有限公司,移动互联网,IT技术
甘肃,兰州市,厦门巨龙信息科技有限公司,信息安全 · 数据服务,IT技术
甘肃,兰州市,深圳长城科美技术有限公司,其他,其他
甘肃,兰州市,成都康赛信息技术有限公司,教育 · 数据服务,"IT技术,生活服务"
甘肃,兰州市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
甘肃,兰州市,兰州凡纳网络科技有限责任公司,电子商务 · 企业服务,IT技术
甘肃,兰州市,北京汇医在线科技有限公司,移动互联网,IT技术
甘肃,兰州市,京海石科技（北京）有限公司,移动互联网 · 数据服务,IT技术
甘肃,兰州市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
甘肃,兰州市,北京开科唯识技术有限公司,金融,金融财经
甘肃,兰州市,北京启明星辰信息安全技术有限公司,信息安全,IT技术
甘肃,兰州市,杭州恩牛网络技术有限公司,金融 · 数据服务,"IT技术,金融财经"
甘肃,兰州市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
甘肃,兰州市,北京鼎力创世科技有限公司,电子商务,IT技术
甘肃,兰州市,甘肃万华金慧科技股份有限公司,移动互联网 · O2O,IT技术
甘肃,兰州市,浙江银信博荣电子科技股份有限公司,金融 · 硬件,"金融财经,电子制造"
甘肃,兰州市,江苏中南建设集团股份有限公司,金融 · 其他,金融财经
甘肃,兰州市,京东金融,金融,金融财经
甘肃,兰州市,浙江康健绿线网络技术有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
甘肃,兰州市,南京信通科技有限责任公司,移动互联网 · 教育,"IT技术,生活服务"
甘肃,兰州市,北京东软望海科技有限公司,移动互联网 · 其他,IT技术
甘肃,兰州市,深圳市长亮科技股份有限公司,企业服务,IT技术
甘肃,兰州市,南京联创信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
甘肃,兰州市,四川奥诚科技有限责任公司,信息安全,IT技术
甘肃,兰州市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
甘肃,兰州市,北京快乐时代科技发展有限公司,电子商务 · 金融,"IT技术,金融财经"
甘肃,兰州市,深圳市百利财富信息咨询有限公司,电子商务 · 金融,"IT技术,金融财经"
甘肃,兰州市,青岛多芬诺信息安全技术有限公司,信息安全 · 数据服务,IT技术
甘肃,兰州市,北京联合佳龙科技有限公司,金融 · O2O,"IT技术,金融财经"
