Provience,City,CompanyShortName,IndustryField,Upper class of industry
福建,泉州市,爸妈旅游,旅游,生活服务
福建,泉州市,（福建）优必胜机械工业有限公司,移动互联网 · 电子商务,IT技术
福建,泉州市,福建省讯网网络科技有限公司,移动互联网,IT技术
福建,泉州市,福建省简单信息科技有限公司,社交网络 · O2O,IT技术
福建,泉州市,福建云朗网络科技有限公司,移动互联网,IT技术
福建,泉州市,蓝海（福建）信息科技有限公司,移动互联网 · O2O,IT技术
福建,泉州市,蓝海天扬影视文化（北京）有限公司,广告营销 · 文化娱乐,"金融财经,生活服务"
福建,泉州市,泉州市闽投信息科技有限公司,移动互联网,IT技术
福建,泉州市,福州网络网络信息服务有限公司,移动互联网 · 电子商务,IT技术
福建,泉州市,竞东（厦门）科技有限公司,移动互联网,IT技术
福建,泉州市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
福建,泉州市,厦门易尔通网络科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
福建,泉州市,上海宇信易诚科技有限公司,金融,金融财经
福建,泉州市,福建省微邻网络科技有限公司,移动互联网,IT技术
福建,泉州市,泉州市鲤城区加华电子商务有限公司,电子商务,IT技术
福建,泉州市,广东奥飞动漫文化股份有限公司,文化娱乐,生活服务
福建,泉州市,北京百家互联科技有限公司厦门分公司,O2O · 教育,"IT技术,生活服务"
福建,泉州市,福建海丝路科技有限公司,电子商务,IT技术
福建,泉州市,泉州市八号电子商务有限公司,移动互联网 · O2O,IT技术
福建,泉州市,苏州拉钩网络科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
福建,泉州市,浙江神汽电子商务有限公司,电子商务,IT技术
福建,泉州市,上海红鱼信息技术有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
福建,泉州市,抠抠（福建）电子商务有限公司,移动互联网 · 电子商务,IT技术
福建,泉州市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
福建,泉州市,大云广众（厦门）信息科技有限公司,移动互联网,IT技术
福建,泉州市,上海一起作业信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
福建,泉州市,有为科技,移动互联网 · 企业服务,IT技术
福建,泉州市,上海渊泉集币收藏品有限公司,文化娱乐,生活服务
福建,泉州市,上海掌甄网络科技有限公司,移动互联网 · O2O,IT技术
福建,泉州市,福建省商通电子商务有限公司,电子商务,IT技术
福建,泉州市,杭州洋驼网络科技有限公司,电子商务,IT技术
福建,泉州市,北京蜂巢天下信息技术有限公司,移动互联网 · 电子商务,IT技术
福建,泉州市,深圳市网联天下科技有限公司,移动互联网,IT技术
福建,泉州市,泉州小黑鸡信息科技有限公司,其他,其他
福建,泉州市,泉州华腾信息技术有限公司,移动互联网 · 企业服务,IT技术
福建,泉州市,杭州连横信息技术有限公司泉州分公司,金融 · 企业服务,"IT技术,金融财经"
福建,泉州市,晋江市博思企业管理咨询有限公司,企业服务 · 教育,"IT技术,生活服务"
福建,泉州市,深圳市微莱信息科技有限公司,移动互联网,IT技术
福建,泉州市,晋江市鸿达五金皮具有限公司,文化娱乐 · 企业服务,"IT技术,生活服务"
福建,泉州市,北京易车互动广告有限公司,O2O · 文化娱乐,"IT技术,生活服务"
福建,泉州市,九牧厨卫股份有限公司,硬件,电子制造
