Provience,City,CompanyShortName,IndustryField,Upper class of industry
福建,福州市,福建网龙计算机网络信息技术有限公司,移动互联网 · 教育,"IT技术,生活服务"
福建,福州市,福州市麦芒文化传播有限公司,电子商务,IT技术
福建,福州市,福建字客网络科技有限公司,移动互联网 · 电子商务,IT技术
福建,福州市,上海微创软件股份有限公司北京分公司,移动互联网 · 电子商务,IT技术
福建,福州市,福州哇加信息科技有限公司,移动互联网 · 社交网络,IT技术
福建,福州市,风纹物联（深圳）技术有限公司,移动互联网 · 硬件,"IT技术,电子制造"
福建,福州市,爸妈旅游,旅游,生活服务
福建,福州市,易点生活电子商务有限公司,电子商务 · O2O,IT技术
福建,福州市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
福建,福州市,福建掌微网络科技有限公司,其他,其他
福建,福州市,福建福昕软件开发股份有限公司,移动互联网 · 数据服务,IT技术
福建,福州市,福建点石网络科技有限公司,O2O · 硬件,"IT技术,电子制造"
福建,福州市,重庆猪八戒网络有限公司,电子商务 · 生活服务,"IT技术,生活服务"
福建,福州市,全邑通(福州)信息科技有限公司,移动互联网 · 电子商务,IT技术
福建,福州市,福建星网锐捷通讯股份有限公司,移动互联网 · 硬件,"IT技术,电子制造"
福建,福州市,南京市魔格信息科技有限公司,移动互联网,IT技术
福建,福州市,柯莱特信息技术有限公司（上海）,企业服务 · 其他,IT技术
福建,福州市,福州七二零信息科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
福建,福州市,达疆网络科技（上海）有限公司,O2O,IT技术
福建,福州市,北京金和网络股份有限公司,移动互联网 · 数据服务,IT技术
福建,福州市,广州市金埻网络科技有限公司,医疗健康,生活服务
福建,福州市,北京驰美科技有限公司,教育,生活服务
福建,福州市,北京合力亿捷科技股份有限公司,移动互联网 · 企业服务,IT技术
福建,福州市,福建盛丰物流集团有限公司,其他,其他
福建,福州市,厦门同步网络有限公司,移动互联网,IT技术
福建,福州市,江苏博得网络科技有限公司,游戏,IT技术
福建,福州市,北京题加教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
福建,福州市,福州康为网络技术有限公司,移动互联网,IT技术
福建,福州市,福州闲时间网络科技有限公司,移动互联网 · O2O,IT技术
福建,福州市,福建桔子信息科技有限公司,移动互联网,IT技术
福建,福州市,福州利昂软件有限公司,数据服务,IT技术
福建,福州市,上海柚美信息科技有限公司,金融,金融财经
福建,福州市,福建方维信息科技有限公司,电子商务 · O2O,IT技术
福建,福州市,杏树林信息技术（北京）有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
福建,福州市,北京车位管家科技有限公司,移动互联网 · O2O,IT技术
福建,福州市,广州酷旅旅行社有限公司,电子商务 · 生活服务,"IT技术,生活服务"
福建,福州市,厦门中学西渐信息科技有限公司,移动互联网,IT技术
福建,福州市,福州微猪信息科技有限公司,移动互联网 · 其他,IT技术
福建,福州市,蓝房网,移动互联网 · 电子商务,IT技术
福建,福州市,福建升腾资讯有限公司,移动互联网 · 电子商务,IT技术
福建,福州市,福建中海创集团有限公司,其他,其他
福建,福州市,福州力和致远通信技术有限公司,教育 · 数据服务,"IT技术,生活服务"
福建,福州市,福州微立方网络科技有限公司,移动互联网,IT技术
福建,福州市,爱巴士（福州）网络有限公司,生活服务 · 数据服务,"IT技术,生活服务"
福建,福州市,福州润壹信息科技有限公司,移动互联网,IT技术
福建,福州市,福州市羁绊网络传媒有限公司,移动互联网 · 电子商务,IT技术
福建,福州市,北京智齿博创科技有限公司,企业服务 · 数据服务,IT技术
福建,福州市,福建米乐网络科技有限公司,移动互联网 · 数据服务,IT技术
福建,福州市,微鲜农业科技发展有限公司,移动互联网 · 电子商务,IT技术
福建,福州市,深圳大森林国际货运代理有限公司,其他,其他
福建,福州市,福建昊晟软件科技有限公司,教育 · 移动互联网,"IT技术,生活服务"
福建,福州市,广州市光大软件技术有限公司,教育,生活服务
福建,福州市,福州车友软件科技有限公司,移动互联网 · O2O,IT技术
福建,福州市,天行（上海）网络科技有限公司,移动互联网 · 游戏,IT技术
福建,福州市,杭州幺二幺七信息技术有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
福建,福州市,北京亚信数据有限公司,企业服务 · 数据服务,IT技术
福建,福州市,杭州百航信息技术有限公司,移动互联网 · 金融,"IT技术,金融财经"
福建,福州市,福州岂微网络科技有限公司,移动互联网 · 游戏,IT技术
福建,福州市,福州惟实信息科技有限公司,移动互联网 · 企业服务,IT技术
福建,福州市,福建联迪商用设备有限公司,移动互联网 · 硬件,"IT技术,电子制造"
福建,福州市,广东酷配电子商务有限公司,电子商务,IT技术
福建,福州市,福州星服信息技术有限公司,移动互联网 · O2O,IT技术
福建,福州市,福建明锐网络科技有限公司,电子商务,IT技术
福建,福州市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
福建,福州市,北京士惠农业发展有限公司,电子商务 · O2O,IT技术
福建,福州市,北京糯米网科技发展有限公司,O2O,IT技术
福建,福州市,北京畅游时空软件技术有限公司,游戏 · 文化娱乐,"IT技术,生活服务"
福建,福州市,北京3W孵化器管理有限公司,移动互联网 · 企业服务,IT技术
福建,福州市,福建华闽通达信息技术有限公司,移动互联网,IT技术
福建,福州市,中信网络科技股份有限公司,金融,金融财经
福建,福州市,福州发现美网络科技有限公司,O2O,IT技术
福建,福州市,福建票付通信息科技有限公司,电子商务 · 生活服务,"IT技术,生活服务"
福建,福州市,福建创寓信息科技有限公司,移动互联网 · 数据服务,IT技术
福建,福州市,深圳荷包金融信息咨询有限公司,金融,金融财经
福建,福州市,58到家,移动互联网 · O2O,IT技术
福建,福州市,北京三大不六科技有限公司,移动互联网 · 电子商务,IT技术
福建,福州市,深圳进化动力数码科技有限公司,移动互联网,IT技术
福建,福州市,广州市巴图鲁信息科技有限公司,电子商务,IT技术
福建,福州市,福州剑讯网络科技有限公司,电子商务,IT技术
福建,福州市,福州盈展信息技术有限公司,移动互联网 · 企业服务,IT技术
福建,福州市,北京星网锐捷网络技术有限公司,移动互联网 · 硬件,"IT技术,电子制造"
福建,福州市,福建新锐盈网络科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
福建,福州市,福建喜相逢汽车服务股份有限公司,电子商务 · 其他,IT技术
福建,福州市,福州掌易信息科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
福建,福州市,福州网络网络信息服务有限公司,移动互联网 · 电子商务,IT技术
福建,福州市,广州中软信息技术有限公司,数据服务 · 硬件,"IT技术,电子制造"
福建,福州市,北京万里红科技股份有限公司,移动互联网,IT技术
福建,福州市,福州福大海矽微电子有限公司,硬件,电子制造
福建,福州市,江苏实达迪美数据处理有限公司,数据服务,IT技术
福建,福州市,福州白鲸网络科技有限公司,移动互联网,IT技术
福建,福州市,深圳法大大网络科技有限公司,O2O,IT技术
福建,福州市,福州华闽易家网络科技有限公司,移动互联网 · O2O,IT技术
福建,福州市,福州西米网络科技有限公司,移动互联网 · O2O,IT技术
福建,福州市,武汉天喻教育科技有限公司,移动互联网,IT技术
福建,福州市,福州海景科技开发有限公司,数据服务 · 硬件,"IT技术,电子制造"
福建,福州市,努比亚技术有限公司,移动互联网 · 硬件,"IT技术,电子制造"
福建,福州市,杭州弧途科技有限公司,移动互联网 · 招聘,"IT技术,生活服务"
福建,福州市,北京盛安德科技发展有限公司,移动互联网 · 企业服务,IT技术
福建,福州市,福建创意嘉和软件有限公司,游戏,IT技术
福建,福州市,福建新大陆支付技术有限公司,移动互联网,IT技术
福建,福州市,大成方略纳税人俱乐部股份有限公司,企业服务,IT技术
福建,福州市,北京百家互联科技有限公司福州分公司,O2O · 教育,"IT技术,生活服务"
福建,福州市,福建福容软件技术有限公司,移动互联网,IT技术
福建,福州市,西岸传媒股份有限公司,电子商务 · 广告营销,"IT技术,金融财经"
福建,福州市,上海万企明道软件有限公司,移动互联网 · 企业服务,IT技术
福建,福州市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
福建,福州市,永辉超市股份有限公司,电子商务 · O2O,IT技术
福建,福州市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
福建,福州市,北京一路热点信息技术有限公司,移动互联网,IT技术
福建,福州市,北京思特奇信息技术股份有限公司广东分支,数据服务,IT技术
福建,福州市,上海宇信易诚科技有限公司,金融,金融财经
福建,福州市,深圳尺子科技有限公司,移动互联网 · 电子商务,IT技术
福建,福州市,深圳爱加密科技有限公司,移动互联网,IT技术
福建,福州市,百视通新媒体股份有限公司,文化娱乐,生活服务
福建,福州市,宜兴大师兄科技有限公司,移动互联网 · O2O,IT技术
福建,福州市,福州市互联加网络科技有限公司,移动互联网 · O2O,IT技术
福建,福州市,福建星保影视文化传播有限公司,广告营销 · 文化娱乐,"金融财经,生活服务"
福建,福州市,广州南盾通讯设备有限公司,移动互联网 · 其他,IT技术
福建,福州市,福建纵横天下网络科技有限公司,移动互联网 · 电子商务,IT技术
福建,福州市,万达信息股份有限公司,移动互联网 · 数据服务,IT技术
福建,福州市,福州东西电子商务有限公司,移动互联网 · 电子商务,IT技术
福建,福州市,福州市鼓楼区我主良缘婚姻服务有限公司,生活服务,生活服务
福建,福州市,福建纵腾网络技术有限公司,电子商务,IT技术
福建,福州市,深圳市金证科技股份有限公司,金融,金融财经
福建,福州市,福建省莆田市双驰智能信息技术有限公司,移动互联网 · 电子商务,IT技术
福建,福州市,广东奥飞动漫文化股份有限公司,文化娱乐,生活服务
福建,福州市,广州光大教育软件科技股份有限公司,移动互联网 · 教育,"IT技术,生活服务"
福建,福州市,飞鱼科技国际有限公司,游戏,IT技术
福建,福州市,天津易盛信息技术有限公司福州分公司,移动互联网 · 电子商务,IT技术
福建,福州市,福州靠谱网络有限公司,移动互联网,IT技术
福建,福州市,福建恒科教育科技发展有限公司,教育 · 生活服务,生活服务
福建,福州市,福州天铭网络科技有限公司,移动互联网,IT技术
福建,福州市,智慧神州（福建）信息技术有限公司,移动互联网 · 数据服务,IT技术
福建,福州市,福州市鼓楼区微点商务信息咨询有限公司,移动互联网 · O2O,IT技术
福建,福州市,北京网讯安卓技术有限公司,移动互联网,IT技术
福建,福州市,福建一定火网络科技有限公司,移动互联网 · O2O,IT技术
福建,福州市,福建源泉信息科技有限公司,移动互联网 · O2O,IT技术
福建,福州市,福建省德鲁克企业管理有限公司,移动互联网 · 企业服务,IT技术
福建,福州市,福州一兜网络科技有限公司,移动互联网,IT技术
福建,福州市,福州翼游软件有限公司,数据服务,IT技术
福建,福州市,福建大馅饼网络科技有限公司,移动互联网 · 电子商务,IT技术
福建,福州市,北京优锘科技有限公司,移动互联网 · 企业服务,IT技术
福建,福州市,新游互联（福州）信息科技有限公司,移动互联网 · 分类信息,IT技术
福建,福州市,深圳市深山进行老林企业管理咨询有限公司,移动互联网 · O2O,IT技术
福建,福州市,宝宝巴士（福建）网络科技有限公司,移动互联网,IT技术
