Provience,City,CompanyShortName,IndustryField,Upper class of industry
福建,三明市,上海齐家网信息科技股份有限公司,O2O  · 生活服务,"IT技术,生活服务"
福建,三明市,上海泛微网络科技股份有限公司杭州分公司,移动互联网 · 企业服务,IT技术
福建,三明市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
福建,三明市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
福建,南平市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
福建,南平市,深圳卡利亚珠宝有限公司,电子商务 · 生活服务,"IT技术,生活服务"
福建,南平市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
福建,厦门市,厦门大黑科技有限公司,游戏,IT技术
福建,厦门市,蝉蝉网络科技（北京）有限公司,移动互联网 · 企业服务,IT技术
福建,厦门市,广州宝账会计服务有限公司,金融,金融财经
福建,厦门市,厦门市云客网络科技有限公司,移动互联网 · 电子商务,IT技术
福建,厦门市,厦门拓客网络科技有限公司,移动互联网,IT技术
福建,厦门市,厦门信弈网络科技有限公司,移动互联网 · 旅游,"IT技术,生活服务"
福建,厦门市,名格创想（厦门）网络科技有限公司,移动互联网 · 电子商务,IT技术
福建,厦门市,厦门爱妃子网络科技有限公司,移动互联网 · 社交网络,IT技术
福建,厦门市,厦门纳网科技股份有限公司,移动互联网 · O2O,IT技术
福建,厦门市,厦门纳网科技有限公司,移动互联网 · O2O,IT技术
福建,厦门市,厦门市润铭电子科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
福建,厦门市,厦门锐特信息技术有限公司,移动互联网,IT技术
福建,厦门市,厦门华资源科技有限公司,移动互联网 · 企业服务,IT技术
福建,厦门市,厦门速煜信息技术有限公司,移动互联网,IT技术
福建,厦门市,厦门亿联网络技术股份有限公司,移动互联网,IT技术
福建,厦门市,深圳市分期乐网络科技有限公司,移动互联网,IT技术
福建,厦门市,成都番茄来了科技有限公司,电子商务 · 旅游,"IT技术,生活服务"
福建,厦门市,名鞋库网络科技有限公司,电子商务,IT技术
福建,厦门市,厦门思麦网络科技有限公司,移动互联网 · O2O,IT技术
福建,厦门市,飞虎（厦门）聚氨酯制品有限公司,招聘,生活服务
福建,厦门市,厦门松霖科技有限公司,其他,其他
福建,厦门市,厦门迅睿网络科技有限公司,移动互联网,IT技术
福建,厦门市,厦门趣奇信息科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
福建,厦门市,易点生活电子商务有限公司,电子商务 · O2O,IT技术
福建,厦门市,厦门市建筑科学研究院集团股份有限公司,其他,其他
福建,厦门市,厦门烽火文广科技有限公司,移动互联网 · 数据服务,IT技术
福建,厦门市,厦门风变科技有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
福建,厦门市,产业互联（厦门）科技有限公司,电子商务 · 文化娱乐,"IT技术,生活服务"
福建,厦门市,厦门必硕信息科技有限公司,移动互联网,IT技术
福建,厦门市,厦门美图之家科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
福建,厦门市,厦门茶人岭电子商务有限公司,电子商务 · 其他,IT技术
福建,厦门市,厦门美柚信息科技有限公司,移动互联网,IT技术
福建,厦门市,汉海信息技术（上海）有限公司,电子商务 · O2O,IT技术
福建,厦门市,厦门袋鼠家信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
福建,厦门市,大成方略纳税人俱乐部股份有限公司,企业服务,IT技术
福建,厦门市,厦门创定网络科技有限公司,移动互联网 · 电子商务,IT技术
福建,厦门市,海南天涯社区网络科技股份有限公司,移动互联网 · 社交网络,IT技术
福建,厦门市,厦门寰联网络科技有限公司,电子商务 · 旅游,"IT技术,生活服务"
