Provience,City,CompanyShortName,IndustryField,Upper class of industry
贵州,六盘水市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
贵州,安顺市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
贵州,毕节市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
贵州,贵阳市,北京兴财信息技术开发公司,移动互联网 · 数据服务,IT技术
贵州,贵阳市,北京云学时代科技有限公司,移动互联网,IT技术
贵州,贵阳市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
贵州,贵阳市,深圳市博安达信息技术股份有限公司,移动互联网,IT技术
贵州,贵阳市,海南天涯社区网络科技股份有限公司,移动互联网 · 社交网络,IT技术
贵州,贵阳市,北京合力中税科技发展有限公司,移动互联网,IT技术
贵州,贵阳市,郑州信大捷安信息技术股份有限公司,移动互联网 · 信息安全,IT技术
贵州,贵阳市,广东三盟信息科技有限公司,移动互联网 · 数据服务,IT技术
贵州,贵阳市,贵州鑫普惠电子商务有限公司,金融,金融财经
贵州,贵阳市,贵州黔易游商务有限公司,电子商务 · 旅游,"IT技术,生活服务"
贵州,贵阳市,深圳市圣贤御品堂实业有限公司,移动互联网 · 社交网络,IT技术
贵州,贵阳市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
贵州,贵阳市,贵阳互联网保险金融投资有限公司,金融,金融财经
贵州,贵阳市,陕西西部资信有限公司,移动互联网 · 企业服务,IT技术
贵州,贵阳市,贵州晟邦科技发展有限责任公司,电子商务 · 生活服务,"IT技术,生活服务"
贵州,贵阳市,广东酷配电子商务有限公司,电子商务,IT技术
贵州,贵阳市,贵州宏思锐达科技有限公司,移动互联网 · 电子商务,IT技术
贵州,贵阳市,深圳前海用友力合金融服务有限公司,金融,金融财经
贵州,贵阳市,硅谷（中国）发展有限公司,移动互联网,IT技术
贵州,贵阳市,深圳清大协力科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
贵州,贵阳市,上海信而富企业管理有限公司贵阳分公司,电子商务 · 金融,"IT技术,金融财经"
贵州,贵阳市,广东道一信息技术股份有限公司,移动互联网 · 电子商务,IT技术
贵州,贵阳市,广东动易软件股份有限公司,移动互联网,IT技术
贵州,贵阳市,博康智能网络科技股份有限公司,移动互联网 · 信息安全,IT技术
贵州,贵阳市,厦门三快在线科技有限公司,移动互联网 · O2O,IT技术
贵州,贵阳市,深圳市掌世界网络科技有限公司,移动互联网,IT技术
贵州,贵阳市,上海随印信息科技有限公司,移动互联网 · 社交网络,IT技术
贵州,贵阳市,贵州梦动科技有限公司,移动互联网 · 电子商务,IT技术
贵州,贵阳市,四川奥诚科技有限责任公司,信息安全,IT技术
贵州,贵阳市,贵州格安科技有限公司广州分公司,数据服务,IT技术
贵州,贵阳市,大成方略纳税人俱乐部股份有限公司,企业服务,IT技术
贵州,贵阳市,上海狂龙数字科技有限公司,硬件 · 其他,电子制造
贵州,贵阳市,浙江扑咚计算机科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
贵州,贵阳市,上海融拓信息科技有限公司,数据服务 · 金融,"IT技术,金融财经"
贵州,贵阳市,贵州九维科技有限公司,移动互联网,IT技术
贵州,贵阳市,贵州时间线信息技术有限公司,社交网络 · 生活服务,"IT技术,生活服务"
贵州,贵阳市,贵州朗盛科技股份有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
贵州,贵阳市,贵州中小乾信金融信息服务有限公司,移动互联网,IT技术
贵州,贵阳市,北京直信创邺数码科技有限公司,企业服务 · 硬件,"IT技术,电子制造"
贵州,贵阳市,成都兼职地带信息技术有限公司,招聘,生活服务
贵州,贵阳市,贵州贵人善行科技有限公司,移动互联网 · 其他,IT技术
贵州,贵阳市,同方鼎欣信息技术有限公司,移动互联网,IT技术
贵州,贵阳市,越亮传奇科技股份有限公司,移动互联网,IT技术
贵州,贵阳市,成都东软系统集成有限公司,移动互联网,IT技术
贵州,贵阳市,贵阳朗玛信息技术股份有限公司,移动互联网,IT技术
贵州,贵阳市,上海欢校信息科技有限公司,电子商务,IT技术
贵州,贵阳市,北京拓尔思信息技术股份有限公司,数据服务,IT技术
贵州,贵阳市,北京信者科技有限公司,移动互联网 · 企业服务,IT技术
贵州,贵阳市,上海易鲸捷信息技术有限公司,企业服务,IT技术
贵州,贵阳市,北京百家互联科技有限公司贵阳分公司,O2O · 教育,"IT技术,生活服务"
贵州,贵阳市,成都优步信息技术有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
贵州,贵阳市,河北中科恒运软件科技股份有限公司,移动互联网 · 数据服务,IT技术
贵州,贵阳市,广州天橙广告有限公司,其他,其他
贵州,贵阳市,西安村游网络技术有限公司,旅游,生活服务
贵州,贵阳市,广州中软信息技术有限公司,数据服务 · 硬件,"IT技术,电子制造"
贵州,贵阳市,上海巨灵信息技术股份有限公司,企业服务 · 其他,IT技术
贵州,贵阳市,上海一嗨汽车租赁有限公司,电子商务,IT技术
贵州,贵阳市,西部红果煤炭交易有限公司,移动互联网 · 电子商务,IT技术
贵州,贵阳市,山景科创网络技术(北京)有限公司,移动互联网 · 分类信息,IT技术
贵州,贵阳市,亨达科技集团股份有限公司,信息安全,IT技术
贵州,贵阳市,北京永卓利商务咨询有限公司,移动互联网 · 数据服务,IT技术
贵州,贵阳市,新开普电子股份有限公司,移动互联网,IT技术
贵州,贵阳市,西安习悦信息技术有限公司,移动互联网 · 教育,"IT技术,生活服务"
贵州,贵阳市,北京安码科技有限公司,信息安全,IT技术
贵州,贵阳市,广州光大教育软件科技股份有限公司,移动互联网 · 教育,"IT技术,生活服务"
贵州,贵阳市,福建四创软件有限公司,生活服务 · 分类信息,"IT技术,生活服务"
贵州,贵阳市,广州酷旅旅行社有限公司,电子商务 · 生活服务,"IT技术,生活服务"
贵州,贵阳市,贵阳车魔方科技有限公司,移动互联网 · O2O,IT技术
贵州,贵阳市,贵州拼的科技有限公司,O2O,IT技术
贵州,贵阳市,武汉天喻教育科技有限公司,移动互联网,IT技术
贵州,贵阳市,贵州微联盟信息科技有限公司,移动互联网 · O2O,IT技术
贵州,贵阳市,成都康赛信息技术有限公司,教育 · 数据服务,"IT技术,生活服务"
贵州,贵阳市,深圳市霸图商务有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
贵州,贵阳市,贵州汉泰投资有限公司,电子商务 · O2O,IT技术
贵州,贵阳市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
贵州,贵阳市,北京中科恒业科技有限公司,医疗健康,生活服务
贵州,贵阳市,贵州合石电子商务有限公司,电子商务 · 金融,"IT技术,金融财经"
贵州,贵阳市,柯莱特信息技术有限公司（上海）,企业服务 · 其他,IT技术
贵州,贵阳市,广州云宏信息科技股份有限公司,其他,其他
贵州,贵阳市,北京合力亿捷科技股份有限公司,移动互联网 · 企业服务,IT技术
贵州,贵阳市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
贵州,贵阳市,广东恒峰信息技术有限公司,移动互联网 · 硬件,"IT技术,电子制造"
贵州,贵阳市,上海优向网络科技有限公司,移动互联网,IT技术
贵州,贵阳市,贵州都市金服网络有限公司,移动互联网 · 金融,"IT技术,金融财经"
贵州,贵阳市,贵州国信通电子商务有限公司,金融,金融财经
贵州,贵阳市,贵阳若云科技有限公司,移动互联网 · 电子商务,IT技术
贵州,贵阳市,广州市品高软件开发有限公司,移动互联网 · 企业服务,IT技术
贵州,贵阳市,北京爱车科技有限公司,移动互联网 · 电子商务,IT技术
贵州,贵阳市,高伟达软件股份有限公司,移动互联网,IT技术
贵州,贵阳市,微动代驾,电子商务 · 生活服务,"IT技术,生活服务"
贵州,贵阳市,成都文思海辉技术有限公司,移动互联网 · 电子商务,IT技术
贵州,贵阳市,苏州医云健康管理有限公司,医疗健康,生活服务
贵州,贵阳市,泰德网聚(北京)科技有限公司,移动互联网,IT技术
贵州,贵阳市,贵州黔易贷电子商务有限公司,电子商务 · 金融,"IT技术,金融财经"
贵州,贵阳市,贵州中科汉天下信息技术有限公司,移动互联网,IT技术
贵州,贵阳市,深圳市彩讯科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
贵州,贵阳市,贵州道坦坦科技股份有限公司,移动互联网 · 硬件,"IT技术,电子制造"
贵州,贵阳市,贵州贵农网络科技有限公司,电子商务,IT技术
贵州,贵阳市,上海眯客信息技术有限公司,移动互联网 · O2O,IT技术
贵州,贵阳市,苏州金螳螂建筑装饰股份有限公司,O2O,IT技术
贵州,贵阳市,方欣科技有限公司,移动互联网,IT技术
贵州,贵阳市,播思通讯技术(北京)有限公司,移动互联网 · 数据服务,IT技术
贵州,贵阳市,上海瑞金生物科技有限公司,其他 · 医疗健康,生活服务
贵州,贵阳市,珠海横琴翼迅科技有限公司,移动互联网 · O2O,IT技术
贵州,贵阳市,深圳四方精创资讯股份有限公司,企业服务 · 金融,"IT技术,金融财经"
贵州,贵阳市,贵州铜仁高新技术产业开发区管理委员会,招聘,生活服务
贵州,贵阳市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
贵州,贵阳市,厦门集时通讯有限公司,移动互联网 · 其他,IT技术
贵州,贵阳市,北京市蜜蜂汇金科技有限公司,金融,金融财经
贵州,贵阳市,贵州点创云易科技有限公司,移动互联网 · O2O,IT技术
贵州,贵阳市,贵州融创信息技术有限公司,移动互联网 · 游戏,IT技术
贵州,贵阳市,安图特（北京）科技有限公司,硬件,电子制造
贵州,遵义市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
贵州,遵义市,青岛信创信息科技有限公司,电子商务,IT技术
贵州,遵义市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
贵州,黔东南苗族侗族自治州,深圳市壹捌无线科技有限公司,移动互联网,IT技术
贵州,黔南布依族苗族自治州,深圳市壹捌无线科技有限公司,移动互联网,IT技术
