Provience,City,CompanyShortName,IndustryField,Upper class of industry
辽宁,沈阳市,通赢天下（天津）网络科技有限公司,电子商务,IT技术
辽宁,沈阳市,北京盒子鱼教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
辽宁,沈阳市,沈阳森通广告传媒有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
辽宁,沈阳市,北京合力中税科技发展有限公司,移动互联网,IT技术
辽宁,沈阳市,沈阳房小二信息科技有限公司,文化娱乐,生活服务
辽宁,沈阳市,北京塞瑞斯科技有限公司,移动互联网 · O2O,IT技术
辽宁,沈阳市,郑州信大捷安信息技术股份有限公司,移动互联网 · 信息安全,IT技术
辽宁,沈阳市,东软集团,金融,金融财经
辽宁,沈阳市,北京四维图新科技股份有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
辽宁,沈阳市,南京帆软软件有限公司,数据服务,IT技术
辽宁,沈阳市,北京和勤联创技术有限公司,移动互联网,IT技术
辽宁,沈阳市,东软集团股份有限公司,数据服务 · 广告营销,"IT技术,金融财经"
辽宁,沈阳市,东网科技有限公司,数据服务,IT技术
辽宁,沈阳市,同心医联科技(北京)有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
辽宁,沈阳市,大成方略纳税人俱乐部股份有限公司,企业服务,IT技术
辽宁,沈阳市,佛山市顺德区碧桂园物业发展有限公司,O2O · 其他,IT技术
辽宁,沈阳市,欢动（北京）科技有限公司,游戏,IT技术
辽宁,沈阳市,天津五八到家生活服务有限公司,O2O · 生活服务,"IT技术,生活服务"
辽宁,沈阳市,北京开科唯识技术有限公司,金融,金融财经
辽宁,沈阳市,沈阳迅云网络科技有限公司,移动互联网 · O2O,IT技术
辽宁,沈阳市,杭州网兰科技有限公司,移动互联网 · O2O,IT技术
辽宁,沈阳市,北大医疗信息技术有限公司,医疗健康,生活服务
辽宁,沈阳市,杏树林信息技术（北京）有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
辽宁,沈阳市,重庆猪八戒网络有限公司,企业服务 · 电子商务,IT技术
辽宁,沈阳市,沈阳小数科技有限公司,移动互联网 · O2O,IT技术
辽宁,沈阳市,微展世（北京）数字科技有限公司,移动互联网 · 其他,IT技术
辽宁,沈阳市,北京世诚优聘科技发展有限公司,移动互联网 · O2O,IT技术
辽宁,沈阳市,深圳市华傲数据技术有限公司,数据服务,IT技术
辽宁,沈阳市,北京谨豪科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
辽宁,沈阳市,北京东软慧聚信息技术股份有限公司,移动互联网 · 企业服务,IT技术
辽宁,沈阳市,深圳市北纬三十一度科技有限公司,移动互联网,IT技术
辽宁,沈阳市,杭州天丽科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
辽宁,沈阳市,上海科匠信息科技有限公司,移动互联网,IT技术
辽宁,沈阳市,美团网,移动互联网 · O2O,IT技术
辽宁,沈阳市,湖南省创发科技有限责任公司,移动互联网 · 电子商务,IT技术
辽宁,沈阳市,蚂蚁动力（北京）软件技术开发有限公司沈阳分公司,移动互联网,IT技术
辽宁,沈阳市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
辽宁,沈阳市,北京融智兴华科技有限公司,硬件 · 文化娱乐,"电子制造,生活服务"
辽宁,沈阳市,沈阳子介传媒有限公司,O2O,IT技术
辽宁,沈阳市,大连龙采正元信息技术有限公司,移动互联网,IT技术
辽宁,沈阳市,沈阳畅游宝科技有限公司,移动互联网 · 旅游,"IT技术,生活服务"
辽宁,沈阳市,广东网间互联科技有限公司,移动互联网,IT技术
辽宁,沈阳市,客如云科技（北京）股份有限公司沈阳分公司,移动互联网,IT技术
辽宁,沈阳市,北京一猫汽车科技有限公司,电子商务 · O2O,IT技术
辽宁,沈阳市,东软熙康健康科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
辽宁,沈阳市,沈阳美行科技有限公司,移动互联网,IT技术
辽宁,沈阳市,搜狐媒体,移动互联网 · 广告营销,"IT技术,金融财经"
辽宁,沈阳市,北京合力亿捷科技股份有限公司,移动互联网 · 企业服务,IT技术
辽宁,沈阳市,沈阳网之商科技有限公司,电子商务 · 企业服务,IT技术
辽宁,沈阳市,三好在线传媒有限公司,企业服务 · 广告营销,"IT技术,金融财经"
辽宁,沈阳市,杭州溢点信息技术有限公司,移动互联网 · O2O,IT技术
辽宁,沈阳市,武汉天喻教育科技有限公司,移动互联网,IT技术
辽宁,沈阳市,辽宁天之传媒有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
辽宁,沈阳市,数创信息技术(上海)有限公司,移动互联网 · O2O,IT技术
辽宁,沈阳市,北京盛安德科技发展有限公司,移动互联网 · 企业服务,IT技术
