Provience,City,CompanyShortName,IndustryField,Upper class of industry
重庆,重庆,重庆迈可丽儿母婴用品跨境电子商务有限公司,移动互联网 · 电子商务,IT技术
重庆,重庆,重庆润萌科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
重庆,重庆,北京蛋黄科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
重庆,重庆,重庆嗨馒头网络科技有限公司,移动互联网 · O2O,IT技术
重庆,重庆,天津大海云科技有限公司,数据服务 · 企业服务,IT技术
重庆,重庆,深圳市喂车科技有限公司,移动互联网 · O2O,IT技术
重庆,重庆,马上消费金融股份有限公司,移动互联网 · 金融,"IT技术,金融财经"
重庆,重庆,重庆食联购电子商务有限公司,移动互联网 · 电子商务,IT技术
重庆,重庆,重庆拓诊信息技术有限公司,移动互联网 · 数据服务,IT技术
重庆,重庆,重庆途尔文化传播有限公司,移动互联网 · 旅游,"IT技术,生活服务"
重庆,重庆,成都番茄来了科技有限公司,电子商务 · 旅游,"IT技术,生活服务"
重庆,重庆,善林（上海）金融信息服务有限公司,金融,金融财经
重庆,重庆,重庆边缘人网络科技有限公司,移动互联网 · 企业服务,IT技术
重庆,重庆,广州保易信息科技有限公司,移动互联网,IT技术
重庆,重庆,重庆市热岛科技有限公司,移动互联网 · 游戏,IT技术
重庆,重庆,重庆新诺迪餐饮管理有限责任公司,生活服务,生活服务
重庆,重庆,融特通信技术有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
重庆,重庆,重庆鸿巨网络科技有限公司,移动互联网 · 电子商务,IT技术
重庆,重庆,西部航空有限责任公司,电子商务,IT技术
重庆,重庆,imo易睦网络科技有限公司,移动互联网,IT技术
重庆,重庆,正益无线（北京）科技有限公司,移动互联网,IT技术
重庆,重庆,重庆云途交通科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
重庆,重庆,武汉默联股份有限公司,移动互联网,IT技术
重庆,重庆,上海屹通信息科技发展有限公司,金融,金融财经
重庆,重庆,金蝶软件（中国）有限公司重庆分公司,移动互联网 · 数据服务,IT技术
重庆,重庆,宝驾（北京）信息技术有限公司重庆分公司,电子商务,IT技术
重庆,重庆,重庆猪八戒网络有限公司,电子商务 · 生活服务,"IT技术,生活服务"
重庆,重庆,成都乐育信息技术有限公司重庆分公司,移动互联网 · 电子商务,IT技术
重庆,重庆,成都乐育信息技术有限公司,电子商务,IT技术
重庆,重庆,上海喔噻互联网科技有限公司,移动互联网,IT技术
重庆,重庆,上海汇而通国际物流有限公司,O2O,IT技术
重庆,重庆,重庆蓝海基业信息技术有限公司,移动互联网 · O2O,IT技术
重庆,重庆,重庆跑巢信息技术有限公司,移动互联网 · O2O,IT技术
重庆,重庆,重庆卓飞科技有限公司,移动互联网 · O2O,IT技术
重庆,重庆,北京微智全景信息技术有限公司,移动互联网  · O2O,IT技术
重庆,重庆,重庆凡旅网络科技有限公司,移动互联网,IT技术
重庆,重庆,北京美餐巧达科技有限公司,电子商务,IT技术
重庆,重庆,淮安爱赢互通科技有限公司重庆分公司,移动互联网 · 广告营销,"IT技术,金融财经"
重庆,重庆,新开普电子股份有限公司,移动互联网,IT技术
重庆,重庆,重庆英莱斯顿电子商务有限公司,电子商务,IT技术
重庆,重庆,客如云科技（北京）股份有限公司,移动互联网 · O2O,IT技术
重庆,重庆,重庆美天科技有限公司,移动互联网,IT技术
重庆,重庆,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
重庆,重庆,时代乐创信息技术（北京）有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
重庆,重庆,卓望信息技术（北京）有限公司,移动互联网,IT技术
重庆,重庆,上海房友宝商务咨询有限公司,移动互联网,IT技术
重庆,重庆,北京蜂巢天下信息技术有限公司,移动互联网 · 电子商务,IT技术
重庆,重庆,重庆固成科技有限公司,移动互联网 · 游戏,IT技术
重庆,重庆,苏州品吉家具有限责任公司,电子商务,IT技术
重庆,重庆,重庆水石网络科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
重庆,重庆,重庆铂睿科技有限公司,文化娱乐 · 游戏,"IT技术,生活服务"
重庆,重庆,重庆小闲在线科技有限公司,移动互联网 · 游戏,IT技术
重庆,重庆,柯莱特信息技术有限公司（上海）,企业服务 · 其他,IT技术
重庆,重庆,重庆凯闻思健康科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
重庆,重庆,上海金眼睛信息技术有限公司,移动互联网 · 电子商务,IT技术
重庆,重庆,重庆高戈互动营销有限责任公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
重庆,重庆,成都购途信息技术有限公司,电子商务 · O2O,IT技术
重庆,重庆,北京游中互娱信息科技有限公司,游戏 · 广告营销,"IT技术,金融财经"
重庆,重庆,北京路玺优讯科技有限公司,移动互联网 · 旅游,"IT技术,生活服务"
重庆,重庆,深圳仙歌信息系统有限公司,电子商务,IT技术
重庆,重庆,重庆市育苗网科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
重庆,重庆,杭州弧途科技有限公司,移动互联网 · 招聘,"IT技术,生活服务"
重庆,重庆,重庆上致贤科技有限公司,电子商务 · 企业服务,IT技术
重庆,重庆,重庆五明文化传播有限责任公司,广告营销 · 其他,金融财经
重庆,重庆,重庆优启科技有限公司,移动互联网 · 电子商务,IT技术
重庆,重庆,重庆勤鸟圈科技有限公司,移动互联网 · O2O,IT技术
重庆,重庆,深圳市吉祥腾达科技有限公司,移动互联网 · 分类信息,IT技术
重庆,重庆,天王星有限公司,电子商务 · O2O,IT技术
重庆,重庆,重庆市爱好者商业有限责任公司,电子商务,IT技术
重庆,重庆,重庆爱持家网络科技有限公司,电子商务 · O2O,IT技术
重庆,重庆,重庆代码纪元科技有限公司,移动互联网 · 社交网络,IT技术
重庆,重庆,重庆海外旅业（旅行社）集团有限公司,旅游,生活服务
重庆,重庆,北京购阿购技术服务有限公司,移动互联网 · O2O,IT技术
重庆,重庆,重庆星游传媒有限公司,移动互联网,IT技术
重庆,重庆,重庆隽远数字科技有限公司,电子商务 · 数据服务,IT技术
