Provience,City,CompanyShortName,IndustryField,Upper class of industry
陕西,西安市,陕西典匠网络科技有限公司,电子商务,IT技术
陕西,西安市,陕西美城互联网络科技有限公司,电子商务,IT技术
陕西,西安市,西安首布网络科技有限公司,移动互联网,IT技术
陕西,西安市,西安百屏诺恒信息技术有限公司,移动互联网,IT技术
陕西,西安市,西安有无互动网络科技有限公司,移动互联网 · 企业服务,IT技术
陕西,西安市,深圳市企鹅网络科技有限公司,移动互联网,IT技术
陕西,西安市,陕西今日网络信息科技有限公司,教育,生活服务
陕西,西安市,西安习悦信息技术有限公司,移动互联网 · 教育,"IT技术,生活服务"
陕西,西安市,北科维拓科技股份有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
陕西,西安市,上海麦致信息技术有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
陕西,西安市,厦门锐特信息技术有限公司,移动互联网,IT技术
陕西,西安市,西安赛斐软件科技有限公司,企业服务 · 分类信息,IT技术
陕西,西安市,陕西华商互联文化传播有限公司,移动互联网,IT技术
陕西,西安市,深圳市易流科技有限公司,移动互联网,IT技术
陕西,西安市,极限在线（昆山）网络技术有限公司,电子商务 · 招聘,"IT技术,生活服务"
陕西,西安市,深圳市分期乐网络科技有限公司,移动互联网,IT技术
陕西,西安市,西安云网信息技术有限公司,企业服务 · 广告营销,"IT技术,金融财经"
陕西,西安市,河南威尔克姆信息科技股份有限公司,移动互联网 · 电子商务,IT技术
陕西,西安市,西安魔得广告文化传播有限公司,移动互联网,IT技术
陕西,西安市,成都番茄来了科技有限公司,电子商务 · 旅游,"IT技术,生活服务"
陕西,西安市,北京博远皓成国际旅行社有限公司,企业服务 · 旅游,"IT技术,生活服务"
陕西,西安市,北京建飞无限科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
陕西,西安市,广州保易信息科技有限公司,移动互联网,IT技术
陕西,西安市,深圳市路通网络技术有限公司,移动互联网 · 游戏,IT技术
陕西,西安市,陕西德度信息科技有限公司,移动互联网 · 数据服务,IT技术
陕西,西安市,陕西优百信息技术有限公司,移动互联网 · 数据服务,IT技术
陕西,西安市,北京思源科安信息技术有限公司,信息安全 · 硬件,"IT技术,电子制造"
陕西,西安市,陕西筑盟电子商务有限公司,电子商务,IT技术
陕西,西安市,北京德丰汇智信息科技有限公司,移动互联网,IT技术
陕西,西安市,西安瑜乐软件科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
陕西,西安市,西安新拓三维光测科技有限公司,硬件 · 数据服务,"IT技术,电子制造"
陕西,西安市,西安成文数码科技有限公司,移动互联网 · O2O,IT技术
陕西,西安市,imo易睦网络科技有限公司,移动互联网,IT技术
陕西,西安市,思特沃克软件技术（西安）有限公司,企业服务,IT技术
陕西,西安市,西安数拓网络科技有限公司,移动互联网,IT技术
陕西,西安市,西安世脉生物科技有限公司,医疗健康,生活服务
陕西,西安市,上海华腾软件系统有限公司,金融,金融财经
陕西,西安市,西安万众广告有限公司,移动互联网,IT技术
陕西,西安市,上海屹通信息科技发展有限公司,金融,金融财经
陕西,西安市,陕西壹网网络科技有限公司,移动互联网 · O2O,IT技术
陕西,西安市,西安智道取宝科技有限公司,移动互联网 · 电子商务,IT技术
陕西,西安市,西安华腾物联网有限责任公司,硬件 · 其他,电子制造
陕西,西安市,郑州信大捷安信息技术股份有限公司,移动互联网 · 信息安全,IT技术
陕西,西安市,北京君博睿科技有限公司,社交网络 · 文化娱乐,"IT技术,生活服务"
陕西,西安市,西安果果庄园电子商务有限公司,电子商务,IT技术
陕西,西安市,西安尊龙网络科技有限公司,移动互联网 · 游戏,IT技术
陕西,西安市,金数据,企业服务,IT技术
陕西,西安市,重庆猪八戒网络有限公司,电子商务 · 生活服务,"IT技术,生活服务"
陕西,西安市,上海悦会信息科技有限公司,移动互联网,IT技术
陕西,西安市,广州乐睿信息科技有限公司,教育,生活服务
陕西,西安市,西安计免网络科技有限公司,医疗健康 · 数据服务,"IT技术,生活服务"
陕西,西安市,北京四维图新科技股份有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
陕西,西安市,西安极点信息科技有限公司,O2O · 生活服务,"IT技术,生活服务"
陕西,西安市,陕西华策投资管理有限公司,移动互联网 · 金融,"IT技术,金融财经"
陕西,西安市,Syniverse,信息安全 · 企业服务,IT技术
陕西,西安市,西安点兵软件技术有限公司,移动互联网,IT技术
陕西,西安市,杭州杉石科技有限公司,O2O · 其他,IT技术
陕西,西安市,西安搜易网络技术有限公司,移动互联网 · 招聘,"IT技术,生活服务"
陕西,西安市,西安乌托邦信息科技有限公司,O2O · 移动互联网,IT技术
陕西,西安市,陕西诺可可网络信息有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
陕西,西安市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
陕西,西安市,西安融科通信技术有限公司,移动互联网,IT技术
陕西,西安市,成都脸帮网络科技有限公司,移动互联网 · 社交网络,IT技术
陕西,西安市,西安货达网络科技有限公司,移动互联网 · O2O,IT技术
陕西,西安市,西安好网数码科技有限公司,移动互联网 · 电子商务,IT技术
陕西,西安市,北京天地在线广告有限公司陕西分公司,电子商务 · O2O,IT技术
陕西,西安市,西安递妞妞信息技术有限公司,移动互联网 · O2O,IT技术
陕西,西安市,华扬联众数字技术股份有限公司西安分公司,数据服务 · 文化娱乐,"IT技术,生活服务"
陕西,西安市,神工众志（北京）科技有限公司,移动互联网 · 电子商务,IT技术
陕西,西安市,西安薇悦科技,电子商务 · O2O,IT技术
陕西,西安市,北京宇信科技集团股份有限公司,金融,金融财经
陕西,西安市,华扬联众数字技术股份有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
陕西,西安市,西安卓精电子科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
陕西,西安市,西安开图电子商务有限公司,电子商务 · 金融,"IT技术,金融财经"
陕西,西安市,踏浪者国际-西安潮购信息技术有限公司,电子商务,IT技术
陕西,西安市,厦门松霖科技有限公司,其他,其他
陕西,西安市,上海大易云计算股份有限公司,企业服务 · 数据服务,IT技术
陕西,西安市,上海大易信息科技有限公司,企业服务 · 数据服务,IT技术
陕西,西安市,西安创良在线商贸有限公司,电子商务 · O2O,IT技术
陕西,西安市,西安村游网络技术有限公司,旅游,生活服务
陕西,西安市,珠海网博信息科技股份有限公司,移动互联网 · 招聘,"IT技术,生活服务"
陕西,西安市,陕西埃普沃企业管理咨询有限公司,企业服务,IT技术
陕西,西安市,博彦科技股份有限公司,企业服务 · 数据服务,IT技术
陕西,西安市,陕西万里达实业有限公司,电子商务,IT技术
陕西,西安市,海航云科技有限公司,移动互联网 · 数据服务,IT技术
陕西,西安市,西安乐来网络科技有限公司,移动互联网 · 电子商务,IT技术
陕西,西安市,陕西西部资信有限公司,移动互联网 · 企业服务,IT技术
陕西,西安市,陕西泰乐网络科技有限公司,移动互联网 · 数据服务,IT技术
陕西,西安市,闽商贷（厦门）金融技术服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
陕西,西安市,西安格林谈谈网络科技有限公司,社交网络 · 生活服务,"IT技术,生活服务"
陕西,西安市,西安亮点网络科技有限公司,移动互联网,IT技术
陕西,西安市,上海科匠信息科技有限公司,移动互联网,IT技术
陕西,西安市,天津联怡科技有限公司,金融,金融财经
陕西,西安市,深圳市易思博软件技术有限公司,移动互联网 · 金融,"IT技术,金融财经"
陕西,西安市,西安愚公电子科技有限公司,移动互联网,IT技术
陕西,西安市,广州以大计算机科技有限公司,移动互联网 · 电子商务,IT技术
陕西,西安市,西安乐普软件科技有限公司,移动互联网,IT技术
