Provience,City,CompanyShortName,IndustryField,Upper class of industry
青海,西宁市,陕西西部资信有限公司,移动互联网 · 企业服务,IT技术
青海,西宁市,深圳乖乖兔儿童用品科技发展有限公司,移动互联网 · 教育,"IT技术,生活服务"
青海,西宁市,大成方略纳税人俱乐部股份有限公司,企业服务,IT技术
青海,西宁市,北京合力亿捷科技股份有限公司,移动互联网 · 企业服务,IT技术
青海,西宁市,亚信科技（成都）有限公司,移动互联网 · 数据服务,IT技术
青海,西宁市,联通宽带在线有限公司,移动互联网,IT技术
青海,西宁市,康美（深圳）电子商务有限公司,电子商务,IT技术
青海,西宁市,北京思特奇信息技术股份有限公司陕西分支,移动互联网 · 数据服务,IT技术
青海,西宁市,山景科创网络技术(北京)有限公司,移动互联网 · 分类信息,IT技术
青海,西宁市,武汉天喻教育科技有限公司,移动互联网,IT技术
青海,西宁市,上海趣医网络科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
青海,西宁市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
青海,西宁市,北京和美康信科技有限公司,移动互联网 · 数据服务,IT技术
青海,西宁市,南京信通科技有限责任公司,移动互联网 · 教育,"IT技术,生活服务"
青海,西宁市,南京联创信息科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
青海,西宁市,深圳市壹捌无线科技有限公司,移动互联网,IT技术
青海,西宁市,青海三好商务服务有限公司,旅游 · 移动互联网,"IT技术,生活服务"
青海,西宁市,浙江康健绿线网络技术有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
青海,西宁市,海都公众股份有限公司,移动互联网 · O2O,IT技术
青海,西宁市,青海北测网络科技有限公司,移动互联网,IT技术
青海,西宁市,亚信科技（中国）有限公司,移动互联网 · 数据服务,IT技术
青海,西宁市,海北达玉部落文体旅游产业发展有限公司,移动互联网 · 旅游,"IT技术,生活服务"
